SO,SLG,SF,3B,POS,CS,G,GIDP,R,H
27,.283,1,0,C,0,30,2,9,26
24,.163,1,0,3B,0,17,0,4,6
1,.727,1,0,SS,0,4,0,3,4
6,.139,0,0,2B,1,12,1,4,5
27,.383,0,2,3B,1,43,7,7,39
6,.424,0,3,SS,3,21,0,17,27
14,.256,3,0,2B,1,29,1,7,16
42,.477,1,6,CF,2,48,3,21,48
58,.304,0,1,RF,2,51,3,16,40
13,.310,1,0,2B,1,22,0,15,17
5,.000,0,0,3B,0,4,2,0,0
6,.350,0,0,1B,0,6,0,3,5
2,.333,0,0,OF,0,5,0,1,4
0,.000,0,0,C,0,2,0,0,0
17,.298,0,0,C,1,20,2,7,9
23,.351,1,0,C,0,24,2,15,17
22,.349,3,1,C,2,34,3,13,31
4,.353,0,0,CF,0,5,0,3,4
10,.483,0,0,C,0,8,0,5,8
6,.111,0,0,LF,0,12,0,4,2
2,.500,0,0,OF,0,3,1,3,3
16,.208,0,0,C,0,16,2,9,10
2,.091,0,0,2B,0,10,0,0,1
7,.214,0,0,LF,2,11,0,3,6
14,.256,0,0,1B,2,12,0,4,8
11,.490,0,1,OF,2,21,0,6,18
2,.500,0,0,C,0,4,0,2,6
46,.374,1,4,CF,5,54,1,29,52
20,.314,0,0,SS,1,32,2,16,29
35,.234,0,1,RF,2,28,0,11,15
23,.247,1,0,C,0,31,2,9,17
19,.194,0,0,SS,0,14,0,3,5
15,.419,1,0,SS,5,36,2,14,43
14,.295,0,0,SS,0,21,1,2,12
36,.478,0,0,2B,0,30,1,12,31
6,.200,0,0,C,0,11,0,3,5
3,.600,0,0,CF,0,4,0,3,2
41,.316,2,1,LF,7,52,3,29,37
19,.196,0,0,SS,0,18,1,2,10
41,.482,0,4,SS,4,53,2,41,56
12,.329,0,0,2B,0,26,1,12,18
4,.333,0,0,OF,0,7,0,2,4
10,.286,0,0,SS,2,7,0,1,4
38,.304,0,4,LF,0,37,0,15,19
2,.185,0,0,SS,1,7,3,3,5
27,.233,2,0,1B,2,33,1,7,18
17,.385,2,0,3B,5,23,0,11,16
12,.455,0,0,1B,0,10,1,3,5
16,.398,0,2,C,1,43,3,12,39
11,.433,2,0,SS,3,23,2,17,23
13,.248,1,0,SS,1,42,7,15,27
11,.308,1,0,2B,1,28,0,13,16
29,.314,1,1,3B,1,39,5,6,31
44,.441,0,2,RF,2,50,3,24,41
2,.684,0,0,OF,0,5,0,2,7
35,.405,4,1,OF,6,53,4,33,53
10,.138,0,0,LF,0,12,0,3,4
9,.333,0,1,RF,0,14,2,3,10
29,.281,0,0,SS,2,52,2,14,48
4,.056,0,0,C,1,7,0,1,1
22,.274,0,1,1B,1,32,0,7,24
1,.167,0,0,1B,0,2,0,0,1
36,.437,1,0,CF,8,38,3,21,33
2,.500,1,0,1B,0,5,0,0,6
1,.250,0,0,OF,0,3,0,1,3
2,.160,0,0,1B,0,10,1,2,4
0,.500,0,0,1B,0,3,0,0,2
45,.410,3,3,SS,4,39,2,19,38
46,.267,1,0,3B,1,49,3,15,33
8,.146,0,0,C,1,18,0,0,5
18,.401,1,1,2B,2,43,10,20,54
20,.333,0,1,LF,5,39,3,18,35
34,.360,0,3,SS,1,47,4,24,51
18,.380,0,1,1B,2,26,3,6,21
21,.283,0,0,SS,1,26,1,9,13
42,.352,3,6,SS,2,47,4,19,42
26,.466,0,3,OF,3,27,0,17,19
1,.500,0,0,C,0,4,1,2,5
52,.259,1,1,RF,2,38,4,11,20
1,.400,1,0,C,0,5,3,2,2
0,--,0,0,P,0,1,0,0,0
65,.407,0,4,RF,5,47,2,18,29
13,.367,1,1,C,0,17,0,9,14
10,.590,0,1,2B,1,23,5,6,30
27,.406,3,6,OF,6,56,5,34,62
28,.258,0,0,CF,3,41,2,22,30
4,.182,0,0,RF,1,4,0,3,2
3,.000,0,0,C,0,3,0,1,0
9,.250,1,0,C,0,16,0,1,7
33,.293,1,0,1B,2,52,4,16,45
14,.625,0,0,C,0,19,0,11,14
50,.340,0,2,1B,0,42,1,23,32
21,.273,1,1,C,1,23,1,9,12
22,.412,0,2,3B,0,23,1,13,23
0,.250,0,0,OF,0,1,0,0,1
2,.500,0,0,SS,1,3,0,1,6
1,.000,0,0,OF,0,1,0,0,0
3,.238,0,0,SS,1,9,0,3,3
31,.434,0,0,OF,2,30,1,13,26
54,.374,0,2,OF,7,43,1,30,38
7,.471,0,1,CF,2,14,2,2,10
25,.341,0,0,1B,1,27,0,17,20
7,.375,1,0,OF,1,11,0,5,8
24,.218,0,0,C,0,16,0,5,10
20,.427,0,1,SS,3,24,1,14,20
35,.328,1,3,SS,5,54,2,33,52
1,1.000,0,0,OF,0,2,0,1,3
34,.438,1,0,1B,0,31,0,7,23
3,1.000,0,0,3B,0,5,0,2,4
26,.328,0,1,1B,1,41,1,11,32
10,.429,0,1,2B,3,19,0,6,21
7,.174,0,0,SS,0,14,1,5,6
43,.250,1,0,OF,0,37,5,7,19
30,.221,1,0,C,1,29,3,5,11
41,.384,1,0,RF,0,55,3,24,45
22,.256,0,0,2B,1,27,1,11,21
0,.364,1,0,3B,0,4,0,4,3
25,.411,4,1,1B,1,50,1,21,46
9,.391,0,0,2B,0,6,0,4,5
7,.308,0,0,C,0,8,1,3,4
24,.278,1,0,SS,2,29,2,14,17
0,.500,0,0,3B,0,4,0,1,2
5,.276,0,0,2B,1,8,0,5,8
6,.250,0,0,2B,0,11,1,2,8
3,.273,0,0,2B,0,7,2,1,4
10,.315,0,0,3B,4,21,0,9,17
26,.366,6,2,CF,2,45,4,21,39
12,.350,0,0,C,0,23,2,5,11
41,.452,3,1,CF,4,40,0,31,48
11,.280,0,0,LF,1,8,0,2,6
3,.387,0,0,OF,1,9,2,4,9
5,.419,2,0,C,0,45,4,15,47
0,.667,1,0,C,0,2,0,1,1
6,.286,1,0,OF,0,5,0,3,2
29,.407,2,5,LF,4,41,4,13,44
16,.302,0,0,C,1,32,1,7,13
36,.316,0,0,3B,1,31,2,11,20
2,.526,0,0,LF,0,5,0,4,6
17,.176,1,0,1B,0,25,1,6,13
20,.361,0,1,1B,2,26,1,12,16
8,.342,0,0,OF,1,12,0,11,10
13,.418,4,0,SS,7,48,2,27,55
15,.255,0,0,1B,0,17,0,7,10
9,.426,0,0,1B,0,20,2,12,19
4,.286,0,0,LF,1,5,0,2,3
27,.357,1,2,1B,0,45,2,21,38
48,.360,4,6,CF,5,54,1,26,44
29,.233,0,0,CF,6,24,1,8,14
68,.253,0,2,LF,7,52,0,30,31
27,.443,1,3,2B,0,40,0,20,42
37,.000,0,0,OF,1,13,0,3,0
17,.313,0,1,C,0,25,1,2,22
22,.211,2,1,C,0,39,6,7,23
9,.266,1,1,C,0,38,3,9,24
0,.000,0,0,C,0,1,0,0,0
16,.333,0,0,RF,1,21,2,5,19
13,.533,2,3,SS,2,25,1,12,32
13,.495,3,1,C,1,35,2,12,29
11,.136,0,0,C,0,12,0,2,3
2,.889,0,0,OF,0,3,0,2,5
18,.339,0,0,LF,1,38,1,14,26
34,.305,3,1,1B,0,27,0,13,22
7,.524,0,1,OF,3,7,0,5,8
35,.410,1,2,RF,3,30,2,9,30
26,.250,1,0,C,0,23,1,7,15
9,.389,1,0,C,3,19,0,7,16
21,.347,2,0,3B,1,33,8,8,27
15,.380,1,1,1B,0,33,3,10,28
37,.273,2,1,3B,0,37,1,10,23
39,.186,2,0,SS,1,37,5,11,15
5,.094,1,0,1B,0,9,1,1,3
5,.133,1,0,1B,0,5,0,1,2
6,.414,0,1,LF,0,9,1,7,7
1,.000,0,0,SS,0,1,1,0,0
2,.206,1,0,SS,0,14,2,4,6
5,.697,1,0,OF,0,9,0,10,16
17,.369,2,1,C,1,25,2,12,23
6,.167,0,0,3B,0,13,1,0,3
13,.154,0,0,OF,0,12,0,2,4
4,.154,0,0,C,0,4,0,2,2
32,.224,0,0,DH,1,17,1,6,9
25,.395,0,1,OF,0,26,0,9,8
7,.191,0,0,OF,0,16,1,4,8
4,.000,0,0,OF,0,2,1,0,0
0,.286,0,0,C,0,3,0,1,2
2,.375,0,1,OF,0,4,0,0,4
23,.213,1,0,CF,2,27,1,10,16
19,.226,0,1,RF,2,26,0,4,11
20,.294,0,1,SS,2,39,2,19,33
22,.263,1,0,CF,1,26,1,10,19
6,.194,0,0,C,0,19,3,2,6
21,.284,2,2,DH,3,39,4,11,19
1,.800,1,0,CF,0,2,0,1,1
0,--,0,0,C,0,1,0,0,0
