BB,SB,AVG,AB,POS,G,SF
2,0,.176,34,C,9,0
8,0,.163,98,C,31,1
9,0,.246,65,C,22,0
10,1,.256,78,C,26,0
3,2,.190,100,C,32,1
27,3,.263,278,C,74,5
23,1,.309,217,C,59,3
0,0,1.000,1,C,1,0
6,0,.059,17,C,6,2
34,16,.320,363,C,100,3
1,0,.333,12,C,4,0
33,1,.277,318,C,89,2
20,10,.272,305,C,77,4
2,0,.172,29,C,9,0
1,1,.125,8,C,3,0
0,0,.091,11,C,4,0
23,3,.267,202,C,56,1
15,4,.209,191,C,55,0
5,1,.170,47,C,13,0
1,0,.118,17,C,7,0
27,0,.259,394,C,113,7
0,0,--,0,C,1,0
4,0,.172,29,C,9,0
13,2,.236,225,C,66,2
13,1,.271,96,C,30,0
2,1,.281,139,C,38,5
11,0,.204,93,C,32,1
7,0,.306,62,C,24,0
4,0,.095,21,C,8,0
