SH,R,SF,SLG,GIDP,OBP,H,2B,OPS
3,6,1,.230,3,.234,19,4,.464
0,2,0,.333,2,.250,6,1,.583
0,0,0,2.000,0,1.000,1,1,3.000
0,3,0,.170,3,.250,8,0,.420
0,13,0,.313,2,.358,26,4,.670
1,8,2,.157,3,.228,12,5,.386
0,16,0,.281,2,.311,24,7,.593
0,27,5,.464,4,.362,58,15,.826
2,41,2,.413,10,.397,84,18,.810
0,1,0,.000,0,.250,0,0,.250
1,1,0,.241,1,.273,5,2,.514
0,1,0,.143,0,.240,2,1,.383
0,12,0,.565,0,.377,19,4,.941
0,2,0,.148,0,.179,4,0,.327
0,2,0,.176,1,.167,2,1,.343
0,4,2,.118,0,.308,1,1,.425
3,41,4,.430,8,.319,83,19,.749
