SLG,OBP,OPS,SH,Player,GIDP,RBI,2B,SO
.347,.324,.671,1,R Skube,2,12,7,20
.372,.341,.713,0,T Nam,3,24,6,40
.235,.325,.559,2,A Muenster,2,12,2,21
.364,.380,.744,0,S Burruel,1,14,2,26
.599,.396,.994,0,H Moreno,4,32,22,39
.367,.257,.625,0,D Harrington,2,17,7,19
.250,.350,.600,0,Y Cabrera,0,0,1,5
.429,.400,.829,0,J Roof,0,2,1,3
.301,.309,.610,2,A Aguilar,1,9,2,16
.667,.545,1.212,0,R Royster,0,3,6,5
.176,.194,.371,0,A Puello,2,3,1,4
.389,.350,.739,0,J Burgess,0,1,2,10
.359,.300,.659,3,A Siliga,3,12,7,37
.125,.118,.243,0,J Echevarria,0,2,1,7
.422,.357,.778,3,T Martinez,5,22,14,25
.250,.381,.631,0,T Buck,0,4,1,4
.358,.312,.669,0,D Geiger,7,15,9,25
.347,.233,.580,0,Y Brazoban,4,9,6,25
.231,.375,.606,0,C Lewis,2,3,0,5
.333,.286,.619,0,B Nicholas,0,3,1,1
.000,.111,.111,0,P Baez,0,1,0,1
.179,.235,.414,0,N Nordgren,0,3,1,7
.315,.281,.596,0,J De La Cruz,6,12,5,23
.700,.700,1.400,0,P LePage,0,0,0,0
.583,.467,1.050,0,N Van Stratten,0,1,3,2
.357,.394,.751,0,J Skole,0,5,2,5
.375,.333,.708,1,D Lopez,0,11,1,14
.538,.354,.892,1,D Vidal,2,34,13,30
.403,.319,.722,1,M Ray,0,6,3,26
.289,.297,.586,3,J Santana,6,17,7,40
.384,.404,.788,1,B Guinn,0,8,5,28
.571,.400,.971,0,D Thomas,0,4,0,7
.363,.313,.676,3,J Baldwin,0,22,6,60
.667,.455,1.121,0,D Burkhart,0,3,1,6
.475,.383,.858,1,A Giansanti,1,19,2,13
.200,.200,.400,0,D Ethier,0,2,0,1
.321,.325,.646,1,G Mitchell,0,13,4,59
.338,.351,.689,0,J McAloose,4,20,9,46
.292,.280,.572,2,K Dhanani,1,8,2,15
.364,.335,.699,1,M Walla,1,21,8,59
.550,.415,.965,0,R Cuneo,0,21,9,33
.300,.250,.550,0,M Brown,0,2,1,3
.313,.243,.557,0,A Monsalve,2,18,8,52
.118,.182,.299,2,M Turner,2,5,0,22
.371,.322,.693,2,J Silva,1,24,6,48
.400,.412,.812,0,R Golden,0,1,1,7
.487,.406,.893,0,R Consigli,2,31,12,33
.412,.342,.754,0,C Cuthbert,1,5,3,19
.188,.192,.380,1,E Soto,1,2,1,22
.141,.321,.462,3,A Marquez,2,3,0,17
.182,.197,.379,0,R Ramsey,0,4,0,20
.360,.315,.675,1,A Velazquez,2,12,7,28
.305,.294,.599,1,J Eshleman,1,7,3,18
.118,.118,.235,0,A Shipman,0,2,0,6
.429,.350,.779,0,J Rife,0,12,4,22
.350,.348,.698,0,S Furmanek,0,1,2,5
.330,.387,.717,0,W Darvill,2,7,3,21
.429,.375,.804,0,M Downs,0,2,1,1
.494,.379,.873,2,R Torreyes,1,11,7,5
.417,.333,.750,0,T Delmonico,1,2,2,5
.387,.324,.711,1,D Shaw,3,15,4,18
.460,.312,.771,0,J Staley,3,25,9,35
.590,.427,1.017,1,J Matthews,2,22,5,38
.000,.125,.125,0,R Wagner,0,1,0,2
.291,.252,.544,0,J Peralta,3,8,5,38
.336,.316,.652,2,J Rodriguez,0,17,2,29
.274,.256,.530,2,J Martinez,3,21,5,41
.500,.333,.833,0,N Cuevas,0,0,1,2
.483,.321,.804,0,J Romero,2,14,10,67
.362,.359,.721,1,C Adamson,2,19,7,34
.338,.308,.646,0,J Javier,2,11,2,16
.308,.259,.567,0,B Altman,1,9,2,20
.382,.325,.707,1,J Taylor,2,3,1,9
.200,.198,.398,3,J Blanco,1,8,4,36
.571,.375,.946,0,B May,0,1,2,2
.444,.364,.808,0,Y Carter,0,4,1,1
.500,.548,1.048,0,N Recknagel,0,0,3,7
.280,.333,.613,0,J Greene,0,6,0,6
.280,.297,.577,0,R Rangel,2,10,2,31
.350,.363,.712,6,L Sardinas,2,8,4,15
.420,.395,.815,1,C Vitale,3,14,4,10
.288,.298,.587,2,Y Gonzalez,6,9,5,12
.333,.333,.667,0,C Morrison,0,0,0,2
.229,.213,.442,0,J Hernandez,1,10,5,22
.461,.360,.820,1,C Jones,2,17,7,61
.405,.380,.785,1,T Meiners,2,15,5,16
.357,.406,.763,0,D Robinson,2,11,6,41
.375,.333,.708,0,J Mallard,1,3,2,9
.000,.000,.000,0,J Sneed,0,0,0,1
.304,.287,.591,0,C Noble,4,16,7,21
.317,.307,.623,2,E Morales,3,13,6,21
.360,.308,.667,0,D Vicioso,5,10,3,13
.400,.400,.800,0,J Morban,0,1,0,1
.421,.394,.815,2,O Herrera,3,31,7,27
.437,.342,.779,1,B Cutspec,2,21,9,39
.533,.412,.945,0,A Burg,0,2,3,1
.394,.368,.761,0,J Rogers,3,32,7,32
.208,.214,.423,0,D Webb,0,3,0,6
.342,.271,.613,1,J Bonifacio,1,6,0,31
.386,.391,.777,2,S Chirino,3,8,2,5
.385,.286,.670,0,B Fowler,0,4,1,11
.594,.416,1.010,0,S Windster,2,19,11,28
.535,.362,.897,0,R Sierra,1,10,4,14
.366,.286,.651,2,J Lopez,1,8,4,32
.404,.400,.804,0,J Paciorek,1,8,3,16
.361,.400,.761,0,P Bingham,0,8,0,20
.211,.273,.483,0,M Brown,1,0,1,8
.307,.319,.626,1,W Soto,0,16,2,36
.392,.351,.743,0,D Harris,0,6,3,14
.328,.272,.600,1,B Franco,1,20,3,49
.108,.214,.322,1,E Sim,0,1,0,8
.424,.432,.857,0,J Moore,0,3,2,8
.000,.000,.000,0,T Hall,0,1,0,0
.304,.263,.568,1,R Rodriguez,1,6,3,34
.229,.282,.511,0,M Bradley,1,1,1,13
.389,.345,.735,5,K Allison,0,28,11,46
.255,.298,.553,1,K Rojas,1,8,2,11
.000,.000,.000,0,B Johnson,0,0,0,2
.219,.278,.497,1,H Martinez,1,4,2,17
.357,.355,.712,0,K Deglan,0,5,0,7
