AVG,RBI,Team,SF,CS,G,SO
.214,12,RED,2,3,31,21
.240,22,PAD,2,1,35,46
.188,4,ATH,0,0,26,17
.545,1,RAN,0,0,3,0
.174,5,ANG,0,0,20,28
.242,20,ANG,3,0,33,42
.375,2,PAD,0,0,4,4
.267,16,DOD,1,1,27,38
.250,25,GIA,2,1,33,35
.307,22,ANG,1,2,41,27
.286,10,ATH,0,0,9,12
.188,0,ATH,0,0,5,5
.250,9,BRE,2,0,10,3
.261,11,CUB,0,0,33,28
.295,24,GIA,1,4,45,36
.187,9,BRE,2,0,22,21
.274,11,IND,4,0,35,25
.214,1,RED,0,0,7,9
.276,8,CUB,1,0,17,9
.224,14,MAR,2,3,48,59
.000,0,CUB,0,0,1,0
.227,4,IND,0,1,25,20
.279,17,GIA,2,2,46,61
.304,2,RED,0,0,5,5
.314,35,RAN,3,2,51,42
.000,0,DOD,0,0,3,5
.286,5,RAN,0,0,8,5
.242,12,PAD,1,2,27,20
.280,25,CUB,2,5,48,33
.167,0,ATH,0,0,3,5
.228,21,MAR,3,2,38,45
.274,22,DOD,2,3,46,60
.230,24,RED,0,1,44,48
.197,9,ATH,2,3,45,28
.152,4,ATH,1,0,25,20
.435,2,DOD,0,0,6,1
.326,35,RAN,3,1,37,16
.000,0,DOD,0,0,1,1
.213,16,ROY,0,3,42,58
.171,4,BRE,0,1,11,6
.286,1,CUB,0,0,2,2
.240,12,PAD,0,1,29,28
.206,19,GIA,0,5,37,23
.239,6,DOD,1,1,28,28
.143,3,GIA,2,0,9,7
.230,14,ANG,0,4,43,45
.267,8,MAR,0,1,13,7
.600,1,RAN,0,0,2,2
.158,0,IND,0,0,6,8
.284,18,ANG,2,3,45,33
.333,0,IND,0,0,2,0
.273,2,ROY,0,0,3,4
.338,10,RED,1,2,22,22
.286,1,RED,0,1,8,4
.349,11,RED,0,2,18,5
.216,8,ATH,0,0,16,11
.301,14,GIA,4,2,32,23
.000,0,BRE,0,0,1,2
.278,4,RED,0,0,5,6
.206,3,RED,0,1,18,9
.329,14,MAR,0,4,40,31
.273,13,DOD,3,1,35,21
.242,12,BRE,1,0,18,18
.231,0,ANG,0,0,4,2
.200,7,RED,0,0,14,10
.247,9,ANG,0,2,23,30
.364,0,IND,0,0,9,7
.224,20,DOD,2,2,35,49
.000,0,RAN,0,0,1,1
.240,7,DOD,2,1,18,11
.369,20,RAN,2,4,40,28
.250,3,ANG,0,0,4,9
.231,3,ATH,0,0,4,5
.111,0,ROY,0,0,8,2
.311,19,GIA,0,2,31,28
.279,15,RAN,0,1,38,16
.206,16,CUB,1,0,28,21
.333,0,ATH,0,0,1,1
.429,4,IND,0,0,4,2
.280,2,DOD,0,0,10,4
.323,7,PAD,0,1,18,13
.143,4,ANG,1,0,6,6
.165,8,ROY,1,1,33,36
.223,8,ATH,0,1,32,38
.125,3,IND,1,0,8,6
.188,4,ATH,0,0,6,4
.182,0,GIA,0,0,6,5
.337,19,CUB,4,2,27,13
.275,14,ATH,0,0,28,27
.280,6,RAN,2,0,7,6
.212,25,CUB,3,1,45,63
.292,3,DOD,1,0,11,7
.290,22,RED,0,0,29,38
.311,8,RAN,1,2,26,15
.306,8,PAD,1,2,20,20
.294,1,DOD,0,0,5,5
.295,21,DOD,1,5,36,21
.300,10,RED,1,0,21,20
.056,0,PAD,0,0,6,4
.361,6,ROY,2,0,11,5
.167,3,RAN,0,0,3,1
.176,16,IND,0,2,39,23
.400,1,MAR,0,0,3,1
.000,0,ATH,0,0,3,2
.333,1,ROY,0,0,4,2
.242,20,CUB,3,1,45,46
.307,11,RED,1,0,31,11
.429,0,ANG,0,1,2,1
.276,23,IND,1,1,50,40
.269,6,DOD,0,2,20,26
.267,14,DOD,3,0,30,14
.500,2,RAN,0,2,6,4
.265,5,ROY,0,1,18,19
.304,14,RED,4,0,15,18
.333,2,GIA,0,0,4,1
.292,17,CUB,1,7,42,19
.266,11,ANG,1,0,25,17
.000,1,DOD,1,0,2,1
.286,1,RAN,0,0,2,2
.157,6,MAR,1,6,44,69
.196,3,MAR,0,0,15,15
.263,26,PAD,0,1,36,43
.266,12,ATH,0,1,36,39
.323,16,PAD,0,0,26,27
.000,0,BRE,0,0,1,2
.211,3,IND,0,0,5,5
.250,9,PAD,0,1,20,23
.333,0,DOD,0,0,3,2
.220,18,IND,1,0,43,52
.000,0,ANG,0,0,2,0
.230,27,ATH,1,0,52,73
--,0,GIA,0,0,1,0
.250,26,PAD,0,1,41,56
.000,0,PAD,0,0,1,0
.400,4,ROY,0,0,3,2
.333,1,CUB,0,0,4,7
.260,4,IND,0,1,15,11
.226,6,DOD,1,1,28,27
.125,2,ANG,0,0,17,22
.333,4,ATH,1,0,3,1
.240,9,RED,1,0,30,12
.444,3,GIA,0,0,3,2
.100,1,MAR,0,0,11,8
.093,2,ROY,0,2,17,17
.000,0,DOD,0,0,1,1
.283,19,PAD,1,5,36,34
.190,1,IND,0,0,11,13
