POS,SLG,Team,CS,SF,AB,G,R,RBI,OBP
OF,.516,CHA,0,1,155,45,25,20,.348
P,--,LAK,0,0,0,1,0,0,--
2B,.328,SAV,4,7,335,96,38,28,.332
SS,.000,HIC,0,0,3,1,0,0,.250
OF,.381,LCO,0,0,21,5,2,1,.391
C,.315,GRE,0,2,54,16,5,8,.306
OF,.360,AUG,0,0,75,24,16,6,.302
OF,.447,HAG,6,3,304,89,43,36,.338
OF,.447,GBO,10,2,412,118,57,54,.296
P,--,LEX,0,0,0,2,0,0,--
P,--,WVA,0,0,0,1,0,0,--
SS,.413,LEX,5,7,247,68,45,32,.415
P,--,LEX,0,0,0,1,0,0,--
1B,.310,LEX,0,1,197,61,20,27,.288
OF,.426,SAV,4,3,209,70,38,34,.369
1B,.639,SAV,1,0,36,10,5,8,.450
SS,.470,ROM,2,0,198,48,30,19,.358
OF,.333,GBO,0,0,6,2,1,1,.286
OF,.372,HIC,3,3,393,107,38,54,.318
SS,.484,SAV,1,2,186,50,32,29,.394
3B,.332,LCO,3,3,277,74,38,27,.332
2B,.400,AUG,9,3,420,111,86,40,.407
1B,.368,LEX,5,5,247,68,34,35,.338
C,.000,GRE,0,0,7,3,0,0,.000
OF,.466,LEX,1,3,88,29,18,19,.314
1B,.568,HIC,1,3,308,89,53,65,.398
OF,.241,CHA,1,0,54,17,5,2,.254
C,.200,HAG,0,0,20,5,1,1,.190
3B,.273,COL,0,0,33,10,0,4,.257
SS,.412,SAV,8,2,379,102,59,45,.338
OF,.405,ASH,2,0,111,34,18,14,.346
1B,.407,KAN,1,1,91,28,10,13,.265
SS,.280,GRE,1,0,25,7,3,4,.276
3B,.304,WVA,0,0,23,8,2,1,.321
1B,.457,LEX,2,1,127,34,20,34,.385
SS,.487,ASH,8,0,439,115,75,56,.359
C,.386,GRE,0,3,267,72,34,37,.276
2B,.416,LCO,6,2,317,71,51,36,.354
P,--,LAK,0,0,0,1,0,0,--
P,.000,ASH,0,0,2,1,0,0,.000
LF,.382,WVA,6,9,272,78,37,48,.321
SS,.334,SAV,6,1,296,73,37,23,.291
P,.000,WVA,0,0,1,1,0,0,.000
C,.182,GBO,0,0,11,3,0,0,.182
OF,.267,WVA,1,0,15,4,1,0,.294
3B,.588,ROM,0,1,34,11,6,8,.361
OF,.575,ASH,8,3,508,127,79,100,.375
3B,.500,ROM,0,0,24,7,3,1,.429
SS,.307,LEX,4,3,336,89,42,36,.280
C,.275,WVA,1,0,138,45,7,16,.236
OF,.200,HAG,1,0,55,16,8,2,.246
OF,.425,SAV,1,1,212,57,27,35,.353
OF,.429,ROM,0,0,7,2,2,1,.375
OF,.364,WVA,1,0,33,14,6,5,.468
SS,.387,GBO,7,2,444,109,66,50,.327
3B,.296,HIC,0,0,27,9,3,0,.241
C,.292,WVA,0,0,120,42,16,10,.324
SS,.442,LAK,11,0,419,105,63,58,.380
LF,.352,SAV,9,1,307,90,40,35,.308
C,.345,COL,1,1,232,71,25,18,.327
2B,.211,LCO,0,0,19,6,3,0,.375
OF,.603,GRE,0,2,199,50,33,38,.359
C,.302,GBO,0,0,86,30,9,12,.271
OF,.577,ROM,1,1,156,43,37,27,.423
OF,.261,WVA,1,1,119,42,13,14,.292
OF,.310,WVA,7,1,268,82,26,21,.274
2B,.385,WVA,10,3,340,98,42,56,.358
OF,.413,HAG,5,0,264,68,27,33,.342
3B,.367,AUG,4,3,474,131,70,83,.352
OF,.515,GRE,1,2,301,79,53,66,.361
OF,.345,COL,2,7,385,99,46,53,.267
C,.307,AUG,4,0,202,64,20,24,.302
OF,.523,ASH,6,3,413,113,77,64,.377
C,.373,WVA,0,3,343,99,46,38,.307
3B,.388,GBO,2,3,237,69,32,34,.280
P,--,LEX,0,0,0,1,0,0,--
C,.000,CHA,0,0,7,4,1,0,.000
P,--,CHA,0,0,0,1,0,0,--
OF,.330,LAK,6,2,427,117,55,33,.316
3B,.242,DEL,2,0,153,48,14,12,.253
1B,.290,ROM,0,0,231,61,19,25,.245
C,.283,AUG,0,0,46,13,1,3,.239
C,.000,WVA,0,0,4,3,0,0,.333
C,.338,HAG,2,1,139,39,18,13,.302
OF,.369,SAV,8,4,417,122,64,54,.356
OF,.442,WVA,2,1,113,27,18,17,.301
1B,.473,LAK,2,3,273,79,44,50,.420
C,.224,CHA,1,1,125,62,13,13,.306
OF,.394,SAV,4,4,447,125,62,64,.329
SS,.211,LCO,0,1,19,6,1,2,.292
SS,.319,WVA,4,1,301,89,33,32,.281
OF,.432,GRE,0,0,37,10,6,7,.366
SS,.429,GBO,1,0,28,13,5,3,.419
2B,.302,LAK,0,0,63,21,8,13,.342
OF,.351,HIC,10,1,348,97,38,44,.288
3B,.422,ROM,1,5,386,100,48,60,.347
P,--,WVA,0,0,0,1,0,0,--
