AB,POS,H,SLG,SH,2B
28,C,6,.250,0,1
63,SS,11,.302,1,2
3,SS,0,.000,0,0
39,OF,4,.128,0,1
508,OF,168,.575,0,34
85,OF,18,.259,0,4
386,3B,107,.422,1,24
116,2B,22,.250,2,4
9,SS,2,.222,0,0
348,OF,79,.351,0,12
33,OF,6,.212,0,1
343,C,82,.373,9,15
61,SS,16,.295,2,2
153,C,34,.314,0,5
0,P,0,--,0,0
127,OF,22,.268,0,6
441,C,146,.469,0,25
33,OF,8,.364,0,1
20,C,3,.200,0,1
502,SS,141,.388,3,23
178,OF,46,.326,0,8
13,SS,3,.231,0,0
46,C,11,.283,0,2
486,2B,141,.379,13,15
38,C,4,.132,0,1
247,1B,64,.368,0,12
199,OF,54,.487,2,11
55,OF,20,.509,0,1
172,1B,38,.395,0,12
113,OF,28,.442,1,7
295,OF,63,.305,6,12
143,C,43,.580,0,10
276,SS,61,.254,1,6
299,C,81,.455,2,25
132,2B,49,.447,1,7
55,OF,9,.200,0,2
80,C,7,.238,0,2
160,2B,28,.225,1,5
116,C,21,.216,2,4
23,OF,3,.174,0,1
259,SS,61,.371,0,21
231,1B,49,.290,1,10
23,OF,4,.348,0,1
4,C,0,.000,0,0
315,SS,76,.330,0,13
485,C,146,.452,0,33
112,SS,31,.339,0,7
321,CF,99,.414,5,13
0,P,0,--,0,0
168,SS,27,.274,3,4
195,OF,48,.344,5,5
427,OF,107,.330,12,16
378,C,86,.357,1,26
120,C,24,.292,3,6
384,SS,89,.299,3,14
212,OF,61,.425,0,15
132,SS,25,.258,2,3
423,OF,132,.409,7,15
253,OF,67,.364,0,11
412,OF,100,.447,3,28
33,C,6,.182,2,0
1,P,1,1.000,0,0
441,2B,118,.367,12,23
77,1B,22,.390,0,5
108,SS,17,.176,1,2
298,OF,75,.379,0,18
148,OF,44,.412,4,12
234,SS,68,.427,0,11
27,3B,5,.296,0,3
11,2B,2,.273,1,1
373,OF,82,.330,6,13
403,OF,126,.494,0,22
41,SS,7,.317,3,1
295,1B,67,.356,0,18
36,OF,6,.167,0,0
86,C,16,.302,0,4
439,SS,128,.487,8,19
103,OF,25,.340,1,4
131,OF,31,.344,2,3
266,1B,59,.297,0,8
474,3B,120,.367,0,30
324,SS,87,.373,4,17
37,OF,11,.432,0,5
265,SS,63,.381,6,11
231,SS,66,.554,1,19
0,P,0,--,0,0
54,3B,14,.333,0,4
409,OF,114,.513,3,23
125,C,24,.224,1,2
176,C,41,.358,2,7
419,SS,127,.442,1,23
