Name,oRAR,WAR,G,Rbaser,PA,Rfield,waaWL%,Age
Dewey McDougal?,-3,-0.2,18,0,49,0,.487,23
Les German,5,0.3,35,-0,124,-1,.510,26
Cozy Dolan*,-1,-0.1,26,-0,91,0,.497,22
Bill Lange,63,5.3,123,6,546,2,.529,24
Ducky Holmes*,17,0.9,40,-1,179,-7,.508,26
Joe Sullivan?,22,1.1,94,-2,418,-12,.497,25
Frank Butler*,-1,-0.0,5,0,23,0,.475,34
Ed McKean,48,4.4,132,-2,633,4,.518,31
Bill Gray?,10,0.7,52,-0,199,-2,.501,24
Grant Briggs?,-1,-0.1,1,0,4,0,.391,30
Jack Wadsworth*,-0,-0.0,2,0,5,0,.495,27
Parson Nicholson,-0,-0.1,10,0,45,-2,.471,32
Fred Donovan,-2,-0.3,3,0,13,-1,.401,30
Sadie McMahon,2,0.2,15,-0,56,0,.511,27
Mike Grady,9,0.6,46,-1,143,-2,.503,25
Varney Anderson,6,0.4,36,0,110,0,.513,29
Brownie Foreman*,-7,-0.6,19,0,54,0,.470,19
Gene DeMontreville,-1,-0.1,12,0,49,-1,.478,22
Bill Childers?,0,0.0,1,0,0,0,.500,--
Dan Brouthers*,8,0.5,29,-0,133,-3,.500,37
Germany Smith,13,1.8,127,-2,540,6,.500,36
Tommy Dowd,21,1.5,130,0,546,-7,.497,26
Oscar Purner?,-0,-0.0,1,0,1,0,.480,22
Roger Connor*,43,3.6,104,-1,468,0,.520,37
Jack Boyle,-22,-2.0,133,-2,625,-9,.469,29
Ambrose McGann?,4,0.1,20,1,82,-3,.493,27
Frank Scheibeck,-13,-1.4,49,-0,194,-6,.459,30
Mike Griffin*,55,5.6,132,-2,637,12,.527,30
Dummy Hoy*,11,0.9,107,4,490,-4,.493,33
Bert Abbey,1,0.1,9,0,24,0,.508,25
Billy Rhines,-3,-0.2,38,0,124,0,.494,26
Dan Daub,-2,-0.2,25,-0,81,0,.493,27
Joe Connor,-2,-0.2,2,0,7,0,.402,20
John O'Brien*,-5,-0.2,128,-2,612,-2,.484,28
Parke Wilson,-10,-0.9,67,-0,255,-4,.474,27
Eddie Burke*,-7,-0.1,95,3,435,2,.484,28
Malachi Kittridge,-7,-0.2,60,-0,235,3,.484,25
George Hogriever,7,0.9,69,3,282,2,.499,26
Mike Smith*,17,1.8,125,-0,548,2,.500,27
Jack O'Connor,7,0.8,90,-1,389,0,.495,29
Tommy McCarthy,5,0.4,117,-2,542,-4,.489,31
Tom McCreery#,2,0.0,31,-0,119,-3,.488,20
Andy Boswell?,-1,-0.1,12,0,33,-1,.490,21
Tommy Tucker#,1,0.8,126,-2,558,4,.491,31
Pussy Tebeau?,1,0.1,2,-0,8,0,.541,25
Ace Stewart,-7,-0.9,97,-1,408,-8,.477,26
Adonis Terry,-9,-0.7,40,-0,145,0,.483,30
George Hodson,-1,-0.1,4,0,6,0,.479,27
Clark Griffith,9,0.7,43,-0,163,0,.516,25
Harry Atkinson?,-0,0.0,1,0,5,0,.488,21
John Malarkey?,-5,-0.4,22,0,39,0,.482,23
Duke Esper?,-8,-0.6,34,0,98,0,.482,27
Jack Warner*,1,0.3,70,-1,262,0,.491,22
Mike Kahoe,-1,-0.1,3,0,4,0,.467,21
Frank Genins?,-4,0.1,73,1,299,2,.487,28
Billy Nash,27,2.2,133,-2,601,-3,.502,30
Frank Foreman,5,0.4,32,-0,101,0,.512,32
Arlie Latham,20,1.6,112,4,514,-4,.499,35
Dan McFarlan,-1,-0.1,7,0,21,0,.491,20
Jack Stivetts,-11,-0.9,46,0,166,0,.481,27
Hughie Jennings,75,7.5,131,3,613,18,.542,26
Dusty Miller*,30,3.2,132,3,573,6,.509,26
Harry Davis,0,0.1,7,-0,26,0,.495,21
Jack Glasscock,3,0.2,43,-0,194,-2,.490,37
Bug Holliday,1,-0.0,32,-0,138,-2,.485,28
Harry Blake,-10,-0.6,85,-1,362,0,.479,21
Red Ehret,-3,-0.2,37,0,105,0,.494,26
Sam Thompson*,71,6.0,119,-1,576,3,.535,35
Al Maul,2,0.1,22,0,80,0,.506,29
Bill Everitt*,33,2.6,133,1,596,-5,.505,26
Joe Wright*,-5,-0.4,60,-1,243,-2,.480,26
Bill Hoffer,-4,-0.3,41,0,142,0,.493,24
Fred Pfeffer,1,-0.2,11,-0,50,-4,.467,35
Shorty Fuller,-7,1.1,126,-2,531,17,.495,27
Sandy McDougal,-0,-0.0,1,0,1,0,.481,21
Larry Battam?,1,0.0,2,0,6,0,.512,19
Monte McFarland,-2,-0.1,2,0,8,0,.440,22
Sam Moran?,-1,-0.1,11,0,27,0,.492,24
Frank Bowerman,-0,-0.0,1,0,1,0,.476,26
Ed Stein,2,0.2,32,0,115,0,.505,25
Jake Hewitt*,-1,-0.1,4,0,6,0,.486,25
Heinie Peitz,13,1.4,90,-1,367,1,.501,24
Dave Foutz,-0,-0.2,31,-0,121,-3,.481,38
Cy Young,-5,-0.4,47,0,154,0,.491,28
Art Madison,3,0.2,11,0,36,-1,.502,24
Farmer Vaughn,10,1.2,92,-0,355,2,.500,31
Dan Minnehan,2,0.2,8,0,35,0,.510,29
Bobby Wallace,-4,-0.3,30,0,112,0,.490,21
Mike McDermott?,-2,-0.1,33,-0,96,0,.496,32
John McGraw*,51,5.2,96,5,459,13,.539,22
Bill Joyce*,63,4.1,127,-1,596,-14,.517,27
Biff Sheehan*,8,0.4,52,-1,207,-5,.494,27
Doggie Miller,6,0.1,122,-2,526,-10,.486,30
Yale Murphy*,-10,-0.6,51,-0,213,0,.473,25
Jouett Meekin,4,0.3,31,-0,100,0,.510,28
Doc McJames?,-1,-0.1,2,0,7,0,.464,20
Hunkey Hines,0,0.0,2,0,10,0,.498,27
Dave Wright,-0,-0.0,1,0,1,0,.480,19
Billy Clingman#,-0,1.3,107,-1,439,13,.498,25
