Player,RBI,GIDP,2B,HR,CS,SF
J Padilla,12,3,9,1,2,1
J Garcia,3,1,3,0,1,0
R Pena,8,3,2,1,0,0
R Fuentes,7,2,3,0,1,1
E Quiles,1,2,1,1,0,0
R Cancel,10,2,5,0,2,2
E Rosario,20,1,9,4,0,1
J Ruiz,4,2,4,1,0,0
M Bianucci,8,0,4,1,0,0
J Jimenez,8,3,3,2,0,1
I Falu,16,3,8,1,5,3
D Thon,2,0,0,0,0,0
J Ortiz,5,3,1,3,1,0
Y Rivera,6,0,2,0,0,0
M Owings,0,1,0,0,0,0
H Ramos,4,3,11,1,1,1
C Corporan,7,1,4,2,0,2
R Castro,17,2,4,5,0,0
K Blanks,9,1,9,2,0,0
O Mercado,10,1,4,1,0,3
C Pettit,5,0,2,1,0,0
L Murton,4,2,3,1,0,0
C Garcia,1,0,0,0,0,1
L Mateo,15,3,7,1,0,3
J Fernandez,2,0,0,0,0,0
Y Molina,10,5,1,2,1,1
D Gonzalez,10,1,4,0,1,0
A Estades,0,0,0,0,1,0
C Rivera,26,7,9,7,0,4
J Castro,2,0,0,0,0,0
A Garcia,26,6,9,6,2,4
A Sanchez,12,2,6,2,2,2
A Godwin,7,0,0,0,2,1
J Rivera,0,0,0,0,1,0
K Vargas,9,4,2,3,0,0
J Monell,17,3,6,7,1,0
D Vidal,1,1,2,0,0,0
A Garcia,16,4,5,3,1,1
B Maldonado,18,2,7,2,0,3
R Garcia,6,3,1,1,0,2
R Ortiz,1,0,0,1,0,0
B Lasater,10,1,3,3,0,0
P Valdes,16,3,7,2,0,2
K Torres,1,2,1,0,0,0
J Bour,6,0,6,1,0,0
J Silva,6,0,0,1,0,0
M Abreu,9,5,3,0,4,0
