Team,R,2B,3B,Pos
STL,34,17,6,OF
NYM,11,3,1,C
TOR,2,0,0,OF
ATL,2,4,0,2B
CLE,4,0,0,C
PIT,47,21,3,OF
LAD,6,4,0,2B
SD,29,9,3,OF
STL,1,1,0,OF
SD,19,10,1,SS
CIN,37,9,2,OF
TB,29,16,4,SS
HOU,28,16,0,OF
CWS,27,17,0,SS
LAA,4,2,0,OF
TOR,21,5,0,OF
NYY,10,4,1,C
TB,14,5,2,SS
NYY,55,13,1,3B
MIN,17,4,0,DH
BOS,7,1,0,C
WAS,37,15,0,OF
BAL,24,6,1,OF
DET,3,1,0,3B
LAA,2,1,0,3B
TB,0,1,0,OF
PIT,2,3,0,1B
CLE,35,17,1,1B
MIL,57,17,2,OF
MIL,6,3,0,OF
SD,10,1,2,OF
SEA,33,22,3,OF
ARI,0,1,0,1B
OAK,31,16,1,3B
SF,36,13,3,OF
MIL,6,9,1,SS
TB,23,8,2,DH
BOS,15,5,5,OF
LAD,51,17,1,OF
BOS,19,9,1,C
ARI,16,7,4,3B
CLE,3,2,0,OF
BOS,35,15,0,2B
BAL,5,2,0,SS
BOS,1,0,0,SS
NYY,34,15,0,OF
CWS,30,15,0,1B
LAD,45,17,2,2B
ATL,20,5,0,3B
LAA,6,2,1,OF
ATL,7,4,0,OF
MIL,15,11,2,SS
PHI,10,5,1,OF
MIN,72,27,3,2B
TOR,11,4,0,C
CWS,8,2,0,2B
CIN,61,29,1,3B
KC,44,17,1,3B
PIT,2,0,0,OF
CLE,15,10,0,C
ATL,35,17,3,2B
NYM,5,2,0,OF
MIA,3,1,0,C
SEA,5,2,0,OF
TB,42,21,0,3B
NYY,47,15,1,3B
BAL,23,6,3,2B
TEX,25,12,0,OF
BAL,11,7,1,1B
WAS,22,12,1,3B
CLE,38,29,0,OF
HOU,1,0,0,OF
CHC,30,17,0,SS
MIN,1,1,0,2B
OAK,39,20,2,2B
CHC,0,0,0,2B
SF,54,23,2,2B
LAA,11,3,0,2B
ARI,38,14,4,SS
MIN,10,3,1,OF
PIT,3,0,1,OF
TB,24,11,0,OF
NYM,3,0,0,3B
ATL,9,4,0,OF
HOU,11,4,0,SS
SEA,2,1,0,SS
LAA,39,16,3,2B
CIN,53,17,2,1B
TOR,26,13,0,3B
BOS,32,16,4,3B
WAS,30,11,1,1B
SD,3,1,0,C
SD,28,19,2,3B
DET,57,24,4,2B
SF,2,2,0,C
KC,2,1,1,3B
HOU,6,2,0,OF
CWS,41,17,1,OF
CIN,8,4,0,2B
CHC,5,2,0,C
BAL,38,13,2,3B
CIN,5,2,0,3B
ARI,38,17,7,OF
MIA,26,14,1,3B
TB,8,3,1,2B
KC,50,19,4,1B
BAL,10,7,1,C
ARI,40,17,2,OF
SF,14,6,2,C
OAK,3,0,0,OF
STL,22,11,2,1B
MIA,4,4,0,3B
NYM,6,0,0,C
ATL,12,2,0,2B
LAD,36,11,0,C
CHC,30,9,1,SS
WAS,44,16,1,2B
CHC,6,1,0,OF
MIL,18,8,2,2B
TOR,36,17,0,SS
TEX,35,17,1,SS
MIN,21,3,3,OF
OAK,27,7,1,2B
COL,47,17,1,OF
LAD,44,14,1,SS
LAD,13,9,0,OF
SD,23,7,2,3B
NYM,22,6,0,OF
TB,3,0,0,OF
SD,47,22,2,OF
STL,1,1,0,SS
CIN,44,6,3,OF
BOS,29,13,1,3B
TOR,37,18,0,2B
PIT,1,1,0,OF
PIT,0,0,0,3B
TEX,27,11,5,2B
WAS,46,17,1,SS
MIL,9,4,0,3B
DET,38,15,4,OF
NYM,8,6,1,OF
DET,43,16,1,1B
SEA,7,2,1,SS
MIN,28,12,3,OF
CIN,44,11,1,2B
SD,1,0,0,C
CWS,9,0,1,SS
SF,44,26,3,1B
STL,43,21,1,SS
BOS,42,21,3,SS
LAA,49,17,0,SS
NYM,33,10,4,OF
STL,0,2,0,C
SF,41,15,4,3B
NYY,6,3,0,SS
LAA,6,0,0,3B
TEX,43,17,2,OF
ARI,23,10,3,OF
MIA,1,1,1,SS
TEX,9,2,1,SS
CWS,35,10,1,OF
ATL,26,16,1,C
ARI,20,8,0,2B
PIT,0,0,0,OF
SF,1,1,0,2B
NYM,46,24,0,1B
ATL,42,11,1,OF
TOR,50,20,2,OF
ATL,9,7,0,3B
NYY,1,0,0,2B
MIN,20,4,1,OF
ARI,34,9,2,SS
CWS,53,15,3,1B
TB,38,19,1,2B
CWS,54,14,7,OF
LAA,0,0,0,OF
TEX,10,4,0,OF
CHC,5,3,0,OF
KC,52,16,2,SS
MIN,13,12,1,SS
WAS,29,12,0,C
CWS,13,7,0,C
CIN,2,1,0,OF
LAD,5,3,1,OF
SF,33,8,2,OF
MIA,46,16,4,2B
KC,26,9,0,OF
HOU,12,5,1,SS
SD,12,8,0,2B
CLE,0,0,0,1B
NYY,3,3,0,OF
COL,17,5,3,C
BOS,53,7,1,SS
PIT,30,10,2,C
CLE,21,7,1,C
STL,5,4,0,OF
CIN,40,22,3,OF
OAK,18,14,0,1B
OAK,44,13,2,C
HOU,7,2,0,OF
MIA,5,2,1,2B
MIA,27,14,0,OF
NYM,4,2,0,OF
TB,14,12,0,C
TB,5,5,0,C
ATL,2,1,0,OF
DET,27,13,0,1B
STL,25,8,3,OF
ARI,28,16,2,OF
ARI,13,2,0,SS
NYM,2,0,0,3B
OAK,30,9,1,1B
CHC,5,0,0,2B
MIA,8,7,1,OF
LAA,75,19,1,OF
SF,47,19,4,SS
LAD,6,2,0,3B
MIA,23,0,3,OF
KC,5,4,0,SS
SF,34,13,2,OF
TOR,4,2,0,C
NYM,22,17,0,2B
WAS,0,1,0,OF
CIN,12,11,0,OF
PHI,4,5,0,OF
PHI,22,11,1,OF
PIT,52,25,2,OF
BAL,49,17,0,1B
WAS,28,10,1,OF
ATL,20,7,0,OF
ARI,8,0,0,C
PHI,36,12,2,2B
BOS,6,1,0,OF
BAL,7,2,1,OF
LAD,8,4,0,C
PIT,39,20,0,3B
WAS,7,1,0,C
MIN,48,24,3,3B
WAS,9,4,2,2B
PIT,3,1,0,1B
LAA,2,2,0,OF
PIT,0,0,0,SS
HOU,53,20,0,2B
MIL,14,2,0,C
BAL,1,1,0,C
WAS,5,0,1,OF
BAL,25,8,1,C
MIA,18,10,0,1B
LAD,2,1,0,C
STL,12,7,0,1B
NYM,24,15,0,SS
NYY,67,23,3,OF
CLE,26,10,1,OF
LAA,59,14,0,1B
TEX,1,0,0,C
BOS,1,0,0,OF
TOR,24,7,1,1B
CHC,51,16,4,3B
SEA,28,13,3,SS
LAD,36,9,4,OF
NYY,3,1,0,OF
SEA,1,0,0,1B
MIN,47,15,0,OF
MIL,33,6,3,SS
STL,23,13,1,OF
SEA,2,0,0,C
DET,0,0,0,SS
NYM,5,2,0,C
MIL,10,3,1,3B
NYY,22,20,1,OF
MIA,47,12,1,OF
PIT,1,1,0,3B
LAA,17,8,0,1B
PIT,49,18,1,OF
NYY,46,21,0,1B
COL,55,24,4,3B
LAA,5,0,0,2B
DET,1,3,0,C
ARI,7,5,0,C
