H,BB,GIDP,G,SB,2B,SLG
4,4,1,9,0,0,0.154
1,0,0,1,0,0,0.333
18,1,0,24,0,6,0.3
51,17,1,49,4,9,0.551
5,2,0,8,0,1,0.3
113,81,10,118,1,36,0.392
19,2,0,24,1,3,0.4
89,15,4,66,36,20,0.395
1,1,0,3,0,0,0.083
59,14,7,61,1,10,0.359
47,19,7,49,2,14,0.415
84,28,15,99,2,13,0.304
30,11,3,41,6,4,0.376
10,3,2,17,7,2,0.162
97,18,5,83,2,19,0.459
99,31,5,112,2,18,0.378
82,52,7,101,14,14,0.305
56,6,1,41,7,12,0.56
9,3,0,9,2,3,0.441
103,54,4,114,23,20,0.377
44,10,3,38,0,10,0.46
77,30,9,69,5,10,0.368
80,28,4,88,4,20,0.42
98,35,13,125,7,18,0.349
107,17,4,76,9,11,0.593
1,0,0,1,0,0,0.5
113,69,7,99,7,34,0.563
1,0,0,1,0,1,0.5
80,21,5,84,47,10,0.33
161,18,7,124,40,26,0.408
120,32,4,121,5,33,0.436
26,1,2,31,4,6,0.404
36,15,2,50,2,5,0.321
3,0,0,2,0,0,0.333
5,2,0,4,2,0,0.357
101,47,2,84,1,18,0.589
7,1,1,10,0,3,0.345
4,3,1,5,0,0,0.389
29,19,2,43,14,9,0.351
0,1,2,4,0,0,0.0
62,17,2,47,0,13,0.564
46,11,3,48,7,9,0.42
31,13,0,17,1,4,0.514
3,2,0,7,0,0,0.15
69,16,6,67,23,15,0.572
165,79,9,133,16,42,0.453
112,42,10,118,1,20,0.336
121,36,9,114,5,24,0.395
46,20,6,45,9,6,0.335
75,25,7,102,1,14,0.292
158,63,13,132,8,28,0.424
2,0,0,1,0,0,1.0
86,35,6,76,5,28,0.548
133,34,9,109,24,30,0.494
1,0,0,4,0,0,0.167
68,13,4,57,8,13,0.478
82,22,2,62,6,18,0.405
132,49,12,118,2,15,0.331
39,24,7,66,0,5,0.224
38,20,2,31,1,11,0.496
1,0,1,4,0,0,0.063
12,2,2,21,1,1,0.183
1,2,0,5,0,0,0.1
111,43,10,123,27,15,0.309
2,0,0,2,0,0,0.333
45,19,5,65,8,4,0.286
17,1,7,26,0,1,0.231
55,13,3,53,2,10,0.47
98,23,1,68,2,25,0.597
89,26,3,75,27,14,0.432
132,46,3,118,12,30,0.434
7,1,0,11,1,0,0.3
61,9,5,50,7,14,0.443
84,16,4,101,20,24,0.362
10,5,0,12,1,2,0.484
103,55,8,111,2,28,0.468
8,2,0,9,3,2,0.485
150,19,5,121,50,29,0.444
133,55,8,119,35,30,0.406
51,31,3,51,4,12,0.455
71,11,2,56,0,14,0.403
74,13,8,70,4,13,0.388
53,22,2,58,5,12,0.327
