2B,Player,GIDP,OPS,BB,SH,Team,AB,3B
5,R Raley,0,0.788,6,0,STA,74,0
1,J Egan,0,0.381,1,0,LOW,12,0
0,K Kotch,0,0.267,4,0,ABE,10,0
9,A Davis,1,0.574,21,2,MVS,254,5
0,R Price,0,0.0,0,1,BRO,12,0
7,R Delaughter,3,0.594,17,2,VER,203,1
2,R Andrews,2,0.573,12,2,ABE,105,1
4,B Rowell,0,0.876,4,0,ABE,43,0
9,J Still,13,0.592,26,2,LOW,232,1
6,B Ochoa,0,0.567,7,1,JAM,133,1
0,O Rosales,2,0.674,5,0,TRI,36,0
0,W Vogl,0,0.25,1,0,BRO,3,0
6,T Kennelly,1,0.577,11,3,BAT,134,1
5,J Sanchez,3,0.542,16,2,BRO,169,3
1,A German,0,0.459,1,1,VER,34,0
14,A Van Slyke,5,0.708,11,0,STC,170,1
1,B Logan,0,0.269,4,0,VER,46,0
3,S Ford,0,1.003,3,0,WPT,25,0
2,S Puhl,0,0.533,0,0,BRO,15,0
12,D Scram,1,0.77,26,2,ONE,235,6
4,B Rousseve,2,0.503,12,6,HVR,142,0
6,P Silveren,4,0.621,7,2,ABE,97,1
0,C Reyes,0,0.0,0,0,STC,1,0
0,P Espinoza,0,0.5,0,0,TRI,8,0
12,M McBride,1,0.758,16,0,MVS,184,0
0,B Malek,1,0.083,1,0,BRO,11,0
3,J Hamilton,0,0.687,5,0,HVR,50,1
5,C Shafer,4,0.656,9,0,ABE,128,1
15,B Boesch,4,0.779,21,0,ONE,292,6
7,J Schweitzer,2,0.621,17,2,STC,159,0
5,D Cash,2,0.761,10,1,ABE,111,2
0,W Pena,0,0.333,0,0,LOW,6,0
3,S Douglas,3,0.588,8,3,MVS,198,2
17,M Fields,9,0.657,7,0,HVR,266,0
11,S De Leon,2,0.632,2,0,ONE,174,0
2,E San Pedro,2,0.459,7,1,VER,92,0
16,J Blackwood,7,0.719,11,0,JAM,267,1
3,J Stephen,3,0.476,8,3,ABE,138,0
5,D Rios,1,0.586,11,0,WPT,143,1
0,W Stone,0,0.368,1,1,AUB,13,0
4,L Segovia,4,0.534,23,3,LOW,174,0
3,D Figueroa,1,0.605,13,1,ABE,99,1
3,S Thomas,2,0.491,7,1,STC,126,2
4,J Gil,3,0.71,17,1,STA,105,0
2,D Kaats,0,0.687,7,1,JAM,63,1
4,D Carpenter,2,0.503,11,1,STC,111,0
8,M Spring,1,0.586,13,2,HVR,167,0
10,P Smyth,6,0.738,15,1,LOW,188,2
1,A Laboy,3,0.572,13,2,WPT,173,2
0,M Pulley,3,0.625,5,0,ABE,50,0
4,C Cumberbatch,4,0.588,20,0,MVS,182,0
13,R Bourquin,7,0.741,46,0,ONE,252,1
3,D Kennedy,0,0.517,7,1,HVR,85,0
0,K Pope,1,0.267,2,0,ABE,75,0
15,C Yarbrough,8,0.625,15,0,BAT,204,1
0,J Callender,5,0.483,10,6,HVR,234,2
4,A Salazar,1,0.705,13,5,STC,145,1
0,B Ryan,0,0.517,3,1,STC,34,0
0,A Avila,1,0.273,0,0,ABE,22,0
0,C Looze,0,0.522,2,0,AUB,18,0
0,S Dhaenens,0,0.0,0,1,HVR,6,0
5,J Pacheco,5,0.618,8,0,ABE,119,1
3,J Jimenez,5,0.644,18,0,LOW,136,0
4,C Montgomery,4,0.383,7,4,BAT,141,0
8,B Tripp,3,0.662,16,0,ABE,145,0
8,C Wells,1,0.638,9,1,ONE,105,0
6,V Castillo,3,0.692,15,2,ABE,134,1
0,Z Kalter,0,0.747,11,2,AUB,46,1
2,K Sweppenhiser,1,0.578,9,2,AUB,80,0
1,G Smith,0,0.368,3,0,WPT,33,0
0,R Kalish,0,0.532,2,0,LOW,35,1
1,C Carter,1,0.588,2,0,STC,43,1
2,A Gaerlan,1,0.566,3,1,BRO,21,0
3,Z Penprase,5,0.529,19,3,BAT,190,2
7,Y Sivira,5,0.55,9,3,STC,159,1
5,J Poterson,1,0.49,7,2,STA,80,0
4,P Antoniato,4,0.677,6,0,BAT,120,0
13,D Realini,5,0.668,18,3,MVS,222,1
0,J Contreras,0,0.629,5,0,BRO,24,0
5,M Chambers,5,0.684,22,1,LOW,164,0
0,L Montero,0,0.513,1,0,MVS,17,0
11,J Maxwell,3,0.723,27,0,VER,271,3
3,B Thomas,0,0.488,4,0,MVS,41,0
2,J Vincent,0,0.634,13,0,LOW,114,0
4,C Hatcher,3,0.564,11,1,JAM,127,2
2,A Saylor,3,0.442,15,2,JAM,149,1
0,J Walton,0,0.143,1,1,JAM,6,0
17,J Dempsey,2,0.756,14,0,BAT,210,0
5,J Cooper,4,0.699,6,1,STA,77,1
7,T Lagreid,0,0.482,8,2,HVR,91,0
0,T Dziuba,0,0.136,3,1,BRO,19,0
2,R Jacobsen,3,0.572,2,0,VER,41,0
0,M Santa,0,0.444,0,0,LOW,27,0
8,B Aragon,2,0.613,6,2,STA,131,0
0,B Lacy,0,0.359,6,1,MVS,56,0
0,J Martinez,0,0.333,1,0,BRO,2,0
3,K Watts,1,0.506,12,1,WPT,120,0
0,A Johnson,0,0.406,4,0,WPT,37,0
10,M Loyola,2,0.683,35,6,HVR,216,1
1,J Byler,0,0.522,6,0,WPT,38,0
5,C Coghlan,1,0.745,13,1,JAM,94,1
2,G Martinez,0,0.429,4,1,JAM,114,0
17,S McDougall,3,0.74,30,1,JAM,236,5
11,J Miller,7,0.667,14,3,BAT,225,2
14,J Donald,5,0.709,23,1,BAT,213,2
