RBI,HR,SLG,SO,3B,GIDP,POS,R,H,BB
20,0,0.288,31,1,7,C,10,28,5
15,0,0.285,52,0,2,RF,16,39,14
8,2,0.48,16,0,0,C,10,13,6
27,3,0.299,69,3,2,3B,27,42,36
2,0,0.276,5,0,0,LF,4,6,6
26,6,0.469,38,0,3,3B,34,51,25
10,2,0.233,42,0,1,C,10,21,13
15,2,0.5,27,1,3,1B,20,32,11
37,10,0.45,37,0,4,C,38,42,15
12,2,0.409,38,5,2,2B,22,33,14
14,3,0.368,37,3,2,DH,24,32,35
2,0,0.275,10,0,2,LF,6,9,5
22,5,0.29,76,1,1,CF,31,36,20
19,3,0.462,32,0,2,3B,29,51,19
5,1,0.291,24,0,5,C,16,26,2
8,1,0.388,17,0,0,C,11,12,14
24,4,0.318,39,0,2,1B,18,33,17
5,0,0.322,31,0,2,1B,9,27,9
34,9,0.585,53,0,6,LF,38,72,25
15,0,0.223,18,0,6,LF,15,26,20
13,0,0.255,14,1,0,2B,12,21,11
9,0,0.296,32,2,1,LF,15,42,10
9,2,0.382,30,0,1,C,7,16,3
34,3,0.417,37,5,0,1B,25,62,15
34,5,0.401,52,0,4,3B,26,55,17
6,2,0.325,34,1,0,RF,10,15,10
38,5,0.382,55,3,4,2B,38,55,23
23,9,0.539,28,1,5,DH,22,33,8
15,2,0.359,32,1,3,DH,17,33,9
5,0,0.16,13,0,4,LF,4,11,7
14,0,0.316,11,0,2,DH,12,24,15
7,4,0.366,24,0,3,C,10,21,3
3,1,0.647,5,0,0,3B,2,7,0
7,1,0.306,17,1,1,1B,4,18,3
4,0,0.22,15,0,0,C,6,11,4
0,0,0.0,2,0,0,C,0,0,0
18,3,0.369,61,2,1,LF,34,61,27
23,5,0.74,14,1,1,LF,17,31,5
0,0,0.333,1,0,0,1B,1,1,0
22,4,0.451,34,0,6,1B,11,43,6
35,5,0.477,29,0,3,1B,37,72,23
0,0,0.444,3,0,0,RF,3,3,0
14,1,0.297,51,1,3,SS,18,40,13
20,4,0.366,55,0,1,CF,27,44,11
17,5,0.309,34,0,1,3B,8,13,9
10,0,0.247,33,1,2,CF,8,16,4
13,4,0.477,22,4,4,SS,31,41,17
19,4,0.503,25,1,2,C,24,47,16
21,0,0.421,36,1,2,CF,31,50,6
21,5,0.394,72,3,1,1B,30,45,20
17,4,0.721,7,0,0,SS,18,25,11
