IP,OBP,AVG,AGE,GS,AB,oppOBP,SLG
167.7,0.337,0.269,32,30,631,0.306,0.384
154.3,0.289,0.237,30,24,586,0.321,0.382
203.7,0.308,0.274,33,33,799,0.304,0.421
201.7,0.327,0.252,26,33,750,0.308,0.375
90.7,0.307,0.235,30,15,341,0.324,0.378
211.7,0.336,0.285,34,33,828,0.321,0.448
198.7,0.294,0.259,34,32,757,0.312,0.406
77.7,0.324,0.263,22,11,289,0.309,0.346
174.0,0.325,0.274,26,31,676,0.321,0.45
208.3,0.296,0.24,23,32,788,0.308,0.376
112.3,0.306,0.261,30,18,429,0.309,0.406
90.0,0.367,0.311,22,14,366,0.325,0.516
185.3,0.321,0.275,41,30,721,0.317,0.411
76.7,0.295,0.214,26,0,271,0.318,0.31
210.7,0.305,0.247,25,32,798,0.313,0.363
116.3,0.299,0.264,23,19,439,0.314,0.494
75.3,0.334,0.293,29,0,300,0.316,0.42
200.0,0.3,0.247,24,33,762,0.319,0.395
116.0,0.339,0.261,29,20,433,0.308,0.344
126.0,0.339,0.277,28,21,487,0.324,0.415
124.3,0.321,0.267,22,20,484,0.317,0.407
182.0,0.331,0.285,28,30,727,0.306,0.42
213.3,0.314,0.253,29,33,827,0.318,0.389
161.0,0.297,0.224,29,26,599,0.314,0.314
96.0,0.291,0.249,27,0,357,0.316,0.359
157.7,0.34,0.268,26,31,627,0.312,0.445
124.0,0.326,0.259,25,15,479,0.308,0.367
105.7,0.33,0.295,34,20,424,0.309,0.45
203.7,0.324,0.276,34,33,807,0.32,0.43
177.0,0.314,0.27,24,29,684,0.313,0.395
151.0,0.336,0.281,32,24,584,0.321,0.461
117.7,0.359,0.257,34,20,432,0.315,0.426
169.3,0.33,0.272,31,25,665,0.316,0.442
128.7,0.309,0.248,29,15,471,0.32,0.416
213.0,0.313,0.259,26,33,810,0.317,0.399
219.7,0.258,0.22,32,33,813,0.322,0.371
177.7,0.291,0.234,29,28,650,0.31,0.355
86.3,0.287,0.242,30,9,326,0.312,0.414
75.0,0.295,0.216,25,0,278,0.314,0.291
151.0,0.348,0.26,34,26,574,0.32,0.425
137.0,0.321,0.272,27,23,523,0.318,0.44
191.0,0.304,0.231,36,30,714,0.311,0.335
143.0,0.333,0.261,27,23,537,0.308,0.421
172.7,0.257,0.182,20,28,611,0.315,0.265
81.7,0.323,0.262,29,0,298,0.312,0.359
175.0,0.288,0.233,26,26,647,0.309,0.351
218.3,0.315,0.253,30,34,838,0.316,0.376
162.3,0.338,0.261,25,27,616,0.319,0.391
201.3,0.27,0.203,23,31,720,0.308,0.307
80.0,0.285,0.244,32,13,303,0.315,0.439
204.7,0.275,0.232,25,32,762,0.306,0.382
209.0,0.291,0.234,27,32,773,0.309,0.369
185.7,0.302,0.246,22,30,703,0.306,0.398
132.7,0.357,0.317,32,20,567,0.314,0.547
103.7,0.363,0.299,35,19,415,0.309,0.477
135.3,0.374,0.307,27,24,550,0.319,0.447
147.3,0.316,0.271,27,24,564,0.319,0.413
222.7,0.263,0.232,34,31,832,0.314,0.368
135.0,0.327,0.296,29,22,544,0.31,0.432
92.0,0.303,0.232,27,0,341,0.309,0.346
197.3,0.31,0.253,25,31,742,0.309,0.375
145.0,0.321,0.269,25,17,562,0.321,0.377
141.7,0.35,0.285,22,25,579,0.32,0.451
152.3,0.308,0.233,24,27,567,0.316,0.358
202.7,0.322,0.261,26,33,769,0.307,0.404
236.0,0.244,0.195,25,33,840,0.309,0.277
121.0,0.294,0.237,36,15,452,0.322,0.381
169.7,0.306,0.268,32,30,667,0.312,0.454
77.0,0.276,0.234,28,0,282,0.315,0.291
108.3,0.27,0.199,28,16,376,0.315,0.277
78.3,0.335,0.284,31,12,299,0.299,0.418
182.0,0.286,0.229,29,29,682,0.313,0.33
81.3,0.363,0.305,29,16,344,0.323,0.488
118.0,0.344,0.262,22,20,443,0.31,0.402
138.3,0.313,0.277,28,22,546,0.321,0.485
128.0,0.275,0.229,29,21,476,0.311,0.395
128.7,0.292,0.226,24,23,473,0.321,0.368
87.0,0.303,0.247,30,15,336,0.315,0.366
80.0,0.306,0.201,26,0,289,0.318,0.298
158.0,0.316,0.262,29,29,619,0.315,0.418
208.7,0.329,0.281,29,32,814,0.316,0.381
146.7,0.341,0.261,25,25,547,0.31,0.404
152.7,0.358,0.3,29,29,613,0.32,0.431
153.7,0.382,0.289,28,22,602,0.321,0.453
100.0,0.327,0.243,23,17,371,0.312,0.369
139.3,0.33,0.258,26,20,523,0.325,0.348
104.7,0.281,0.196,23,18,367,0.302,0.368
171.3,0.339,0.256,36,29,664,0.318,0.435
156.3,0.301,0.258,26,26,620,0.319,0.437
131.0,0.348,0.306,26,24,533,0.322,0.503
91.0,0.289,0.234,30,15,338,0.31,0.367
102.7,0.297,0.237,23,17,380,0.314,0.339
180.7,0.325,0.261,27,31,689,0.312,0.395
153.7,0.354,0.297,25,22,620,0.322,0.458
93.0,0.33,0.272,24,17,368,0.318,0.427
130.7,0.315,0.26,27,23,507,0.308,0.442
206.3,0.303,0.241,25,33,764,0.325,0.427
150.0,0.332,0.276,30,24,587,0.313,0.426
86.3,0.26,0.223,26,0,319,0.321,0.357
211.0,0.288,0.238,30,32,797,0.321,0.38
175.3,0.339,0.281,29,31,702,0.308,0.436
197.0,0.307,0.258,27,31,753,0.307,0.398
182.7,0.317,0.239,29,32,682,0.317,0.367
204.3,0.286,0.242,27,31,764,0.321,0.357
108.0,0.338,0.259,29,18,405,0.318,0.375
186.7,0.281,0.252,27,27,707,0.318,0.379
