SF,GIDP,2B,SB,POS,RBI,OBP,Team,AVG
0,0,0,0,P,0,--,TUL,--
0,6,12,1,C,22,.301,ARK,.206
0,3,7,0,3B,10,.293,TUL,.237
0,0,0,0,2B,0,.182,TUL,.100
1,8,13,7,2B,27,.338,NWA,.294
1,4,12,0,1B,19,.353,SA,.255
1,2,12,2,RF,16,.304,MID,.240
0,0,0,0,SS,0,.231,FRI,.200
2,11,12,15,2B,30,.289,FRI,.257
0,2,0,0,OF,0,.182,ARK,.122
0,0,0,0,P,0,--,SPR,--
3,2,19,12,OF,34,.405,MID,.280
0,0,0,0,P,1,.125,TUL,.125
0,1,3,3,C,8,.297,SA,.224
2,8,16,2,3B,40,.340,MID,.263
1,0,0,0,C,1,.111,CC,.125
0,0,0,0,P,0,.333,SA,.000
4,11,18,30,CF,38,.299,ARK,.214
0,0,0,0,P,0,1.000,SA,1.000
0,2,5,1,C,9,.262,TUL,.194
3,4,22,4,2B,56,.339,ARK,.274
3,11,20,14,3B,42,.279,ARK,.221
1,3,12,0,1B,24,.340,MID,.250
1,9,11,21,OF,47,.283,FRI,.248
0,0,0,0,C,0,.167,FRI,.167
3,8,9,18,OF,29,.274,TUL,.207
0,0,0,0,2B,0,1.000,SA,1.000
0,0,0,0,P,0,.167,TUL,.000
1,7,12,5,OF,23,.323,NWA,.262
0,0,0,0,P,0,.111,SPR,.111
0,0,0,0,P,0,--,SA,--
0,0,0,0,P,0,--,FRI,--
1,10,17,1,3B,40,.337,FRI,.279
0,0,0,0,C,0,.400,FRI,.250
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,.167,TUL,.167
0,1,0,0,C,0,.200,MID,.111
0,2,7,15,RF,26,.333,NWA,.244
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,--,FRI,--
1,4,10,1,DH,22,.306,SA,.238
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,--,SPR,--
0,1,0,0,SS,2,.182,ARK,.182
0,1,1,0,3B,0,.250,SPR,.172
3,7,17,7,OF,32,.323,SPR,.258
0,0,0,0,1B,0,.250,FRI,.250
0,0,0,0,P,0,.000,SA,.000
1,1,20,23,CF,55,.399,CC,.297
0,1,2,0,3B,6,.321,MID,.240
2,8,5,0,C,22,.285,SA,.246
0,0,0,0,P,0,.250,SPR,.250
1,0,0,1,2B,1,.133,SPR,.107
0,0,0,0,P,0,--,SPR,--
1,0,1,0,C,1,.120,SPR,.087
0,3,8,5,2B,19,.354,FRI,.306
0,2,1,0,DH,3,.170,NWA,.154
0,0,0,0,P,0,--,SPR,--
0,0,0,0,P,0,.000,SA,.000
1,2,9,9,CF,9,.305,TUL,.236
0,0,0,0,P,0,.167,SPR,.000
5,11,20,1,C,60,.333,CC,.277
0,1,5,0,3B,11,.322,CC,.238
6,5,26,17,OF,54,.305,MID,.237
0,0,0,0,RF,0,.333,SPR,.200
4,8,9,6,CF,22,.223,NWA,.193
0,1,0,0,P,1,.250,SPR,.200
2,2,10,19,2B,20,.331,SA,.289
3,4,7,4,SS,12,.250,NWA,.213
4,8,20,4,1B,57,.372,SA,.296
0,0,0,0,P,0,--,FRI,--
2,7,34,17,SS,61,.344,MID,.260
0,3,0,0,1B,6,.275,SA,.171
4,2,17,4,C,47,.313,TUL,.236
1,7,23,12,RF,64,.345,CC,.252
0,0,0,0,C,1,.500,MID,.500
2,2,11,0,C,26,.280,SA,.240
3,8,29,3,1B,51,.452,MID,.350
2,13,18,5,2B,46,.297,CC,.236
3,2,5,5,SS,11,.379,CC,.298
0,0,0,0,P,0,1.000,SA,1.000
0,1,0,0,P,0,.000,TUL,.000
0,1,0,0,1B,0,.067,CC,.000
1,1,2,0,LF,5,.289,TUL,.262
0,0,0,0,P,0,--,SPR,--
1,1,0,4,3B,2,.333,SA,.195
0,0,0,0,P,0,--,SPR,--
7,13,21,6,3B,58,.310,NWA,.283
0,0,0,0,P,0,.000,SPR,.000
0,0,1,2,2B,8,.500,CC,.455
0,0,0,0,P,0,.000,FRI,.000
0,2,2,1,3B,9,.305,FRI,.233
0,0,0,0,P,0,--,SA,--
7,6,26,0,1B,84,.323,TUL,.261
0,3,2,1,C,2,.290,TUL,.210
2,10,29,20,OF,51,.320,MID,.285
0,0,0,0,P,0,.000,TUL,.000
2,7,20,0,OF,42,.278,CC,.203
0,0,0,0,P,0,.000,TUL,.000
0,0,0,0,P,0,--,FRI,--
5,3,23,59,OF,41,.348,SA,.266
0,1,3,0,1B,3,.500,FRI,.500
4,7,11,8,CF,44,.356,SPR,.251
1,4,8,10,RF,37,.383,FRI,.268
3,4,11,1,C,32,.282,MID,.191
1,4,6,6,CF,28,.388,SPR,.301
1,8,10,9,SS,28,.293,CC,.194
1,8,13,14,SS,30,.276,SPR,.237
0,4,4,5,SS,15,.286,FRI,.259
