Player,BB,G,3B,CS,GIDP,SH,OBP,RBI
W Pichardo,18,52,2,9,1,4,0.357,11
C Smith,4,36,0,0,3,0,0.207,12
B Schultz,12,22,3,4,3,1,0.476,15
K Rucker,16,39,0,2,3,1,0.314,9
J Tabata,2,4,0,0,0,0,0.538,7
R Cabreja,0,4,0,0,1,0,0.357,5
E Dukes,0,2,0,0,0,0,0.0,0
J Talley,9,42,1,0,3,0,0.348,29
A Schoenberger,14,32,1,1,1,1,0.296,1
J McClanahan,16,47,2,8,3,0,0.356,32
S Hill,0,4,0,0,1,0,0.313,5
D Hood,8,25,1,2,5,2,0.333,14
W Diaz,3,5,0,0,0,0,0.5,1
J Torres,0,21,0,1,2,0,0.3,8
R Ynoa,21,43,1,4,4,6,0.408,16
A Hidalgo,15,26,0,1,3,1,0.453,17
T Pastornicky,21,50,3,5,1,0,0.349,17
T Obregon,23,46,0,3,2,5,0.272,17
G Gonzalez,12,36,0,1,4,1,0.336,8
J Ceballos,4,27,2,0,2,0,0.311,15
J Paredes,8,47,2,0,4,1,0.328,15
R Grossman,4,5,0,0,0,0,0.381,1
M Rizzotti,4,4,1,0,0,0,0.611,6
V Cegles,0,3,0,0,0,0,0.143,0
A Dionicio,0,5,1,0,2,0,0.2,2
W Pena,2,7,0,0,0,0,0.235,0
K Roque,11,37,1,3,0,2,0.314,12
K Moscatel,4,26,0,2,0,1,0.23,2
V Sanchez,13,34,2,7,3,5,0.376,10
J New,13,35,0,0,4,1,0.333,8
J Guzman,9,30,0,2,0,1,0.317,2
G Rosa,1,49,3,2,2,3,0.339,29
B Greenwell,23,46,3,4,4,0,0.359,14
S Leon,9,26,1,2,0,1,0.294,11
A Vargas,12,39,1,1,5,1,0.335,15
C Weems,11,28,0,0,1,1,0.348,10
P Antoniato,0,2,0,0,1,0,0.286,1
C Puckett,10,18,0,1,0,0,0.372,10
R Jean,9,33,0,2,5,3,0.344,16
B Hiraldo,12,41,3,4,3,0,0.319,13
C Parry,8,19,1,1,2,0,0.375,14
