AB,SLG,GIDP,RBI,SB,Player,CS,3B,SH,OPS
112,.616,2,15,3,R Garth,2,5,0,1.046
170,.412,1,21,7,V Arce,5,0,1,.817
133,.526,1,27,1,K Gergel,1,2,0,.903
48,.438,1,6,0,J Alonso,0,0,0,.813
126,.333,0,11,5,T Turner,3,3,2,.609
36,.222,0,5,0,J Rivera,0,0,0,.447
25,.400,0,4,0,D Sutton III,0,0,0,.757
165,.412,2,22,3,M Ryan,0,2,0,.742
21,.476,1,6,0,M Nickeas,0,0,0,.876
11,.455,0,3,0,J Nelson,0,1,0,.812
62,.258,6,5,5,B Groth,1,1,0,.625
133,.436,1,23,12,C Stanton,4,1,2,.789
36,.056,1,0,1,J Luster,0,0,1,.206
57,.333,0,7,3,C Avila,0,0,4,.617
25,.600,0,9,1,A Blanco,2,0,1,.970
168,.423,2,29,6,N Yoho,1,5,0,.769
2,.000,0,0,0,K Bone,0,0,0,.333
43,.349,2,6,2,L King,0,0,2,.749
120,.317,3,16,0,J Napoli,2,3,0,.611
2,1.000,0,0,0,J Muyco,0,0,0,1.500
197,.421,4,31,17,O Gonzalez,5,5,0,.786
83,.265,2,5,1,J Blanc,3,1,2,.509
12,1.000,0,4,0,R Eastley,0,0,0,1.714
19,.474,0,3,1,J Westphal,1,1,0,.874
168,.399,3,25,0,N Crouch,0,0,1,.778
112,.393,2,16,7,J Johnson,1,2,2,.780
102,.333,2,17,4,R Mount,1,1,0,.659
110,.464,1,25,7,J Graterol,5,2,0,.910
70,.671,0,17,3,P Hawke,0,1,0,1.177
13,.769,1,4,0,M Gomez,0,0,0,1.240
137,.328,4,13,3,C Steiner,0,0,1,.629
37,.486,0,10,0,D Buller,1,0,0,.945
46,.196,2,3,0,J Lowen,2,0,0,.416
84,.548,1,18,1,C Smith,2,0,0,.956
96,.458,1,14,12,J Howard,2,2,1,.871
9,.889,0,1,1,R Yan,0,1,0,1.489
132,.409,3,15,8,L Rivera,2,4,0,.772
201,.378,4,24,19,A Piper-Jordan,10,7,6,.701
71,.380,1,6,1,B Dennis III,2,0,2,.747
57,.246,2,5,0,O Marrero,0,0,0,.563
76,.395,0,13,2,J Defendis,1,1,0,.740
73,.274,2,10,3,N Rojas,1,1,4,.561
44,.227,0,5,0,D Johnston,3,0,0,.507
22,.364,1,3,1,R Angoma,0,0,0,.668
0,--,0,0,0,M Parejo,0,0,0,--
1,.000,1,0,0,D Pruitt,0,0,0,.000
68,.279,2,7,0,J Morgan,0,0,0,.553
57,.298,2,7,2,H Perez,1,0,1,.652
12,.167,0,1,0,T Gregorio,0,0,0,.397
22,.182,0,3,2,R Prettyman,0,0,0,.462
100,.330,3,14,0,N Prosise,3,0,0,.636
124,.363,3,21,4,J Acha,1,2,1,.730
26,.423,1,3,1,G Laird,0,2,0,.699
83,.289,1,13,1,J Stanfield,1,0,0,.612
128,.281,1,10,8,M Smith,3,1,0,.612
13,.615,1,2,0,M Diaz,1,0,0,1.077
24,.667,0,3,0,J Hernandez,0,0,0,1.115
29,.621,0,5,0,D Maroul,0,0,0,.976
48,.208,0,4,0,R Chang,0,0,0,.463
81,.420,0,13,1,R Boudreaux,0,0,0,.826
169,.497,1,32,9,R Alvarado,4,3,0,.909
148,.345,4,18,0,W Matos,3,1,2,.649
5,.200,0,0,0,N Garciaparra,0,0,0,.400
61,.295,0,5,7,V Heredia,3,1,3,.572
10,.000,0,0,0,D Matranga,0,0,0,.000
87,.552,2,18,0,E Hernandez,2,1,0,.974
203,.419,3,33,27,T Mehl,8,3,0,.822
48,.167,4,4,2,N Doscher,0,0,0,.516
193,.378,1,10,40,A Richardson,6,2,7,.844
164,.500,3,30,3,K Blanks,1,1,0,.920
169,.296,4,19,10,S Schoop,4,0,7,.624
103,.437,2,11,2,D Sales,1,2,0,.812
70,.457,2,11,2,I Palencia,3,0,0,.925
9,.222,1,2,1,J Leblanc,0,0,0,.333
16,.563,0,1,3,N Haynes,0,2,0,.931
182,.407,0,24,13,P Phillips,5,6,0,.735
44,.273,2,2,1,D Desouza,1,0,1,.619
190,.426,3,35,11,J Whittleman,4,8,0,.819
12,.417,0,3,1,R Quinlan,0,0,0,.750
36,.361,1,2,1,J Silva,0,1,0,.624
174,.460,6,27,3,D Lewis,3,5,1,.840
81,.494,1,17,2,M Edwards,4,2,0,.875
166,.392,4,23,9,T Johnson,3,1,0,.718
153,.399,1,24,6,J Guzman,4,2,1,.772
173,.376,2,19,14,M Brantley,5,1,4,.802
15,.400,0,2,0,L Merloni,0,0,0,.812
1,.000,0,0,0,A De La Cruz,0,0,0,.000
30,.300,0,4,0,B Gunther,0,0,0,.653
185,.314,6,14,18,R Anderson,9,0,1,.677
126,.254,5,12,4,F Medina,2,4,2,.467
53,.509,0,10,0,T Johnston,3,0,0,.973
84,.369,5,11,1,M Mercedes,2,0,1,.710
59,.508,1,12,4,W Venable,0,2,0,.893
113,.327,3,6,0,G Harper,1,1,0,.617
22,.227,0,4,0,B Crabtree,0,0,0,.445
110,.300,4,12,2,A Carvajal,1,1,1,.576
86,.279,3,10,0,M Maldonado,0,0,1,.557
150,.280,1,14,5,J Gonzalez,2,1,4,.544
187,.439,6,33,2,J Jimenez,0,3,0,.799
124,.395,6,16,0,E Gill,0,0,1,.731
15,.067,0,1,1,A Martinez,0,0,0,.317
128,.430,1,25,1,F Peralta,2,2,0,.772
67,.328,3,8,2,K Dixon,0,0,1,.616
