OPS,GIDP,SO,G,RBI,R,AVG,CS,AB,SB
1.057,0,3,5,1,2,.421,1,19,0
.535,0,7,6,2,3,.176,0,17,0
.707,0,10,13,4,7,.273,0,44,1
.641,0,3,3,1,2,.250,0,12,0
.222,0,2,2,0,1,.000,0,7,1
.744,9,58,111,38,68,.282,7,461,9
.880,0,11,12,5,3,.303,0,33,0
.796,9,66,70,38,43,.284,4,264,20
.729,10,67,71,33,38,.287,9,282,18
.879,2,10,17,7,10,.317,1,63,0
.471,1,31,26,3,9,.198,2,81,1
.775,8,133,135,81,72,.258,2,504,3
.393,0,1,5,0,1,.143,0,7,0
.462,3,24,32,6,5,.160,0,100,0
.629,2,52,70,24,26,.232,2,203,8
.659,2,14,19,6,9,.284,3,67,3
.883,0,3,4,1,4,.333,0,12,1
.650,0,0,2,0,0,.250,0,4,1
.640,7,105,99,38,48,.205,2,341,0
.482,2,17,17,12,7,.145,0,55,0
.628,9,57,107,48,42,.236,6,347,14
.607,1,10,5,2,0,.250,0,16,0
.754,10,23,34,14,17,.257,1,109,3
.724,8,81,106,28,54,.285,11,361,23
.697,0,39,32,19,17,.252,0,119,0
.528,3,4,7,1,2,.188,0,16,0
.633,9,94,121,29,50,.252,11,433,15
.669,3,43,41,17,22,.242,4,157,4
.813,11,112,116,75,64,.289,6,450,4
.923,6,50,60,45,43,.311,1,238,21
.655,3,77,114,32,65,.249,14,402,22
.796,8,36,78,33,56,.331,6,323,31
.673,2,4,4,2,2,.188,0,16,0
.829,13,107,137,88,69,.287,1,491,2
.603,2,37,43,13,18,.222,0,144,0
.695,1,35,26,8,10,.154,0,65,1
.412,6,42,57,6,10,.165,4,139,1
.708,7,38,60,20,32,.288,5,236,8
.563,3,16,55,21,24,.259,3,189,12
.650,0,2,2,0,1,.250,0,4,0
.680,5,49,59,19,29,.248,1,202,3
.607,10,49,81,21,33,.219,0,237,0
.707,3,77,82,41,41,.228,3,272,2
.691,1,11,21,6,9,.271,0,70,0
.852,7,78,85,64,55,.287,0,321,19
.399,1,35,35,4,8,.162,0,99,1
.576,5,115,111,24,40,.209,10,344,24
.610,1,32,29,6,13,.211,0,95,0
1.125,0,0,4,0,3,.500,0,16,0
.768,11,64,92,53,39,.291,2,358,7
