SLG,oppOBP,oppOPS,AB,IP
0.304,0.32,0.736,112,30.7
0.393,0.318,0.718,244,60.3
0.427,0.315,0.711,218,56.3
0.39,0.317,0.722,777,209.3
0.415,0.319,0.725,130,36.7
0.468,0.321,0.738,158,40.3
0.274,0.322,0.729,226,65.0
0.332,0.326,0.74,199,52.3
0.7,0.31,0.718,10,2.0
0.333,0.344,0.844,3,0.7
0.426,0.309,0.685,61,16.3
0.396,0.318,0.721,106,28.0
0.36,0.317,0.723,242,67.0
0.376,0.316,0.718,117,31.7
0.561,0.313,0.721,189,45.7
0.333,0.32,0.721,117,32.7
0.538,0.352,0.778,13,2.7
0.215,0.333,0.755,93,27.3
0.478,0.319,0.736,209,52.0
0.515,0.322,0.726,103,25.0
0.346,0.32,0.731,708,191.3
0.633,0.298,0.687,30,6.3
0.402,0.318,0.733,669,177.0
0.431,0.319,0.722,174,47.7
0.348,0.313,0.715,227,60.7
0.479,0.323,0.73,219,54.0
0.231,0.308,0.705,108,30.0
0.286,0.314,0.709,496,138.0
1.556,0.34,0.795,9,1.0
0.448,0.312,0.732,29,7.3
0.429,0.268,0.67,7,2.0
0.2,0.265,0.599,5,1.7
0.579,0.327,0.73,19,5.0
0.563,0.337,0.756,48,12.3
0.4,0.322,0.727,295,74.7
0.385,0.32,0.735,65,16.7
0.156,0.316,0.721,45,13.3
0.488,0.323,0.736,41,10.3
0.48,0.325,0.741,244,61.7
0.333,0.323,0.741,51,14.3
0.469,0.315,0.711,239,61.3
0.409,0.321,0.737,716,187.7
0.442,0.315,0.721,792,205.3
0.423,0.325,0.744,248,63.7
0.5,0.31,0.716,70,17.0
0.172,0.327,0.746,215,62.7
0.457,0.313,0.702,278,69.0
0.226,0.318,0.734,248,71.7
0.305,0.315,0.723,249,67.0
0.457,0.325,0.729,81,18.0
0.368,0.31,0.71,804,211.0
0.407,0.319,0.713,135,35.7
0.647,0.313,0.722,51,11.0
0.37,0.317,0.717,711,192.0
0.404,0.313,0.708,631,171.0
0.29,0.327,0.749,200,55.3
0.3,0.32,0.741,40,12.0
0.7,0.312,0.713,30,8.0
1.0,0.295,0.67,13,1.7
0.423,0.315,0.716,650,168.3
0.526,0.302,0.707,76,18.7
0.327,0.319,0.725,208,57.3
0.571,0.328,0.763,28,6.3
0.511,0.317,0.732,673,170.3
0.479,0.316,0.729,121,30.7
0.499,0.31,0.708,337,84.7
0.361,0.316,0.72,758,202.3
0.535,0.316,0.721,129,31.3
0.411,0.308,0.694,263,69.3
0.392,0.31,0.708,758,198.7
0.404,0.316,0.724,235,60.3
0.632,0.339,0.798,19,5.0
0.397,0.319,0.731,73,19.3
0.368,0.324,0.742,19,5.7
0.385,0.316,0.71,288,75.7
0.318,0.317,0.73,767,211.0
0.464,0.321,0.739,373,96.7
0.424,0.312,0.725,66,17.0
0.388,0.314,0.712,742,195.7
0.0,0.325,0.702,2,0.7
