SB,2B,SO,RBI,G,GIDP
21,19,84,68,134,8
0,0,0,0,1,0
0,8,85,45,91,10
5,14,65,39,107,9
13,25,120,93,138,16
0,7,39,19,36,1
0,0,0,0,23,0
2,16,17,33,79,2
1,5,13,13,20,2
10,11,36,24,49,2
0,0,3,0,4,0
0,0,0,0,20,0
0,3,39,16,29,1
1,15,54,41,68,4
24,28,86,53,128,11
0,0,0,0,1,0
1,3,14,10,24,0
0,1,6,6,15,2
0,1,1,0,3,1
0,0,1,0,8,0
0,0,0,0,18,0
3,5,45,13,46,4
0,1,8,6,11,1
0,0,0,0,24,0
0,23,74,72,101,7
1,22,78,44,101,7
0,0,4,0,10,0
0,0,1,2,11,0
0,3,14,9,29,4
0,0,2,0,4,0
0,23,61,43,111,12
0,0,1,0,24,0
0,0,1,0,8,0
0,0,1,0,5,0
0,0,0,0,1,0
0,14,38,39,69,5
4,24,96,69,124,5
0,1,19,6,22,2
0,1,2,0,4,1
4,4,19,11,26,0
1,4,11,4,15,1
0,0,2,1,6,0
1,22,69,61,126,10
4,2,18,7,20,1
6,5,13,3,41,3
11,32,77,84,130,13
0,5,19,15,30,1
14,16,41,34,91,4
0,0,3,2,5,1
2,2,7,3,18,0
0,0,1,0,4,0
0,0,0,0,14,0
0,0,0,0,7,0
0,0,4,0,19,0
0,0,4,0,8,0
8,25,72,54,131,10
0,0,1,0,5,0
1,8,55,20,65,2
1,8,54,32,68,3
18,24,69,40,131,5
1,38,114,78,121,7
0,15,77,53,103,9
0,0,1,0,4,0
6,47,80,84,134,13
14,8,40,12,60,6
0,3,18,13,35,5
0,0,3,0,8,0
5,27,110,57,124,6
4,17,32,46,64,2
0,0,0,0,3,0
0,1,1,0,2,0
0,1,3,3,11,0
3,21,58,51,98,16
0,1,17,9,26,3
11,18,83,46,99,4
3,11,22,26,59,5
3,1,20,8,24,2
0,0,2,0,15,0
0,0,1,0,20,0
8,13,35,21,70,5
