H,SF,Team,SB,3B,HR,OPS,2B,GIDP,BB
56,4,WSH,2,1,3,0.593,11,2,20
20,1,NYM,0,0,1,0.548,3,3,12
131,1,COL,4,1,21,0.801,22,7,15
25,0,PIT,0,0,3,0.61,6,2,5
95,6,ARI,0,0,11,0.662,14,18,51
9,0,CIN,0,0,0,0.766,5,1,5
19,1,SD,0,0,1,0.693,8,1,18
32,1,SF,0,0,3,0.649,4,1,7
6,0,LAD,0,0,0,0.411,0,4,6
16,0,PHI,0,0,2,0.7,4,3,3
93,6,LAD,0,1,10,0.682,17,11,45
34,1,ATL,1,0,1,0.739,8,4,14
16,1,SF,0,0,1,0.539,7,4,5
15,1,MIA,0,0,4,0.642,2,2,5
77,5,CIN,0,0,9,0.649,13,9,24
104,2,CHC,2,0,8,0.746,23,13,34
2,0,SD,0,0,1,0.583,0,0,0
1,0,LAD,0,0,0,0.286,0,0,0
0,0,MIA,0,0,0,0.25,0,1,1
14,1,PIT,0,0,2,0.688,4,2,3
58,3,ARI,0,0,1,0.69,11,7,8
87,3,SD,1,0,13,0.679,19,7,26
83,2,PHI,1,0,5,0.688,16,11,18
0,0,ATL,0,0,0,0.0,0,0,0
29,2,NYM,0,0,6,0.68,7,1,13
4,0,PHI,0,0,0,0.742,1,0,1
2,0,CHC,0,0,0,0.633,1,0,0
0,0,PHI,0,0,0,0.0,0,0,0
