SB,3B,SLG,POS,H,SH,AB
7,2,0.272,2B,40,3,184
1,1,0.219,2B,12,2,64
0,0,0.0,C,0,0,6
1,1,0.324,C,27,0,102
16,0,0.479,SS,44,1,121
1,0,0.051,OF,2,0,39
0,0,0.212,C,26,0,146
3,1,0.4,1B,35,0,105
5,0,0.342,3B,65,5,243
0,1,0.247,OF,18,1,89
0,0,0.094,1B,3,0,32
2,1,0.466,C,64,1,189
1,0,0.194,OF,30,2,160
4,6,0.444,OF,65,1,232
19,1,0.439,SS,83,0,230
0,1,0.251,C,37,1,191
4,1,0.294,SS,55,2,218
25,1,0.442,2B,64,10,190
0,1,0.864,DH,9,0,22
3,1,0.422,C,80,0,251
0,0,0.248,C,21,1,101
0,0,0.311,3B,13,0,61
15,2,0.385,SS,71,1,226
0,0,0.197,C,12,1,76
4,0,0.366,2B,21,2,93
10,1,0.297,CF,53,11,222
4,0,0.309,2B,36,5,136
1,3,0.345,OF,46,3,174
6,2,0.357,1B,62,0,235
1,0,0.077,SS,1,0,13
4,1,0.468,OF,62,0,218
2,1,0.293,C,33,1,147
6,1,0.587,OF,37,1,138
2,0,0.346,C,14,1,52
5,0,0.198,OF,19,2,101
10,5,0.412,OF,54,3,177
19,1,0.372,3B,63,1,218
4,5,0.427,2B,55,1,206
9,1,0.402,3B,50,3,169
6,1,0.301,SS,29,3,133
0,0,0.313,1B,18,0,80
0,1,0.33,C,27,2,112
1,1,0.414,SS,45,5,145
0,0,0.181,1B,11,3,72
3,0,0.298,C,30,3,131
4,0,0.356,OF,36,3,132
1,0,0.227,OF,12,4,66
4,3,0.366,DH,46,0,172
12,0,0.422,OF,29,1,83
0,0,0.351,C,22,3,74
0,0,0.306,C,17,0,72
4,2,0.504,RF,72,0,240
2,0,0.275,OF,23,0,91
2,0,0.417,3B,65,0,218
1,0,0.278,1B,17,0,79
10,1,0.357,OF,40,5,143
2,2,0.364,2B,49,6,184
12,0,0.349,SS,27,0,106
5,2,0.302,SS,42,9,172
1,0,0.238,OF,17,0,84
25,0,0.51,CF,76,0,241
0,0,0.169,1B,10,0,71
7,1,0.366,OF,64,1,232
4,1,0.4,CF,35,3,120
13,0,0.37,OF,66,0,243
8,0,0.256,OF,42,1,195
0,2,0.185,C,19,1,130
44,3,0.393,3B,73,6,229
0,0,0.221,C,12,0,68
2,0,0.45,C,36,3,120
0,0,0.255,C,34,0,145
9,1,0.266,OF,52,2,222
