oppOPS,YEAR,TEAM,LG,PPF,LVL,SLG,NAME,oppOBP,IP
0.724,2012,BOS,AL,107,MLB,0.448,Daniel Bard,0.317,59.3
0.736,2012,TEX,AL,104,MLB,0.385,Mike Adams,0.322,52.3
0.697,2012,MIL,NL,111,MLB,0.412,Mark Rogers,0.305,39.0
0.743,2012,SEA,AL,90,MLB,0.342,Lucas Luetge,0.324,40.7
0.724,2012,BOS,AL,104,MLB,0.432,Josh Beckett,0.318,127.3
0.722,2012,ANA,AL,95,MLB,0.366,Jordan Walden,0.316,39.0
0.704,2012,CHN,NL,102,MLB,0.464,Randy Wells,0.305,28.7
0.738,2012,TOR,AL,105,MLB,0.43,Drew Hutchison,0.321,58.7
0.724,2012,COL,NL,119,MLB,0.377,Rafael Betancourt,0.324,57.7
0.722,2012,CHN,NL,107,MLB,0.496,Chris Rusin,0.311,29.7
0.748,2012,HOU,NL,99,MLB,0.279,Hector Ambriz,0.322,19.3
0.703,2012,SDN,NL,96,MLB,0.395,Josh Spence,0.309,10.3
0.715,2012,ATL,NL,99,MLB,0.496,Livan Hernandez,0.313,31.0
0.73,2012,SLN,NL,100,MLB,0.658,J.c. Romero,0.32,8.0
0.726,2012,CLE,AL,101,MLB,0.44,Derek Lowe,0.318,119.0
0.727,2012,PHI,NL,98,MLB,0.344,Jonathan Papelbon,0.322,70.0
0.712,2012,TEX,AL,109,MLB,0.55,Justin Grimm,0.314,14.0
0.717,2012,MIL,NL,112,MLB,0.483,Mike Mcclendon,0.313,14.0
0.757,2012,SDN,NL,96,MLB,0.197,Tom Layne,0.337,16.7
0.736,2012,TOR,AL,104,MLB,0.304,Aaron Loup,0.32,30.7
0.716,2012,CHN,NL,101,MLB,0.318,Miguel Socolovich,0.321,6.0
0.732,2012,NYA,AL,99,MLB,0.448,Chad Qualls,0.312,7.3
0.705,2012,TBA,AL,96,MLB,0.231,Cesar Ramos,0.308,30.0
0.774,2012,DET,AL,107,MLB,0.585,Jacob Turner,0.334,12.3
0.735,2012,CLE,AL,98,MLB,0.313,Frank Herrmann,0.318,19.3
0.741,2012,TBA,AL,94,MLB,0.198,Fernando Rodney,0.318,74.7
0.663,2012,SDN,NL,89,MLB,0.526,Dustin Moseley,0.305,5.0
0.73,2012,TOR,AL,105,MLB,0.509,Brad Lincoln,0.316,28.7
0.713,2012,MIL,NL,109,MLB,0.372,Manny Parra,0.318,58.7
0.844,2012,OAK,AL,89,MLB,0.333,Rich Thompson,0.344,0.7
0.736,2012,CIN,NL,100,MLB,0.308,Sean Marshall,0.325,61.0
0.747,2012,BOS,AL,101,MLB,0.499,Aaron Cook,0.321,94.0
0.745,2012,CLE,AL,98,MLB,0.364,Chris Seddon,0.323,34.3
0.713,2012,COL,NL,121,MLB,0.502,Guillermo Moscoso,0.314,50.0
0.687,2012,HOU,NL,98,MLB,0.857,Brian Bogusevic,0.298,1.0
0.727,2012,CLE,AL,100,MLB,0.471,Jeanmar Gomez,0.318,90.7
0.735,2012,BOS,AL,105,MLB,0.438,Felix Doubront,0.319,161.0
0.715,2012,CHN,NL,99,MLB,0.402,Paul Maholm,0.313,120.3
0.717,2012,MIL,NL,109,MLB,0.349,Jose Veras,0.319,67.0
0.748,2012,MIA,NL,95,MLB,0.336,Steve Cishek,0.327,63.7
0.706,2012,MIL,NL,107,MLB,0.569,Livan Hernandez,0.311,36.3
0.718,2012,HOU,NL,102,MLB,0.484,David Carpenter,0.314,29.7
0.73,2012,BOS,AL,103,MLB,0.422,Alfredo Aceves,0.318,84.0
0.721,2012,ATL,NL,99,MLB,0.544,Jair Jurrjens,0.315,48.3
0.699,2012,BAL,AL,109,MLB,0.429,Chris Davis,0.302,2.0
0.705,2012,SFN,NL,92,MLB,0.379,Ryan Vogelsong,0.31,189.7
0.715,2012,CHN,NL,99,MLB,0.414,James Russell,0.317,69.3
0.768,2012,NYA,AL,103,MLB,1.0,Adam Warren,0.327,2.3
0.743,2012,TOR,AL,106,MLB,0.451,Kyle Drabek,0.321,71.3
0.721,2012,BAL,AL,107,MLB,0.453,Kevin Gregg,0.318,43.7
0.759,2012,LAN,NL,93,MLB,0.278,Ronald Belisario,0.331,71.0
0.694,2012,ATL,NL,97,MLB,0.406,Paul Maholm,0.307,68.7
0.69,2012,TBA,AL,98,MLB,0.75,Dane De La Rosa,0.298,5.0
0.714,2012,TEX,AL,103,MLB,0.406,Matt Harrison,0.313,213.3
0.736,2012,KCA,AL,103,MLB,0.471,Luke Hochevar,0.321,185.3
0.722,2012,LAN,NL,94,MLB,0.331,Javy Guerra,0.318,45.0
0.719,2012,SFN,NL,92,MLB,0.361,Matt Cain,0.316,219.3
0.723,2012,MIN,AL,105,MLB,0.405,Matt Capps,0.315,29.3
0.752,2012,SLN,NL,107,MLB,0.5,Brian Fuentes,0.331,5.0
0.73,2012,BAL,AL,105,MLB,0.406,Luis Ayala,0.318,75.0
0.677,2012,HOU,NL,97,MLB,0.558,Enerio Del Rosario,0.304,19.0
0.721,2012,TOR,AL,105,MLB,0.389,Steve Delabar,0.312,29.3
0.7,2012,NYN,NL,96,MLB,0.459,Chris Young,0.308,115.0
0.741,2012,CHA,AL,106,MLB,0.333,Leyson Septimo,0.323,14.3
0.737,2012,ARI,NL,102,MLB,0.282,David Hernandez,0.324,68.3
0.738,2012,DET,AL,105,MLB,0.41,Luis Marte,0.323,22.3
0.733,2012,ANA,AL,97,MLB,0.423,Jason Isringhausen,0.322,45.7
0.738,2012,SDN,NL,91,MLB,0.468,Andrew Werner,0.321,40.3
0.707,2012,CHN,NL,110,MLB,0.526,Jason Berken,0.302,18.7
0.733,2012,WAS,NL,100,MLB,0.372,Christian Garcia,0.321,12.7
0.756,2012,DET,AL,107,MLB,0.563,Casey Crosby,0.337,12.3
0.734,2012,DET,AL,105,MLB,0.432,Joaquin Benoit,0.322,71.0
0.721,2012,LAN,NL,93,MLB,0.333,Scott Elbert,0.32,32.7
