GIDP,G,OPS,BB,AB
3,36,.577,10,105
4,25,.580,6,77
1,5,.683,1,18
0,1,--,0,0
1,47,.511,6,167
0,24,.492,7,72
0,2,.167,1,5
4,99,.772,21,418
0,6,.438,1,20
19,77,.650,21,289
2,12,.600,0,45
15,132,.803,41,492
4,64,.582,35,205
7,37,.510,7,115
0,1,--,0,0
1,24,.761,3,76
3,58,.577,10,195
6,76,.597,27,267
1,47,.634,23,145
2,19,.879,14,63
6,114,.810,42,450
5,41,.631,12,140
5,65,.790,29,245
0,8,.546,5,21
0,4,.200,2,8
0,3,.421,2,13
6,50,.482,8,163
8,69,.881,31,248
3,71,.476,18,206
0,4,.697,1,9
0,1,2.000,0,1
2,50,.692,8,194
1,7,.588,2,24
0,1,.650,1,4
1,18,.371,4,59
5,52,.765,24,182
13,112,.705,24,425
2,56,.683,35,182
14,112,.735,40,383
0,1,.500,1,1
1,32,.718,5,126
2,18,.434,3,60
7,113,.709,78,417
0,1,.000,0,3
5,77,.746,35,262
7,36,.692,14,112
0,3,.900,0,10
15,116,.722,32,481
4,88,.729,20,319
6,66,.689,9,195
3,89,.590,33,347
8,135,.768,42,502
10,103,.851,53,378
7,72,.809,24,246
0,1,--,0,0
0,1,--,0,0
0,7,.533,4,20
5,31,.502,11,81
4,23,.682,7,84
1,26,.681,10,88
1,3,.661,1,7
1,17,.427,5,37
0,1,.000,0,2
1,9,.607,2,33
15,103,.734,40,364
0,1,.000,0,3
0,5,.467,0,15
6,82,.704,38,284
3,63,.850,10,245
0,9,.679,1,24
2,69,.697,17,266
0,1,.250,1,3
8,118,.834,60,432
5,128,.850,58,466
13,131,.682,27,518
0,7,.571,0,21
2,78,.697,28,249
13,107,.711,26,374
0,100,.708,51,395
2,10,.584,3,23
0,2,1.431,1,8
1,12,.419,0,31
5,96,.737,33,321
4,87,.758,17,319
1,67,.812,29,250
0,3,.808,0,12
1,20,.822,12,62
9,120,.705,26,436
4,59,.716,7,224
2,37,.569,13,93
5,51,.677,16,157
3,58,.673,16,240
2,7,.314,0,25
4,122,.790,40,448
8,89,.783,36,290
0,9,.520,3,33
3,19,.819,4,70
5,92,.815,32,338
1,2,.500,0,8
14,116,.804,41,427
0,2,1.500,0,2
0,1,.667,0,3
4,43,.676,16,166
0,18,.605,5,67
0,31,.534,13,94
5,58,.873,9,219
0,10,.264,1,26
7,62,.608,10,226
7,123,.687,28,434
