SO,POS,AVG,BB,SH,G,SF,SB,Player
7,OF,.304,3,0,8,1,0,J Stanley
24,OF,.253,28,0,24,0,13,S Englund
42,3B,.273,16,0,48,1,10,K Sanchez
24,SS,.111,16,1,24,0,3,F Cruz
44,OF,.208,12,0,34,1,6,E Beltre
5,C,.440,0,0,7,1,0,P Hoover
2,OF,.000,0,0,1,0,0,L Bond
17,OF,.280,13,1,32,1,4,A Perez
13,C,.250,7,0,20,0,0,B Lawler
22,OF,.283,6,1,32,0,3,O Rodriguez
33,OF,.265,12,0,37,1,10,C Armstrong
42,SS,.277,6,3,49,0,6,K Castro
17,C,.255,5,1,17,1,1,R Nolan
31,1B,.244,18,0,41,1,1,J Waltenbury
32,2B,.230,16,1,40,0,2,R Vasquez
16,3B,.317,13,0,54,2,14,J Richardson
19,OF,.345,13,0,38,2,0,W Rufino
1,OF,.393,2,0,7,0,0,J Hage
26,OF,.312,3,0,30,0,2,L Arlet
38,C,.203,25,0,37,1,2,D Norris
24,SS,.305,13,0,28,0,7,J Smolinski
23,C,.241,4,0,41,2,4,T d'Arnaud
15,2B,.254,2,1,26,1,5,G Manzanillo
3,C,.167,0,0,9,1,0,F Parra
6,SS,.250,9,1,15,0,5,S Roof
18,OF,.202,9,1,34,2,2,J Munoz
7,3B,.375,1,0,7,1,1,T Cruz
4,OF,.313,4,0,10,0,4,R Gorecki
26,CF,.096,6,0,28,0,1,R Rosario
29,3B,.211,10,0,32,0,0,B Pullen
37,OF,.215,24,0,38,0,6,C Guzman
30,OF,.219,11,2,37,0,3,J Bastardo
26,3B,.339,6,1,45,1,0,B Laird
7,C,.323,3,0,11,0,1,D Hernandez
32,OF,.267,7,0,28,1,4,Y Canal
1,C,.000,0,0,2,0,0,D Carpenter
6,C,.194,7,0,12,0,0,G Haran
4,OF,.233,6,0,9,0,0,N Reimold
5,C,.111,0,0,14,0,0,C Reyes
7,SS,.138,4,1,11,0,0,M Alcantara
0,SS,.167,0,0,5,0,0,D Cox
21,3B,.257,13,0,34,0,2,D Blocker
34,2B,.288,21,2,49,1,8,A Almonte
2,3B,.125,1,0,3,0,0,B Suttle
34,1B,.293,15,0,43,1,1,D Scott
11,OF,.212,5,0,15,0,1,M Mayer
15,C,.202,17,4,31,0,0,S Leon
29,CF,.288,11,0,41,1,7,A Rodriguez
10,CF,.214,6,2,12,1,0,J Bert
9,3B,.120,4,0,10,0,0,L Castillo
7,OF,.265,13,2,20,0,5,C Bradley
15,C,.107,4,0,8,2,0,J Egan
18,2B,.303,11,10,52,5,7,Y Solarte
2,OF,.435,3,0,7,0,0,R White
29,1B,.189,12,1,32,0,1,W Lamont
32,3B,.348,27,0,52,4,1,J Rojas
18,SS,.243,9,0,32,1,1,R Tomas
31,SS,.303,11,1,40,1,2,N Soto
25,OF,.194,6,2,24,0,4,W Lin
1,OF,.667,2,0,4,0,2,A De Aza
47,C,.228,19,0,48,0,1,K Orr
5,3B,.379,2,0,9,0,0,B Bartles
55,OF,.235,9,2,49,1,5,M Mesa
5,C,.300,4,0,14,0,1,R Del Campo
14,C,.305,16,4,36,0,1,K Collado
5,C,.063,4,0,6,0,0,D Ryan
2,C,.213,3,0,21,2,0,L Day
0,OF,.500,3,0,3,0,2,K Peter
62,OF,.216,22,0,51,1,16,E Eiland
10,C,.221,7,1,40,2,1,J Sucre
28,SS,.295,7,0,56,5,10,S Sime
6,C,.146,3,0,12,0,0,J Centeno
31,C,.233,7,0,32,0,1,G Rodriguez
45,OF,.272,33,1,53,1,20,A Quiroz
4,C,.333,3,0,3,0,0,C Ebarb
30,SS,.221,21,2,37,0,5,R White
4,1B,.182,0,0,3,0,0,D Hernandez
29,C,.208,15,0,34,0,3,J Sanchez
56,OF,.246,20,0,51,1,1,T Brown
14,C,.255,5,0,20,0,2,P Gilardo
3,OF,.308,2,0,4,0,0,N Morgan
49,SS,.257,34,4,53,0,8,G Toribio
1,SS,.176,2,0,6,0,1,S Condotta
12,LF,.156,2,0,17,0,2,L Taylor
1,OF,.333,1,0,4,0,0,C Haerther
15,OF,.325,19,1,39,0,17,D Ingram
6,SS,.182,1,0,3,0,0,C Iorg
8,RF,.281,4,2,11,0,0,K Rucker
8,SS,.205,4,0,16,1,0,W Ibarra
21,1B,.236,29,0,42,5,1,J Fitzpatrick
66,3B,.264,15,0,52,1,2,R Lucas
1,C,.286,0,0,4,0,0,F Encarnacion
41,OF,.169,5,0,31,0,0,R Hidalgo
34,1B,.256,18,1,57,0,1,K Bolt
9,OF,.296,3,0,10,0,0,T Blanco
20,C,.109,6,2,22,1,2,J Garcia
3,OF,.313,2,0,5,0,1,V Mendez
44,SS,.222,10,3,47,1,6,L Carolus
17,3B,.250,12,0,13,0,1,V Ramos
3,SS,.095,0,0,6,1,0,J Guzman
16,C,.281,7,1,39,0,3,L De La Cruz
14,1B,.198,0,0,34,0,0,R Shimabukuro
34,OF,.272,6,0,31,0,3,J Martinez
42,SS,.237,29,1,50,2,5,A De Castro
5,1B,.235,4,0,7,0,1,R Roberson
8,OF,.355,5,0,11,1,1,T Bohn
23,1B,.258,10,0,23,0,2,N Biagini
0,OF,.500,1,0,1,0,0,N Jackson
1,C,.294,1,0,5,1,0,W Vazquez
39,1B,.318,14,0,54,2,3,E Polanco
57,OF,.128,3,0,43,1,8,K Miles
38,OF,.187,12,0,42,1,2,D McDonald
2,C,.333,1,0,4,0,0,K Rochelle
13,OF,.143,4,1,16,0,0,C Schonenberg
43,OF,.209,43,4,51,0,16,C Lester
34,RF,.225,11,2,35,0,5,C Blackwood
1,SS,.200,0,0,2,0,0,P Kelly
29,OF,.341,26,2,45,0,16,E Carrera
6,DH,.167,1,0,6,0,0,J Smith
42,SS,.214,11,2,43,1,6,M Pasek
22,OF,.257,11,2,32,0,5,B Buck
20,SS,.232,7,5,25,0,3,J Guzman
0,CF,.000,1,0,1,0,0,T Grote
40,SS,.252,16,0,38,1,4,Y Garcia
39,OF,.203,5,1,43,1,2,M Sierra
16,C,.252,5,0,31,2,3,J Peley
25,SS,.244,9,1,26,0,12,M Willard
6,OF,.111,1,0,3,0,0,F Martinez
2,C,.333,1,0,1,1,0,D Ivany
21,2B,.145,11,3,24,1,2,K Roque
1,OF,.750,0,0,1,0,0,W Polo
10,SS,.125,2,0,12,0,2,H Alvarez
1,C,.273,1,0,6,0,0,S McGill
