POS,Player,SB,SH,Team,OBP,OPS,AVG
OF,A Eaton,0,0,DIA,.600,1.1,.500
1B,M Scioscia,0,0,ANG,.245,0.5,.213
CF,D DeJesus,1,0,CUB,.429,0.929,.333
RF,J Beras,1,0,RAN,.314,0.752,.250
1B,M Herum,1,0,DIA,.369,0.673,.268
OF,R Crawford,10,3,CUB,.299,0.575,.210
3B,K Bryant,0,0,CUB,.143,0.476,.167
2B,L Valenzuela,2,0,ROY,.200,0.33,.130
C,D Lopez,0,0,ATH,.394,0.794,.200
C,N Rosario,0,0,CUB,.000,0.0,.000
CF,B Jackson,0,0,CUB,.133,0.205,.071
3B,T Hankins,4,0,IND,.474,1.007,.333
SS,W Solano,0,0,ATH,.290,0.483,.154
1B,P Llewellyn,3,3,DIA,.259,0.546,.194
1B,R Huck,0,0,ATH,.533,1.383,.475
OF,M Fish,6,0,ANG,.451,1.163,.409
1B,L Uxa,2,0,RED,.379,0.818,.281
CF,E Hargreaves,0,0,RED,.364,0.664,.300
2B,J Delgado,0,0,GIA,.286,0.452,.167
SS,C Penalver,0,0,CUB,.333,0.487,.154
3B,R Cavan,0,0,GIA,.568,1.252,.526
SS,C Thompson,3,1,RED,.341,0.682,.266
C,J Atkins,0,0,ROY,.091,0.091,.000
OF,J Urena,1,0,PAD,.341,0.849,.257
2B,F Ozuna,1,0,DIA,.375,0.834,.351
C,C Gonzalez,5,2,ROY,.270,0.491,.202
C,R Valenzuela,0,0,PAD,.274,0.539,.221
CF,B McKinney,7,0,ATH,.383,0.798,.320
3B,R Dale,3,3,ROY,.318,0.608,.237
1B,A Chavez,8,2,RED,.249,0.494,.209
OF,E Rubio,4,1,BRE,.386,0.867,.314
C,L Lara,0,0,ROY,.200,0.414,.143
OF,H Mercedes,1,0,GIA,.255,0.621,.215
OF,D McClure,1,0,IND,.282,0.579,.218
C,C Moorman,0,1,RAN,.264,0.591,.210
1B,B Serrato,1,0,RAN,.450,0.983,.267
LF,D Compton,0,0,DOD,.091,0.182,.091
C,E Smith,1,0,DOD,.600,0.933,.333
SS,A Allbritton,5,0,ANG,.308,0.619,.262
3B,R Bruguera,0,0,PAD,.192,0.41,.087
SS,B Miller,0,0,GIA,.412,0.649,.211
2B,E Charles,0,0,PAD,.375,0.946,.286
2B,N Goro,13,5,ANG,.287,0.569,.218
C,D Reid-Foley,0,1,DOD,.333,0.625,.208
OF,R Torres,3,1,DOD,.267,0.601,.178
C,J Alfaro,2,0,RAN,.500,1.31,.429
C,C Garay,0,2,RAN,.310,0.565,.214
C,B Teschner,0,0,RAN,.385,0.585,.200
3B,J Arenado,0,0,GIA,.286,0.549,.211
3B,J Vitters,0,0,CUB,.294,0.448,.077
C,D Torres,1,2,MAR,.296,0.576,.240
OF,T Horan,1,0,GIA,.321,0.709,.245
OF,R King,3,4,ROY,.311,0.582,.212
RF,R Sweeney,0,0,CUB,.412,0.84,.286
CF,K Garcia,6,5,RED,.399,0.876,.328
SS,S Halcomb,5,1,BRE,.406,0.76,.317
OF,B Thomas,0,0,MAR,.321,0.706,.269
1B,D Cooper,0,0,IND,.481,1.041,.440
3B,L Fontaine,0,0,MAR,.288,0.518,.200
SS,J Westbrook,3,0,DIA,.373,0.84,.292
C,T Dial,2,0,PAD,.338,0.681,.271
SS,R Moreno,10,1,GIA,.403,0.856,.342
C,A Paz,0,0,ATH,.304,0.641,.228
OF,J Cardona,7,0,RAN,.340,0.705,.280
OF,J Zarraga,4,0,ATH,.339,0.779,.275
C,B Lopez,0,0,DIA,.381,0.7,.255
RF,J Whitaker,0,0,ATH,.000,0.0,.000
OF,S Masik,2,1,ATH,.415,0.727,.250
2B,O Florentino,3,0,RED,.240,0.423,.161
C,J De La Cruz,1,0,IND,.433,0.845,.294
C,J Thys,0,1,DIA,.255,0.484,.208
2B,W Bloomquist,0,0,DIA,.571,1.155,.500
3B,M Giuffre,1,0,IND,.421,0.652,.154
C,S Kim,0,0,ATH,.233,0.381,.148
2B,L Mendez,9,4,RAN,.356,0.734,.281
C,D Stiner,0,0,GIA,.310,0.742,.297
2B,K Pellant,15,5,ANG,.379,0.831,.310
3B,G Fink,2,0,IND,.355,0.78,.263
C,J Linares,0,0,DOD,.000,0.0,.000
CF,J Fargas,8,1,GIA,.393,0.744,.299
1B,A Sharkey,1,2,BRE,.300,0.579,.209
OF,M Shannon,0,0,ANG,.250,0.583,.222
OF,G Beltran,0,0,ANG,.361,0.674,.278
C,J Andrade,0,0,BRE,.267,0.492,.175
OF,B Bayardi,3,0,ANG,.448,1.057,.304
RF,C Massoni,2,0,GIA,.401,0.785,.272
3B,J Rojas,0,0,DOD,.320,0.558,.190
SS,J Flores,13,5,ROY,.351,0.626,.246
C,E Vivas,0,0,ANG,--,0.0,--
LF,J Henderson,3,1,DOD,.337,0.792,.299
LF,J Martijn,1,0,RED,.185,0.305,.120
OF,J Fernandez,17,2,RED,.352,0.774,.284
3B,R Tuntland,0,0,GIA,.467,0.947,.360
OF,D Smith,2,0,DIA,.257,0.473,.159
C,J Leon,0,0,DOD,.319,0.739,.247
OF,V De Jesus,5,1,IND,.273,0.547,.220
3B,E Rincon,1,0,ROY,.524,1.091,.459
C,J Reynolds,0,0,RED,.543,0.978,.304
2B,R Garcia,0,0,DIA,.255,0.436,.170
OF,M Holloway,4,0,ROY,.403,0.603,.164
C,P Pizarro,3,0,ANG,.373,0.682,.262
OF,A Shipman,2,0,ATH,.542,1.121,.421
OF,D McFarland,4,0,DIA,.256,0.454,.167
