AB,POS,SH,SB,SLG,HR,H,2B,OPS,OBP
120,OF,1,17,.358,0,39,4,.788,.430
224,1B,0,1,.379,6,60,7,.674,.295
165,SS,0,3,.321,3,38,6,.660,.339
138,1B,0,1,.478,7,37,8,.850,.372
90,SS,1,12,.289,0,22,4,.622,.333
62,OF,2,4,.290,0,12,4,.555,.265
12,C,0,0,.750,1,5,1,1.212,.462
79,1B,0,0,.177,0,13,1,.424,.247
23,OF,0,0,.696,2,7,3,1.066,.370
86,C,0,1,.372,2,20,6,.719,.347
139,1B,0,1,.353,0,40,9,.699,.346
92,OF,0,2,.326,3,20,1,.613,.287
49,C,0,0,.163,0,8,0,.475,.311
95,C,4,1,.358,0,29,5,.779,.421
23,OF,0,0,.609,0,10,4,1.109,.500
153,OF,2,5,.386,3,36,10,.679,.293
13,OF,0,0,.385,0,4,1,.785,.400
148,3B,0,1,.453,4,40,9,.798,.345
27,CF,0,1,.556,1,8,4,.910,.355
52,SS,0,0,.269,1,10,1,.557,.288
66,C,1,1,.439,2,18,5,.777,.338
13,OF,0,0,.538,1,4,0,.976,.438
79,OF,0,13,.291,0,20,3,.745,.454
15,OF,0,0,.133,0,2,0,.396,.263
88,C,0,1,.273,0,22,2,.622,.350
88,OF,4,4,.307,0,18,7,.670,.363
64,OF,0,5,.234,0,12,1,.576,.342
125,OF,0,6,.400,5,26,3,.710,.310
97,C,0,0,.361,0,25,8,.672,.311
181,3B,0,1,.492,4,63,14,.916,.425
159,SS,2,8,.434,2,45,12,.777,.343
51,OF,0,1,.667,3,21,4,1.111,.444
181,1B,0,2,.376,3,50,9,.725,.350
109,OF,0,8,.165,0,14,2,.338,.172
2,P,0,1,.500,0,1,0,1.167,.667
22,OF,0,0,.227,0,4,1,.497,.269
25,OF,0,0,.320,0,4,2,.542,.222
11,SS,0,0,.182,0,2,0,.490,.308
33,OF,0,5,.455,0,11,2,.797,.343
29,SS,0,1,.276,0,6,0,.509,.233
22,2B,0,0,.227,0,4,1,.507,.280
144,LF,0,5,.250,0,31,5,.548,.298
162,CF,2,1,.253,0,31,4,.493,.240
12,OF,0,0,.583,0,4,1,.968,.385
139,SS,6,7,.302,0,40,2,.651,.349
191,OF,2,21,.461,0,62,6,.849,.388
151,3B,1,6,.530,6,48,10,.936,.406
18,C,0,0,.222,0,3,1,.422,.200
8,3B,0,0,.125,0,1,0,.347,.222
18,1B,0,0,.556,1,4,3,.856,.300
17,C,0,0,.588,0,5,1,.904,.316
74,C,1,0,.176,0,11,2,.402,.226
158,C,0,1,.329,3,36,7,.659,.330
10,C,0,0,.300,0,2,1,.573,.273
54,SS,1,3,.130,0,6,1,.444,.314
75,1B,1,1,.373,1,18,3,.714,.341
193,OF,0,5,.544,6,72,9,.950,.406
7,3B,0,0,.429,0,2,1,.714,.286
84,DH,1,4,.274,1,17,1,.569,.295
18,C,0,0,.111,0,2,0,.222,.111
112,OF,1,4,.384,2,32,5,.761,.377
66,3B,0,1,.273,0,15,3,.564,.292
107,OF,1,4,.467,5,30,5,.833,.366
101,OF,1,5,.495,3,27,10,.863,.368
63,C,3,0,.587,3,21,3,1.004,.417
61,DH,2,7,.295,0,17,1,.574,.279
80,DH,1,0,.325,1,18,3,.612,.287
26,C,0,0,.423,0,8,3,.756,.333
52,CF,0,1,.154,0,5,1,.357,.203
17,SS,0,1,.235,0,3,1,.535,.300
20,OF,0,0,.150,0,3,0,.358,.208
210,2B,4,8,.376,1,61,7,.705,.329
127,C,0,2,.488,7,31,10,.833,.345
41,C,0,0,.146,0,6,0,.369,.222
12,SS,0,0,.750,1,4,2,1.083,.333
95,3B,0,0,.242,0,20,3,.528,.286
0,P,0,0,--,0,0,0,--,--
177,SS,3,6,.384,1,49,10,.692,.308
113,3B,0,2,.425,2,29,13,.798,.373
190,OF,1,2,.432,3,48,17,.747,.316
77,3B,0,1,.208,1,12,1,.490,.283
7,OF,0,0,.571,0,4,0,1.238,.667
20,3B,0,0,.500,1,5,2,.786,.286
131,1B,1,2,.542,8,38,9,.926,.384
10,1B,0,0,.400,0,3,1,.764,.364
67,1B,0,1,.373,1,19,3,.687,.314
178,3B,0,0,.242,1,31,5,.485,.244
17,1B,0,1,.235,0,4,0,.644,.409
115,OF,4,4,.417,1,36,5,.832,.415
15,LF,0,0,.600,1,5,1,1.012,.412
78,3B,4,6,.359,0,23,5,.737,.378
168,3B,1,0,.577,8,57,14,.945,.367
66,1B,0,2,.333,0,17,5,.689,.355
75,C,0,1,.320,2,15,3,.597,.277
47,C,0,1,.340,0,14,2,.790,.450
2,2B,0,0,.500,0,1,0,1.000,.500
128,OF,0,1,.617,8,43,6,1.059,.442
2,OF,0,0,.500,0,1,0,1.167,.667
81,OF,0,0,.358,1,22,4,.706,.348
19,C,0,1,.053,0,1,0,.270,.217
100,SS,2,2,.190,0,18,1,.470,.280
104,C,1,1,.269,0,23,5,.535,.265
