Rdp,oRAR,dWAR,WAA,WAR,Acquired,Rpos,PA,Salary
-1,16,-0.0,-0.1,1.1,Traded,4,327,"$1,950,000"
0,-2,0.0,-0.5,-0.3,Amateur Draft,1,60,"$400,000"
0,0,0.0,0.0,0.0,Purchased,0,0, 
0,-0,0.0,-0.0,-0.0,Traded,1,8,"$6,000,000"
0,0,0.0,0.0,0.0,Traded,0,0,"$403,800"
0,0,0.0,0.0,0.0,Free Agency,0,0, 
0,0,0.0,0.0,0.0,Traded,0,0,"$402,000"
0,0,0.0,0.0,0.0,Amateur Draft,0,0,"$408,700"
0,0,0.0,0.0,0.0,Amateur Free Agent,0,1,"$436,300"
0,0,0.0,0.0,0.0,Free Agency,0,0, 
0,-2,0.1,-0.1,-0.1,Amateur Free Agent,-0,15, 
-2,15,-0.1,-1.3,1.0,Amateur Free Agent,3,645,"$3,650,000"
0,0,0.0,0.0,0.0,Amateur Draft,0,0,"$404,000"
-0,4,-0.1,-0.2,0.5,Traded,-2,198, 
0,-0,0.0,-0.1,-0.1,Amateur Draft,1,4, 
0,0,0.0,0.0,0.0,Free Agency,0,0, 
-2,261,-2.2,1.8,23.6, ,-5,6320,"$75,224,866"
0,-1,-0.1,-0.2,-0.1,Free Agency,-1,45,"$4,000,000"
0,15,-0.3,0.2,1.3,Traded,-1,314,"$5,500,000"
0,-0,0.0,-0.0,-0.0,Free Agency,0,2,"$1,500,000"
-0,13,0.1,-0.4,1.0,Traded,3,398,"$400,300"
0,-0,0.0,-0.0,-0.0,Amateur Draft,0,2,"$421,300"
-0,47,0.2,2.3,4.2,Traded,6,581,"$416,700"
1,27,-0.4,0.6,2.2,Traded,1,503,"$4,766,666"
0,0,0.0,0.0,0.0,Amateur Draft,0,1,"$418,600"
0,0,0.0,0.0,0.0,Traded,0,0, 
1,13,0.9,0.9,2.1,Traded,1,358,"$2,500,000"
0,0,0.0,0.0,0.0,Traded,0,0, 
0,-8,-0.0,-1.2,-0.7,Amateur Draft,-1,130, 
0,0,0.0,0.0,0.0,Free Agency,0,0,"$3,350,000"
1,54,-0.4,3.2,5.5,Traded,-7,685,"$420,300"
0,1,-0.1,-0.5,-0.0,Traded,0,121, 
