Player,SF,SH,SO,GIDP,Team,CS,AB
A Means,2,8,89,7,BAK,10,426
Y Gonzalez,0,0,2,0,BAK,0,9
A Bailey,2,0,23,4,LAN,0,128
E Mesa,1,6,28,4,MOD,2,164
M Long,6,5,86,6,IE,12,481
K Ka'aihue,0,1,12,0,MOD,1,36
J Jones,1,1,92,5,HD,3,296
L Gil,3,1,123,6,STK,4,352
N Cuevas,0,0,17,3,RC,2,91
J Vallejo,0,0,3,0,LAN,0,4
D Coleman,5,3,171,10,STK,4,462
B Hernandez,0,0,6,0,IE,0,22
R Willits,0,2,5,0,IE,0,20
A Todd,0,1,14,2,LAN,0,57
J Wideman,1,2,17,4,BAK,0,78
D Nick,3,1,80,15,VIS,5,564
M Blackburn,0,0,12,2,IE,0,46
K Roling,3,1,118,6,MOD,3,412
R Garcia,3,6,41,12,LAN,2,297
A Jackson,3,6,19,1,RC,5,143
G Blum,0,0,0,0,VIS,0,5
T LaTorre,0,0,3,1,SJ,0,19
A Aliotti,3,1,123,11,STK,1,457
R Furcal,0,0,3,0,RC,0,22
E Oliver,2,1,38,10,IE,2,222
C Hannick,0,0,2,1,IE,0,8
B Smith,4,0,83,8,RC,2,293
A Burg,2,1,80,3,SJ,3,262
J Simmons,0,3,60,1,SJ,0,159
J Parks,0,0,4,0,IE,0,18
D Bailey,1,8,47,2,IE,2,200
J Morillo,0,0,4,0,BAK,0,6
B Crawford,0,1,13,1,SJ,0,59
B Greer,0,4,70,5,VIS,4,223
A Eaton,1,0,41,2,VIS,8,244
R Grichuk,1,0,13,1,IE,0,53
T Coleman,4,0,62,7,HD,2,306
M Reed,3,6,36,1,VIS,4,176
G Noriega,1,6,108,18,HD,11,383
H Sanchez,3,0,49,3,SJ,1,212
W Olabisi,1,8,75,6,LE,5,293
C Weems,0,0,7,0,BAK,0,12
J Gyorko,2,0,64,6,LE,3,340
M Pericht,0,0,1,1,RC,0,10
D Cooper,0,0,0,0,HD,0,0
D Adamson,1,2,28,0,LAN,1,58
O Diaz,0,0,0,0,HD,0,0
O Garcia,2,0,7,2,LE,0,49
R Perez,1,3,33,8,VIS,1,349
C Dominguez,2,0,73,7,SJ,2,258
A Morales,0,0,1,1,HD,0,8
J Rodriguez,0,0,1,1,IE,0,7
E Patterson,0,0,1,0,LE,0,4
D Gregorius,3,2,25,2,BAK,8,188
O Hudson,0,0,0,0,LE,0,7
E Campbell,4,1,24,4,BAK,0,167
B Marcoe,0,0,7,1,HD,0,54
J Yakubik,0,0,1,0,IE,0,7
N Noonan,1,0,18,3,SJ,2,122
D Carroll,4,6,157,4,HD,14,482
S Baron,1,1,6,1,HD,0,16
K Coddington,1,2,5,3,BAK,2,94
R Lipkin,1,3,51,4,STK,2,314
J Mier,0,1,8,4,RC,0,77
J Comadena,2,2,26,2,LAN,0,95
R Gale,1,3,12,0,LE,1,71
F Pfister,0,0,3,1,BAK,0,11
M Gilmartin,5,1,124,8,STK,6,492
J Meyer,6,1,125,11,LAN,5,484
W Musick,0,0,0,0,LAN,0,0
J Johnston,0,0,6,0,STK,0,22
D Lohman,0,2,23,3,BAK,2,130
J Becker,0,0,1,0,RC,0,5
D Payne,4,0,90,2,LE,5,277
N Freiman,9,0,93,15,LE,1,548
K Lo,0,0,17,0,HD,0,46
H Rodriguez,0,0,5,1,LAN,0,18
S Proscia,1,1,33,2,HD,3,185
E Adrianza,2,1,46,3,SJ,1,230
M Richard,3,4,69,22,STK,10,432
Y Batista,0,0,2,0,HD,0,3
J Uribe,0,0,2,0,RC,0,8
O Sandoval,0,1,49,6,MOD,2,172
J Jimenez,2,2,54,9,IE,0,291
M Fleury,0,0,42,4,BAK,2,169
R Lollis,0,0,9,2,SJ,0,51
R LaMarre,6,2,97,8,BAK,14,445
D Gordon,0,0,1,1,RC,1,11
J Karcich,1,1,61,8,IE,3,221
R Dixon,2,0,135,6,STK,5,456
W Ortiz,1,1,17,6,RC,1,109
A Salome,0,1,3,0,HD,0,19
T Witherspoon,0,0,14,4,IE,2,68
N Liles,6,3,38,5,SJ,0,288
C Crumbliss,5,10,85,4,STK,7,426
W Fairley,2,5,39,1,SJ,1,208
B Heath,1,0,41,2,LAN,1,145
T Joseph,7,1,102,18,SJ,0,514
J Altuve,3,3,26,5,LAN,9,213
S Hunt,1,3,96,6,BAK,3,378
