Team,SH,RBI,SB,SF
LC,0,2,0,0
BEL,2,11,1,1
FW,1,8,0,0
WIS,3,50,3,3
LAN,1,41,6,6
WIS,4,5,0,0
FW,0,2,2,0
FW,0,43,6,1
CLI,0,42,21,3
DAY,0,7,8,0
WM,0,8,2,1
KC,4,30,13,3
BEL,5,35,4,5
BUR,0,59,3,5
LAN,0,11,0,1
CR,1,0,1,0
WM,0,1,0,1
KC,5,16,4,2
LAN,0,24,0,1
PEO,2,16,9,3
CLI,1,2,2,1
BG,1,21,6,0
PEO,4,37,8,0
DAY,4,50,103,3
SB,2,15,7,2
SB,0,7,3,1
CLI,1,7,5,2
QC,0,25,9,4
GL,8,41,28,2
CR,1,12,1,1
CLI,0,13,5,0
CR,3,37,15,5
WIS,0,4,0,0
WIS,0,2,0,0
BG,2,11,0,1
LAN,1,24,2,4
CR,0,34,2,2
WM,0,39,1,1
SB,0,95,1,4
CR,2,1,1,0
CLI,1,20,6,1
CR,0,0,0,0
SB,1,50,2,3
GL,0,37,2,2
PEO,0,11,1,0
LC,2,9,0,1
PEO,1,52,3,5
QC,2,10,4,1
BUR,1,49,16,2
QC,0,0,0,0
BUR,2,29,6,4
PEO,0,1,2,0
BUR,5,3,0,0
PEO,0,98,0,5
DAY,7,41,12,1
WM,11,42,23,8
LC,3,24,0,0
KC,1,30,5,0
LC,13,26,11,5
KC,0,31,2,0
QC,0,5,0,0
FW,0,0,0,0
CLI,0,7,0,0
BUR,2,55,10,3
CR,1,0,0,0
CLI,1,12,4,2
KC,0,60,4,2
WM,2,14,0,1
WM,0,5,0,0
KC,0,14,0,0
BEL,0,0,0,0
QC,1,7,3,1
DAY,0,1,0,0
QC,0,54,5,6
CLI,1,56,25,4
WIS,0,9,5,1
CLI,2,40,7,4
FW,3,27,1,1
CLI,0,16,11,0
WM,0,0,0,0
KC,1,11,7,2
SB,0,60,16,2
KC,3,5,9,0
WIS,0,9,1,0
CR,1,6,0,0
FW,0,1,0,1
LC,0,44,7,4
KC,2,11,0,0
BG,0,86,0,8
QC,0,70,4,3
CR,0,37,4,1
GL,8,25,31,0
QC,2,10,1,0
WM,10,28,25,2
WM,0,21,0,2
DAY,1,29,30,3
LC,4,6,0,0
WM,1,76,3,6
WIS,8,30,41,2
FW,0,68,7,11
BG,0,44,8,3
CR,0,3,1,0
BUR,5,23,4,3
KC,4,31,11,4
FW,3,24,15,0
CR,0,11,3,2
WIS,0,6,3,0
SB,1,30,7,3
WIS,0,14,0,0
LC,2,46,3,4
CLI,2,57,4,4
DAY,0,10,1,0
BEL,1,71,7,6
LC,2,12,3,3
PEO,1,13,0,5
PEO,11,24,4,2
DAY,0,1,0,0
DAY,1,3,0,0
LC,1,20,15,1
LAN,0,1,0,0
SB,5,27,16,5
KC,16,27,5,1
DAY,1,14,2,4
BG,0,22,0,0
LC,0,11,0,0
FW,2,62,65,9
SB,0,10,0,2
FW,1,6,2,1
QC,0,0,0,0
LAN,2,39,15,2
BUR,1,17,1,1
SB,0,32,5,1
QC,0,42,10,4
WIS,0,35,4,2
QC,3,16,5,2
LAN,1,18,6,0
KC,1,0,0,0
PEO,1,3,5,0
CLI,1,65,16,5
FW,0,10,0,0
GL,2,2,0,0
BG,0,6,0,0
WM,7,19,1,0
CLI,0,26,2,3
FW,0,2,2,0
GL,0,5,0,0
GL,0,10,1,1
LAN,0,19,2,2
CLI,14,25,23,2
LAN,0,15,10,1
CR,0,4,0,1
FW,0,18,2,4
LAN,0,4,0,0
LC,0,11,1,1
PEO,0,27,17,1
LAN,0,77,37,4
BG,0,81,5,5
QC,0,28,4,2
KC,16,42,18,3
WM,2,24,2,1
DAY,3,43,2,5
BUR,6,22,5,3
GL,0,33,0,0
BEL,0,9,0,2
BUR,7,27,27,2
QC,1,0,0,0
WIS,2,37,6,4
KC,0,31,5,1
CR,0,10,7,1
LAN,0,29,2,2
KC,0,13,0,0
GL,1,1,2,0
KC,2,0,3,0
FW,1,45,0,4
PEO,0,2,0,0
GL,0,44,3,5
LAN,0,55,38,4
SB,1,14,0,1
BUR,0,68,10,1
FW,0,1,0,0
GL,3,19,3,2
KC,1,14,1,1
BEL,0,76,4,7
LAN,0,53,1,3
DAY,0,58,2,5
SB,1,11,10,0
QC,0,33,1,2
BEL,0,1,0,0
SB,4,13,5,0
BEL,1,60,11,2
QC,0,10,2,0
BEL,1,9,0,1
WM,3,44,2,1
BEL,0,0,0,0
PEO,3,56,8,5
PEO,1,7,0,1
LAN,0,4,0,0
WM,0,0,0,0
CLI,0,6,0,1
GL,4,22,4,6
WM,0,17,0,2
BEL,0,2,0,0
CR,2,20,4,3
FW,1,50,9,3
BEL,4,16,0,1
DAY,3,24,20,2
BEL,10,41,24,5
BUR,0,3,0,0
PEO,0,28,1,2
BEL,1,17,5,1
SB,0,1,6,0
QC,1,29,6,1
BEL,2,3,3,2
FW,6,43,21,3
PEO,0,28,1,4
GL,0,8,2,1
WM,0,5,0,0
PEO,2,13,0,0
SB,1,22,8,3
