GIDP,Player,3B,RBI,H
2,R Baldelli,0,8,12
10,L Rodriguez,2,56,101
3,G Velazquez,2,18,60
1,G Molina,0,18,27
2,D Espinosa,1,15,28
4,D Brown,1,21,37
1,K Negron,0,0,4
3,M Wagner,0,16,26
8,A Colina,0,28,43
4,L Duda,2,53,83
2,B Whiting,3,16,79
1,J Gathright,2,7,40
4,D Nava,1,48,82
1,D Pedroia,0,0,1
1,J Tucker,0,2,14
13,R Adams,2,58,101
1,G Matthews,1,6,32
1,K Nieuwenhuis,1,17,27
3,D Sardinha,0,24,46
11,J Ruggiano,0,70,131
0,J Snyder,0,1,2
5,S Duncan,0,34,44
8,N Reimold,0,37,84
10,C Ransom,1,63,103
12,M Cervenak,0,40,108
8,D Jennings,6,36,111
0,O Mercado,0,5,2
0,M Daniel,0,0,0
9,J Furmaniak,3,22,75
6,W Castillo,3,35,81
6,B Laird,0,12,30
5,J Salazar,1,55,110
2,K Frandsen,0,4,16
0,P Pilittere,0,5,20
0,C Guillen,0,2,6
1,Y Ortiz,1,6,7
11,N Sellers,1,39,93
9,B Bell,1,49,103
1,J Anderson,0,1,15
14,A Bates,2,54,103
6,B Hicks,1,22,55
6,B Morel,4,34,98
0,J Long,0,0,3
1,M Bertram,1,17,24
2,R Khoury,1,2,11
5,L Maza,1,10,37
2,R Eldridge,1,3,23
10,M Leon,6,27,71
1,T Glaus,0,8,10
18,R Andino,4,76,144
0,M Cameron,0,3,4
5,E Bruntlett,1,49,101
16,D Viciedo,0,47,94
4,J Weber,2,16,62
8,B Bixler,4,47,105
5,J Maxwell,0,21,66
0,M Prado,0,0,1
1,R Hanigan,0,2,11
2,C Denove,0,9,28
3,M Aubrey,2,68,86
1,J Savery,0,6,16
0,C Dickerson,0,7,19
0,J Jaso,0,2,4
6,J Miranda,1,43,84
7,E Johnson,5,56,136
2,W Cabrera,0,2,5
4,A Romero,0,2,11
12,C Huffman,0,45,101
0,J Blaquiere,0,5,7
2,C Curtis,0,27,69
15,J Goedert,1,51,83
0,C Granderson,0,2,4
3,C Moeller,0,9,20
12,A Diaz,1,22,68
2,E Eymann,1,6,15
0,K Shoppach,0,2,4
0,S Lerud,0,2,2
1,P Ciriaco,1,6,34
4,A De Aza,4,49,96
5,V Pascucci,0,38,49
9,L Davis,3,33,83
1,C Patterson,1,2,21
2,R Hammock,0,4,11
1,S Henry,0,3,4
0,C Delgado,0,2,3
8,M Jacobs,3,57,88
5,D Espino,0,11,20
0,Y Escobar,0,0,2
5,M Morse,0,8,13
14,J Mayberry,1,65,132
0,J Pridie,1,19,46
8,B Davis,2,23,60
4,F Martinez,0,33,65
1,A Reyes,0,5,29
0,D Sappelt,3,8,35
5,J Jones,0,31,95
10,B Dinkelman,2,54,139
1,E Garcia,0,1,8
0,D Scram,2,9,20
5,D Wise,5,13,37
2,D Murphy,0,8,10
0,P Britton,0,0,1
2,C Aguila,0,11,30
10,J Larish,0,55,82
0,G Dobbs,1,9,13
0,K Smith,0,1,3
0,O Santos,0,2,7
2,Y Navarro,0,6,15
10,A Green,1,24,52
7,G Golson,5,40,109
0,D McDonald,1,8,14
4,E Lis,0,23,34
5,R Corona,5,31,92
0,J Suomi,0,5,12
0,M Lowell,0,10,11
4,J Padilla,0,22,50
0,C Albernaz,0,0,1
14,B Bocock,3,31,86
9,J Feliciano,1,28,114
20,B Canizares,1,77,145
13,C Valaika,2,53,129
2,M Tolbert,3,11,49
0,S Rooney,0,1,2
7,C Sammons,0,24,44
1,J Francisco,4,59,88
7,R Thompson,4,31,97
11,J Kroeger,2,54,90
3,N Weglarz,1,20,50
7,J Negrych,2,19,49
0,C Carter,2,22,38
7,R Diaz,2,21,64
