H,GIDP,Player,CS,POS,2B,G,SB
9,0,S Turner,3,OF,2,20,3
34,3,D Giovanatto,1,OF,7,45,3
55,7,K Crowell,0,OF,17,49,1
77,5,C Gindl,4,OF,22,55,4
50,1,K Jones,4,OF,11,38,7
39,2,R Kiniry,3,OF,5,49,8
51,0,D Christensen,3,OF,11,62,7
21,3,A Wycklendt,0,OF,4,34,1
63,1,P Clifford,1,OF,16,63,8
38,4,D Miller,5,OF,7,53,10
70,3,L Haydel,5,OF,12,62,12
31,4,N Van Stratten,2,OF,4,24,7
28,0,O Sandoval,3,RF,5,37,2
21,0,J Brown,0,OF,2,37,3
29,6,A Urena,2,OF,9,41,1
26,1,T Pippin,1,LF,2,48,3
67,2,D Walker,7,OF,17,63,9
47,2,S Robinson,3,OF,3,50,10
3,0,J Hunter,0,OF,0,5,0
33,3,A Morel,0,OF,7,41,6
52,0,J Principe,3,OF,4,54,6
22,3,W Tucker,2,OF,10,15,1
7,1,T Povey,0,OF,2,11,0
52,4,K Maunus,1,OF,11,53,3
69,5,J Moore,5,OF,13,68,17
4,1,C Janes,0,OF,2,5,0
65,6,A Smith,1,OF,15,56,1
93,4,J Rosario,8,OF,11,70,22
22,3,C Lembeck,3,OF,4,31,2
1,1,W Penniall,1,OF,0,9,0
23,1,S Lowe,2,CF,4,40,4
