PA,Rbaser,oRAR,Rpos,oWAR,Name,Pos Summary,Salary,Rk
2,-0,1,1,0.1,Manny Parra*,1,"$1,000,000",465
5,-0,-0,0,0.0,Jermaine Curtis,/7, ,139
1,0,0,0,0.0,Eury De La Rosa*,1, ,146
7,-0,-1,0,-0.1,Drew Butera,/32,"$700,000",80
1,0,-0,0,-0.0,Marc Rzepczynski*,1, ,552
2,0,-0,0,-0.0,Chris Withrow,1, ,661
178,-1,-3,-2,-0.4,Tyler Moore,73/9,"$493,000",425
155,-1,-3,-2,-0.5,Mike Baxter*,97,"$500,318",33
236,2,5,2,0.4,Joaquin Arias,564/3,"$925,000",16
1,0,0,1,0.0,Ronald Belisario,1,"$1,450,000",36
0,0,0,0,0.0,Sam LeCure,1,"$510,000",347
0,0,0,0,0.0,Edgar Olmos*,/1, ,451
19,-0,-1,3,-0.1,Jake Arrieta,/1,"$516,500",17
13,-0,0,2,0.0,Wade LeBlanc*,1,"$491,500",346
0,0,0,0,0.0,James Russell*,1,"$1,075,000",549
73,-1,1,-1,0.0,Alex Presley*,79, ,492
48,0,4,6,0.4,Tim Hudson,1,"$9,000,000",291
136,0,-7,-1,-0.9,Laynce Nix*,9/378,"$1,350,000",444
391,-2,12,2,1.1,Luis Valbuena*,5/4D7,"$930,000",626
267,-1,-6,-3,-0.9,Greg Dobbs*,3/D9,"$1,500,000",161
1,0,-0,0,-0.0,Phil Irwin,/1, ,296
0,0,0,0,0.0,Ramon Ramirez,/1, ,507
66,-0,3,1,0.3,Tony Sanchez,2/D, ,560
0,0,0,0,0.0,Shawn Tolleson,/1, ,611
365,-2,22,5,2.2,Jordy Mercer,64/35, ,413
227,1,-1,3,-0.2,Ruben Tejada,6,"$514,701",606
7,0,-1,1,-0.1,Edgmer Escalona,1,"$491,000",177
29,-0,-2,-0,-0.3,Adron Chambers*,7/9, ,105
31,0,-0,-0,-0.1,Jaff Decker*,/7, ,148
0,0,0,0,0.0,Steve Cishek,1,"$505,000",114
0,0,0,0,0.0,Yunesky Maya,/1,"$2,000,000",397
0,0,0,0,0.0,Jake Diekman*,1, ,159
0,0,0,0,0.0,A.J. Ramos,1,"$490,000",508
531,3,40,3,4.1,Chase Utley*,*4/D,"$15,000,000",624
352,-3,4,6,0.2,Devin Mesoraco,2/D,"$497,500",414
300,-0,2,-2,-0.0,Andres Torres#,78/9,"$2,000,000",613
547,-2,30,2,3.0,Chris Johnson,*53,"$2,875,000",305
1,0,0,0,0.0,Burke Badenhop,1,"$1,550,000",25
70,-1,2,9,0.2,Mike Minor,1,"$505,000",421
15,-0,1,2,0.2,Clayton Richard*,1,"$5,240,000",520
216,-2,2,-1,0.1,Derrick Robinson#,78/9, ,525
6,0,0,1,0.0,Vin Mazzaro,1, ,400
285,-2,-3,-2,-0.5,Travis Snider*,9/7,"$505,000",581
173,-1,-0,3,-0.1,Tim Federowicz,2/3,"$491,000",183
5,0,-1,1,-0.1,Chad Billingsley,/1,"$11,000,000",48
250,2,-8,-2,-1.1,Roger Bernadina*,89,"$1,212,500",42
22,-0,-1,3,-0.1,Johnny Cueto,1,"$7,400,000",135
32,0,0,4,0.0,Jonathan Pettibone*,1, ,480
384,-1,14,-5,1.3,Lucas Duda*,73/D,"$519,240",165
254,0,13,0,1.3,Eric Chavez*,5/3D,"$3,000,000",108
0,0,0,0,0.0,Jose Contreras,/1, ,124
278,-1,1,-1,-0.1,Kevin Frandsen,34/5,"$850,000",198
440,-1,7,-7,0.5,Garrett Jones*,39/D,"$4,500,000",310
25,-0,-1,3,-0.1,Ross Detwiler,1,"$2,337,500",155
25,-1,1,3,0.1,John Lannan*,1,"$2,500,000",340
0,0,0,0,0.0,B.J. Rosenberg,1, ,539
504,1,32,-5,3.3,Giancarlo Stanton,*9,"$537,000",590
0,0,0,0,0.0,Cory Rasmus,/1, ,511
12,-0,-0,0,-0.0,Chris Robinson,/2, ,524
0,0,0,0,0.0,Brandon Lyon,1,"$750,000",370
384,-0,7,-3,0.6,John Mayberry,*98/73,"$517,000",398
71,-1,0,1,-0.0,Rene Rivera,2, ,521
0,0,0,0,0.0,Mike Adams,1,"$5,000,000",5
0,0,0,0,0.0,Peter Moylan,1, ,431
36,0,1,5,0.2,Gerrit Cole,1, ,120
697,5,36,3,3.6,Daniel Murphy*,*4/3,"$2,925,000",433
171,-1,-7,-1,-0.9,Mark Kotsay*,7/93D,"$1,300,000",328
48,0,-1,-0,-0.2,Alfredo Marte,/7D9,"$490,000",386
19,0,-1,-0,-0.2,Matt Diaz,/7, ,157
1,0,-0,0,-0.0,Chris Leroux*,/1,"$502,000",351
541,-2,42,8,4.3,Yadier Molina,*2/3,"$14,000,000",422
0,0,0,0,0.0,Erik Davis,1, ,142
4,0,-1,-0,-0.1,Thomas Neal,/7, ,437
7,-0,1,1,0.1,Roy Oswalt,/1, ,454
29,-0,-1,4,-0.1,Chris Capuano*,1,"$6,000,000",91
705,0,9,8,0.6,Starlin Castro,*6,"$5,000,000",100
0,0,0,0,0.0,Alex Burnett,/1, ,78
152,-1,6,-2,0.6,Scott Van Slyke,79/3, ,629
532,0,45,-5,4.7,Jayson Werth,*9/D,"$16,000,000",653
24,-0,-4,0,-0.5,Brent Lillibridge,/45,"$750,000",353
0,0,0,0,0.0,Cristhian Martinez,/1,"$749,750",392
0,0,0,0,0.0,Sean Marshall*,1,"$4,500,000",385
107,-0,8,1,0.8,Ramiro Pena#,54/6,"$550,000",471
4,0,-0,1,-0.1,Drew Pomeranz,/1, ,489
0,0,0,0,0.0,Francisco Rodriguez,1, ,528
3,-0,1,1,0.1,Ryan Webb,1,"$975,000",648
92,-0,5,12,0.5,Clayton Kershaw*,1,"$11,000,000",319
95,-1,2,0,0.1,Josh Harrison,94/56D71,"$503,000",263
0,0,0,0,0.0,Dan Jennings*,1, ,303
266,-3,19,3,2.0,Dioner Navarro#,2/D,"$1,750,000",436
12,-0,0,2,0.0,Brandon Cumpton,/1, ,137
9,0,-1,0,-0.1,Steve Clevenger*,/5, ,116
0,0,0,0,0.0,Matt Reynolds*,1,"$505,500",518
108,0,6,2,0.6,Yasmani Grandal#,2/3,"$750,000",236
0,0,0,0,0.0,Jake Dunning,1, ,168
69,0,-2,-1,-0.3,Cole Gillespie,/7, ,221
1,0,0,1,0.0,Wilton Lopez,1,"$1,760,000",363
1,0,-0,0,-0.0,Kameron Loe,/1, ,359
687,4,46,-7,4.7,Hunter Pence,*9,"$13,800,000",472
0,0,0,0,0.0,Antonio Bastardo,1,"$1,400,000",32
0,0,0,0,0.0,Logan Ondrusek,1,"$950,000",452
60,-0,-3,1,-0.4,John McDonald,/56471, ,406
9,-0,0,1,0.0,Greg Reynolds,/1, ,517
1,0,0,0,0.0,Rob Wooten,1, ,665
590,0,10,-8,0.8,Adam LaRoche*,*3/D,"$10,000,000",341
31,-0,-2,-0,-0.2,Austin Kearns,/97,"$700,000",313
65,-0,5,9,0.5,Julio Teheran,1,"$490,000",605
92,1,-1,-1,-0.1,Joey Terdoslavich#,7/39, ,607
421,-0,5,2,0.3,Juan Lagares,*89, ,334
150,-0,6,1,0.5,Willie Bloomquist,4/67,"$1,900,000",54
394,-1,13,3,1.2,Anthony Rendon,45/6,"$1,800,000",515
73,0,-1,10,-0.1,Jordan Zimmermann,1,"$5,350,000",674
117,2,0,-0,-0.1,Julio Borbon*,8/79D,"$496,000",57
377,0,3,-5,0.1,Ike Davis*,3,"$3,125,000",143
0,0,0,0,0.0,Jeremy Affeldt*,1,"$6,000,000",7
9,-0,0,1,0.1,Adam Ottavino#,1,"$491,000",455
690,-3,13,-9,1.0,Anthony Rizzo*,*3,"$750,000",522
1,0,0,0,0.0,J.P. Howell*,1,"$2,850,000",290
351,-3,4,-4,0.2,Cody Ross,79,"$6,000,000",541
317,-2,9,-4,0.8,Ryan Howard*,3,"$20,000,000",289
8,0,-1,-0,-0.1,Eury Perez,/879, ,476
399,-0,8,2,0.7,Rickie Weeks,4,"$10,000,000",650
322,3,18,1,1.8,David DeJesus*,8/7, ,149
5,0,-1,1,-0.1,Mike Fiers,1,"$498,000",187
540,3,37,-6,3.8,Michael Cuddyer,*93/D,"$10,500,000",134
63,0,-0,0,-0.1,Matt den Dekker*,8/97, ,151
0,0,0,0,0.0,Santiago Casilla,1,"$4,500,000",97
0,0,0,0,0.0,Mitchell Boggs,/1,"$1,475,000",55
0,0,0,0,0.0,Craig Kimbrel,1,"$655,000",322
20,-0,-3,-0,-0.3,Nick Buss*,/798, ,79
566,1,30,-5,3.0,Starling Marte,*78,"$500,000",387
628,1,27,3,2.6,Jon Jay*,*8,"$524,000",302
6,0,-0,1,-0.0,Craig Stammen,1,"$875,000",589
20,0,1,3,0.1,Matt Garza,1, ,213
1,0,-0,0,-0.0,Curtis Partch,1, ,466
