BB,SO,Team,OBP,AVG,AB,HR,H
32,80,BIN,.335,.277,394,4,109
48,101,ALT,.364,.283,445,23,126
6,25,AKR,.319,.257,105,3,27
5,9,AKR,.345,.288,52,3,15
15,20,NBR,.295,.205,146,0,30
10,10,ALT,.394,.313,83,0,26
16,27,HAR,.261,.164,122,0,20
23,24,HAR,.351,.227,128,1,29
10,57,NOR,.264,.219,228,9,50
3,4,NOR,.400,.267,15,0,4
1,1,TRE,.500,.400,5,0,2
20,35,REA,.330,.247,158,3,39
1,6,HAR,.333,.273,11,0,3
45,81,BIN,.341,.275,495,11,136
14,51,NBR,.275,.210,186,6,39
17,46,TRE,.329,.248,153,4,38
48,62,REA,.353,.281,431,12,121
0,5,HAR,.278,.278,18,0,5
11,19,TRE,.298,.248,202,0,50
0,3,BOW,.375,.400,15,0,6
3,8,NHM,.250,.175,40,0,7
19,43,NBR,.321,.239,230,1,55
30,56,BIN,.375,.294,262,5,77
1,3,NBR,.286,.250,20,0,5
55,94,NHM,.379,.272,338,15,92
4,3,TRE,.333,.143,14,0,2
8,27,NBR,.333,.287,122,2,35
15,32,NHM,.315,.236,148,3,35
6,16,REA,.311,.265,151,0,40
0,1,HAR,.500,.500,8,0,4
17,50,POR,.253,.175,166,2,29
1,0,REA,.667,.000,1,0,0
41,68,NOR,.360,.259,320,2,83
34,108,REA,.315,.249,385,15,96
32,82,ERI,.302,.231,325,10,75
2,49,BOW,.266,.247,150,7,37
21,54,HAR,.321,.274,376,21,103
0,1,REA,.000,.000,1,0,0
4,11,HAR,.250,.185,54,1,10
26,68,HAR,.298,.233,283,5,66
48,115,NOR,.360,.274,503,20,138
17,53,NOR,.264,.210,272,6,57
18,35,POR,.328,.285,253,4,72
37,63,BIN,.333,.245,278,5,68
38,105,ERI,.358,.281,381,22,107
8,39,NOR,.354,.313,176,9,55
45,104,NBR,.349,.278,431,16,120
2,4,BOW,.415,.354,48,1,17
26,50,NBR,.327,.274,343,5,94
1,1,BIN,.500,.400,5,1,2
18,42,ERI,.334,.273,282,2,77
3,12,ALT,.283,.232,56,0,13
44,71,BOW,.349,.291,502,3,146
14,47,BIN,.392,.337,193,4,65
1,11,ALT,.290,.267,30,1,8
17,37,HAR,.329,.269,186,12,50
31,65,NBR,.307,.229,319,4,73
2,9,HAR,.292,.227,22,0,5
0,3,BOW,.235,.250,16,0,4
31,50,HAR,.366,.236,148,6,35
17,37,BIN,.371,.311,161,4,50
4,7,NOR,.379,.217,23,0,5
35,94,BIN,.376,.321,433,25,139
36,43,ERI,.402,.340,329,9,112
3,4,REA,.435,.350,20,0,7
15,34,HAR,.371,.326,233,9,76
53,68,TRE,.432,.329,313,12,103
1,8,POR,.237,.216,37,0,8
10,25,REA,.331,.284,155,4,44
22,56,NHM,.271,.220,305,0,67
3,4,ALT,.350,.235,17,0,4
19,58,NOR,.337,.281,228,5,64
