HR,R,Player,SLG,G,3B,SF,GIDP,H
5,43,B Marsters,.305,111,0,1,9,78
15,65,A Romero,.458,139,2,3,12,153
1,11,R Triplett,.476,18,0,1,0,21
15,90,C Roberson,.465,139,8,4,6,172
2,5,K Kelly,.447,12,1,0,1,10
0,22,B Pattee,.288,42,0,1,2,30
2,27,T Pratt,.269,74,1,1,7,43
4,30,S Tousa,.340,59,2,3,4,52
0,1,W Morris,.136,5,0,0,1,2
4,35,K Perez,.375,66,1,3,4,72
1,7,J Lorenzo,.278,17,1,1,2,10
7,20,D Brown,.323,56,0,2,3,34
0,3,B LeVier,.270,13,0,0,1,8
27,59,R Ruiz,.669,89,0,5,6,120
15,51,J Richardson,.410,122,1,2,15,96
11,41,J Cooper,.478,57,2,4,5,52
0,0,R Hutchison,--,3,0,0,0,0
3,16,V Chiaravalloti,.351,45,0,2,5,35
0,9,J Emmerick,.226,44,0,0,6,25
1,10,J Knoedler,.342,32,0,0,1,18
0,1,E Cruz,.600,3,0,0,0,2
0,0,C McCullough,.091,4,0,0,0,1
4,34,M Huggins,.290,118,2,4,10,84
1,10,M Carson,.273,28,0,0,2,19
4,18,J Sosa,.387,40,0,0,10,44
16,47,J Deschaine,.427,125,1,3,13,94
3,9,S Langaigne,.391,34,0,3,0,28
0,1,S Neuberger,.263,10,0,0,0,10
0,1,J Morales,.300,7,0,0,3,5
0,0,M Lombardi,.000,1,0,0,0,0
2,5,A Prieto,.383,16,0,1,2,10
0,0,A Freire,.385,3,0,1,2,5
2,17,F Molina,.418,36,0,3,1,35
0,6,J Waugh,.200,13,0,0,0,7
0,0,V Rooi,.579,5,1,0,0,6
0,7,B Vericker,.297,30,0,0,2,20
1,6,D Trumble,.378,21,0,0,2,8
15,50,J Caligiuri,.426,109,3,5,5,88
0,2,R Church,.333,4,0,0,0,5
2,18,J Inglin,.282,43,0,4,2,29
3,12,A Camacaro,.371,34,0,1,3,27
14,42,D DeMent,.578,71,1,4,4,88
0,4,J Mauer,.313,24,0,0,3,8
2,8,T Lee,.329,24,1,1,2,16
5,23,R Sadler,.416,62,2,0,4,51
8,39,D Pedroia,.508,66,2,2,7,83
5,30,S Norris,.322,84,0,4,3,66
4,30,P Redman,.472,45,1,6,7,50
1,29,R Nieves,.277,89,2,2,5,49
8,61,C Valderrama,.422,130,3,4,11,145
0,3,C Lytle,.261,6,0,0,0,5
5,13,R Hubele,.519,24,0,0,3,24
0,1,J Lopez,.467,4,0,1,0,6
2,33,M Rabelo,.365,77,1,2,6,77
12,29,L Broadway,.538,52,0,3,6,50
1,8,O Martinez,.563,14,1,0,3,17
0,1,G Rodriguez,.333,6,0,1,0,4
0,1,A Wilson,.235,7,0,0,0,4
3,23,O Rogers,.301,67,0,0,6,49
0,7,J Slack,.254,23,0,1,0,15
23,81,D Matienzo,.488,138,2,7,20,150
6,18,K Barker,.422,51,1,3,2,47
5,46,M St. Pierre,.369,95,0,3,14,100
1,1,D Watts,1.000,2,0,0,0,2
7,19,M Clendenin,.440,44,0,0,3,37
14,52,T Von Schell,.373,134,1,6,10,123
1,23,B Kennedy,.291,72,0,3,6,55
3,9,J Singleton,.388,21,1,1,1,17
0,2,M Scanlon,.158,7,0,0,1,3
13,22,B Eldred,.869,21,0,1,0,28
16,45,C Guerrero,.462,112,2,0,9,88
19,50,S Pond,.473,110,1,1,10,108
