oppOPS,LG,AGE,YEAR,AVG,GS
0.733,NL,22,2012,0.313,3
0.72,NL,30,2012,0.187,0
0.653,AL,34,2012,0.333,0
0.672,AL,26,2012,0.318,0
0.736,AL,35,2012,0.261,0
0.708,NL,26,2012,0.311,6
0.754,AL,22,2012,0.261,0
0.711,NL,22,2012,0.289,10
0.715,NL,29,2012,0.24,6
0.705,NL,33,2012,0.246,12
0.747,AL,30,2012,0.239,33
0.727,AL,31,2012,0.234,32
0.718,NL,34,2012,0.237,0
0.705,AL,25,2012,0.28,0
0.725,NL,26,2012,0.205,1
0.709,AL,29,2012,0.273,0
0.713,NL,33,2012,0.289,0
0.751,NL,33,2012,0.387,0
0.734,AL,29,2012,0.217,33
0.756,NL,25,2012,0.255,5
0.731,AL,25,2012,0.22,29
0.682,NL,30,2012,0.294,2
0.722,NL,25,2012,0.241,0
0.735,NL,27,2012,0.27,0
0.722,NL,25,2012,0.314,7
0.73,AL,29,2012,0.236,15
0.718,AL,32,2012,0.207,0
0.759,NL,29,2012,0.187,0
0.745,NL,28,2012,0.252,0
0.729,AL,22,2012,0.25,0
0.729,NL,24,2012,0.146,0
0.725,NL,24,2012,0.286,16
0.682,AL,28,2012,0.0,0
0.741,AL,36,2012,0.2,0
0.713,NL,21,2012,0.208,7
0.718,NL,26,2012,0.295,0
0.713,NL,29,2012,0.265,0
0.708,AL,25,2012,0.2,0
0.741,AL,39,2012,0.28,0
0.734,AL,28,2012,0.202,0
0.751,NL,35,2012,0.207,0
0.699,AL,37,2012,0.34,0
0.687,NL,27,2012,0.333,0
0.768,AL,24,2012,0.533,1
0.736,AL,25,2012,0.268,0
0.731,AL,22,2012,0.253,0
0.714,AL,26,2012,0.219,0
0.72,NL,22,2012,0.175,0
0.749,NL,33,2012,0.174,0
0.645,NL,35,2012,0.353,0
0.732,AL,26,2012,0.25,32
0.738,AL,21,2012,0.257,11
0.704,NL,29,2012,0.313,4
0.721,AL,26,2012,0.133,0
0.72,AL,25,2012,0.243,27
0.698,NL,26,2012,0.286,0
0.736,AL,28,2012,0.281,32
0.755,AL,23,2012,0.5,1
0.744,AL,26,2012,0.412,0
0.719,AL,26,2012,0.215,0
0.736,AL,28,2012,0.281,2
0.729,NL,31,2012,0.285,0
0.72,NL,34,2012,0.246,31
0.744,AL,26,2012,0.318,0
0.804,AL,32,2012,0.25,0
0.733,AL,27,2012,0.244,0
0.738,AL,25,2012,0.229,0
0.7,NL,25,2012,0.241,30
0.732,NL,26,2012,0.244,0
0.704,NL,23,2012,0.256,0
0.726,AL,24,2012,0.282,2
0.728,AL,28,2012,0.201,0
0.723,AL,29,2012,0.214,30
0.703,NL,24,2012,0.16,0
0.74,AL,24,2012,0.223,0
0.731,NL,27,2012,0.247,0
0.738,NL,38,2012,0.3,0
0.73,AL,28,2012,0.316,0
0.72,AL,35,2012,0.27,17
0.711,NL,29,2012,0.275,18
0.747,AL,34,2012,0.32,9
0.675,AL,28,2012,0.5,0
0.698,NL,33,2012,0.324,15
0.728,NL,26,2012,0.5,0
0.727,NL,24,2012,0.222,0
0.705,AL,28,2012,0.476,0
0.714,AL,29,2012,0.24,0
0.66,AL,24,2012,0.286,0
0.725,NL,29,2012,0.2,0
0.719,NL,24,2012,0.273,0
0.733,NL,24,2012,0.221,0
