RBI,H,G,POS,Team
13,26,22,OF,BEL
1,1,3,1B,DAY
21,62,75,2B,WIS
0,0,3,3B,DAY
6,12,12,OF,CLI
2,8,14,C,GL
52,128,130,OF,QC
61,135,131,SS,KC
51,120,127,OF,PEO
43,82,78,C,CLI
1,10,12,2B,LAN
19,44,51,2B,GL
39,84,97,OF,BEL
37,71,90,SS,LAN
17,50,52,LF,KC
1,3,2,SS,QC
40,106,112,CF,KC
63,135,127,3B,WIS
51,96,103,C,SB
79,95,108,DH,LAN
53,109,112,OF,BUR
80,133,130,LF,SB
16,52,74,C,WIS
7,18,26,SS,DAY
26,53,75,LF,LC
48,105,106,1B,GL
28,70,76,3B,LAN
50,106,104,3B,WIS
68,104,116,1B,DAY
3,7,16,OF,DAY
64,99,123,SS,KC
16,58,64,SS,KC
27,51,77,OF,CR
61,122,128,1B,BG
9,35,40,C,GL
41,83,101,RF,WIS
7,10,11,OF,CLI
6,16,25,SS,QC
49,141,131,SS,QC
61,113,92,OF,FW
5,21,39,2B,BUR
3,8,13,OF,CLI
23,67,59,OF,FW
2,13,28,C,CR
73,125,111,1B,CLI
61,98,109,1B,PEO
18,32,39,C,PEO
23,32,42,3B,GL
11,36,44,C,FW
22,54,78,OF,BUR
22,32,46,CF,QC
0,5,7,OF,PEO
2,12,19,SS,LC
38,116,125,2B,PEO
28,34,39,C,LC
50,118,117,RF,DAY
4,9,9,SS,BG
0,2,5,OF,BG
50,127,117,SS,KC
12,14,18,OF,KC
4,10,17,1B,FW
15,43,46,LF,CLI
1,4,6,C,SB
76,141,135,1B,SB
20,26,40,C,WM
3,4,8,3B,BUR
68,114,102,3B,CLI
30,82,102,OF,BEL
100,118,129,3B,BEL
2,7,7,OF,GL
3,21,24,SS,PEO
8,17,27,C,KC
36,75,73,C,LC
3,2,4,CF,WIS
2,16,24,LF,DAY
44,63,74,LF,BG
7,8,13,C,LC
44,70,65,CF,DAY
33,74,74,C,BG
1,11,6,OF,LC
51,122,125,2B,DAY
26,48,49,SS,BEL
29,57,76,1B,CLI
0,2,6,SS,LAN
0,0,1,P,BEL
49,84,93,C,LC
23,73,68,OF,KC
42,73,92,C,DAY
1,1,2,3B,LC
0,4,6,2B,CLI
27,74,82,1B,KC
23,38,40,C,PEO
50,98,113,RF,CLI
7,17,23,2B,BUR
6,15,19,LF,LAN
14,35,42,LF,WIS
20,68,62,SS,CR
12,44,61,SS,SB
11,17,20,1B,FW
3,6,10,C,LAN
39,120,134,2B,WM
33,71,57,SS,PEO
47,70,59,OF,WM
12,19,34,C,WM
48,92,116,3B,LC
29,70,84,2B,FW
74,148,116,RF,LC
30,60,64,C,CLI
15,27,20,RF,PEO
37,69,78,SS,LAN
7,34,29,CF,LAN
7,6,8,OF,QC
42,126,122,SS,LC
24,79,118,2B,CLI
4,14,12,SS,CLI
35,117,100,2B,BG
15,41,58,C,PEO
72,124,114,SS,BG
12,33,43,SS,PEO
23,58,51,SS,GL
68,119,117,OF,CR
40,134,131,CF,WM
1,6,9,2B,DAY
6,16,19,3B,WM
58,135,136,RF,SB
40,75,71,C,LAN
4,9,18,2B,FW
6,21,37,SS,QC
