OBP,AB,Player,2B,SF,H,SH,POS
0.265,206,H Casillas,9,1,49,2,3B
0.388,262,L Figueroa,19,3,87,4,3B
0.396,301,J Macias,12,1,105,9,3B
0.219,91,F Lopez,0,0,16,3,3B
0.368,400,W Otanez,23,6,112,0,1B
0.381,397,J Gutierrez,27,4,126,2,1B
0.36,23,R Navarrete,1,0,7,1,3B
0.333,310,A Valencia,15,3,81,7,1B
0.305,317,R Sanchez,19,0,85,13,3B
0.413,234,E Guzman,10,0,72,3,1B
0.344,269,J Castaneda,12,1,74,14,3B
0.342,348,H Arredondo,15,4,102,2,3B
0.321,49,C Sosa,1,0,11,1,3B
0.408,319,S Gastelum,20,1,102,5,3B
0.306,34,J Amador,2,0,9,0,1B
0.311,119,O Castaneda,4,1,29,2,3B
0.347,178,F Seguignol,11,0,48,0,1B
0.382,396,J Hernandez,21,3,118,0,1B
0.38,173,W Veras,8,1,58,0,3B
0.379,217,M Bobadilla,2,1,56,1,3B
0.417,284,P Diaz,25,4,95,3,1B
0.354,55,R Irazoqui,1,0,13,1,3B
0.379,146,R Lopez,11,2,43,1,1B
0.426,220,S Almeida,17,4,76,0,1B
0.283,107,A Abad,5,0,21,1,1B
0.322,56,B Rios,5,0,16,1,3B
0.143,6,F Cervera,0,0,0,0,3B
0.327,284,J Valle,16,7,83,4,3B
0.302,278,P Llano,15,4,74,11,3B
0.309,50,M Eylward,2,0,12,0,1B
0.378,328,A Martinez,17,2,103,6,3B
