SF,Player,CS,AVG,GIDP,H,SLG
3,G Omana,0,.321,8,62,.404
0,O Cabrera,1,.158,1,12,.197
3,J Altuve,5,.343,8,70,.441
0,J Cedeno,1,.300,5,57,.468
0,J Alvarez,0,.253,1,23,.275
1,P Nunez,1,.178,4,26,.212
0,N Sosa,4,.225,2,27,.275
0,G Parra,0,--,0,0,--
0,V Sanchez,11,.325,1,51,.408
1,L Rojas,4,.180,8,31,.215
1,Y Rodriguez,8,.361,5,83,.439
0,L Hernandez,2,.224,2,33,.293
2,J Cortez,2,.246,2,41,.341
0,O Guerra,2,.188,0,19,.198
0,C Salazar,9,.268,5,49,.333
3,C Colmenares,2,.188,2,30,.194
0,A Torres,5,.234,4,34,.255
7,R Noris,2,.284,4,62,.468
1,H Armas,3,.300,3,75,.468
1,G Matheus,9,.258,6,62,.300
2,L Palacios,5,.307,7,79,.405
0,R Bonfante,4,.314,5,71,.385
3,J Guevara,3,.194,8,37,.251
1,A Rivero,3,.264,2,46,.345
1,L Castillo,5,.232,7,56,.311
0,W Perez,0,.096,0,5,.096
0,C Leal,3,.255,0,27,.349
1,J Marquez,2,.339,7,64,.466
2,L Martinez,0,.267,1,46,.366
0,L Gonzalez,1,.265,7,27,.324
0,M Alvarez,0,.000,0,0,.000
1,D Hernandez,4,.344,4,72,.459
4,O Figueroa,2,.208,3,46,.330
0,M Chacoa,3,.349,3,29,.422
0,A Diaz,0,.000,1,0,.000
0,A Chourio,16,.319,2,73,.393
1,R Torrealba,0,.182,0,12,.227
2,R Tello,1,.294,4,48,.509
2,R Alvarez,1,.206,4,20,.309
0,J Loaisiga,0,.307,4,27,.420
4,D Rivas,10,.264,8,62,.357
0,A Neira,2,.286,1,34,.412
1,B Oviedo,2,.232,6,36,.361
0,J Romero,0,--,0,0,--
0,E Alvarez,1,.259,0,7,.333
0,H Lara,4,.300,3,72,.354
2,A Negron,7,.281,2,62,.434
1,C Del Rio,1,.287,3,27,.489
0,C Romero,0,.153,1,11,.181
0,W Vivas,5,.265,3,36,.309
1,P Jaspe,0,.186,5,30,.224
2,J Guerra,1,.300,6,36,.450
1,E Garcia,2,.191,2,18,.255
4,C Diaz,5,.239,0,43,.356
0,L Nieves,7,.235,3,53,.310
2,K Soto,9,.234,7,52,.266
1,G Gomez,1,.138,0,8,.241
2,L Sumoza,1,.226,1,21,.366
3,N Moreno,4,.237,2,47,.303
0,W De Los Santos,1,.217,2,40,.272
1,R Leiva,1,.208,3,21,.248
1,J Avila,1,.188,3,12,.219
0,R Guedez,0,.000,0,0,.000
0,A Espinoza,0,.268,2,37,.587
1,D Bravo,5,.276,1,37,.358
0,J Gonzalez,1,.215,2,17,.278
2,R Rangel,2,.280,3,65,.444
0,M Martinez,0,.213,1,13,.328
0,R Van Gurp,0,.077,0,1,.077
0,M Nagahashi,1,.202,0,21,.231
1,I Alvarez,8,.323,4,65,.453
2,C Hernandez,4,.276,4,50,.436
0,A Fonseca,5,.222,1,22,.232
2,R Torrealba,8,.178,8,36,.193
1,M Fuentes,0,.271,7,36,.346
0,D Guanipa,0,.213,3,13,.311
1,H Rodriguez,2,.267,2,55,.427
0,Y Batista,4,.284,1,46,.327
0,J Aguilera,0,.167,2,12,.236
1,M Rojas,1,.228,5,23,.337
0,H Henry,0,.298,0,17,.439
2,E Contreras,5,.315,5,76,.510
0,H Garcia,2,.296,2,50,.402
4,L Salas,5,.272,7,66,.370
1,K Teran,4,.267,3,65,.342
0,O Munoz,0,--,0,0,--
0,L Cardona,3,.175,0,7,.275
0,L Alvarez,1,.241,1,27,.330
