CS,3B,SO,Player,SH,Team,GIDP,SF,G
1,2,41,T Story,1,CAS,2,2,47
3,1,85,H Riggins,0,CAS,7,2,67
0,0,27,J Patino,0,GTF,2,2,33
4,1,41,R Garvey,2,HEL,3,3,46
0,1,36,B McMahan,0,HEL,3,1,39
0,0,3,C Lugo,0,ORM,0,0,3
0,0,24,P Maynard,0,OGD,2,1,25
0,0,11,S Selsky,0,BIL,0,0,8
0,2,81,A Edge,1,OGD,1,0,41
1,0,17,D Vicioso,0,BIL,1,2,28
0,0,1,A Ponte,0,OGD,0,0,2
1,1,6,R Pacione,2,ORM,3,0,29
1,2,46,F Hall,0,ORM,4,4,62
0,0,43,K Eveland,7,GTF,2,0,40
0,0,2,D Iden,0,OGD,0,0,5
7,1,81,J Bianco,0,MIS,0,0,54
1,0,8,J Paciorek,1,HEL,0,0,7
1,0,9,B Gowens,0,ORM,2,0,8
5,3,74,J Baldwin,0,OGD,1,1,50
2,1,16,W Hatton,1,ORM,3,0,24
2,0,10,R Ozuna,0,HEL,0,0,12
5,2,62,T Chism,1,IDF,3,5,65
0,0,10,Y Alcantara,0,IDF,5,1,10
3,3,21,J Parr,0,MIS,1,0,34
0,0,39,T Roberts,2,HEL,2,0,42
0,0,29,E Escobar,2,IDF,6,1,48
5,5,72,E Groff,0,MIS,5,3,66
3,2,19,L Piterson,3,IDF,7,2,43
0,2,19,S Diaz,0,BIL,3,0,38
4,3,57,F Sosa,2,CAS,1,1,50
2,2,52,S Mende,1,CAS,1,0,46
1,0,27,D Martinez,8,ORM,6,1,39
2,0,13,B Brown,0,MIS,0,0,11
1,0,29,C Giovinazzo,2,ORM,0,0,28
0,0,16,J Berggren,0,CAS,0,0,15
4,9,65,K Waldrop,1,BIL,5,1,68
0,3,30,J Yakubik,5,ORM,4,1,60
7,3,32,K Muller,4,BIL,0,0,43
4,6,46,T Lindsey,0,ORM,6,1,63
1,1,23,B Henry,0,MIS,1,1,19
2,0,6,K Thompson,0,OGD,1,0,11
0,0,21,T Smith,2,IDF,1,0,20
1,1,44,O Dickson,1,OGD,3,2,48
2,3,54,J De Pinto,0,GTF,4,3,68
11,5,52,Q Millender,7,GTF,2,2,63
1,0,23,J Vazquez,1,OGD,0,0,27
0,0,7,K Mahoney,0,ORM,0,0,6
4,3,41,K Allison,2,HEL,2,0,43
0,0,5,J Garton,0,BIL,1,0,6
1,0,11,J Puentes,1,GTF,2,1,13
4,0,38,C Rodriguez,1,BIL,1,2,34
0,1,43,A Martinez,1,IDF,5,0,49
0,1,30,D Poulk,0,BIL,1,0,24
3,7,48,R Jones,2,ORM,3,2,67
4,3,72,R Davis,0,IDF,2,3,58
0,0,0,P Krebs,0,IDF,0,0,2
4,8,62,R Herrera,1,CAS,2,1,63
