GIDP,SF,SH,BB,POS,SO,SB,RBI
4,1,1,14,LF,15,2,15
7,1,14,16,RF,37,5,29
11,5,1,25,RF,52,1,72
10,3,9,22,RF,78,20,65
0,0,1,0,OF,1,0,0
8,2,4,14,OF,17,4,14
2,1,5,7,OF,34,0,18
9,6,4,24,RF,42,2,48
1,0,8,12,LF,13,5,9
0,0,0,8,OF,13,2,3
8,5,5,39,LF,36,2,63
2,0,0,0,RF,2,0,1
7,0,0,37,OF,38,12,42
7,2,1,22,OF,22,1,30
4,4,0,57,CF,48,16,73
3,3,3,9,OF,17,0,18
6,0,4,36,OF,27,1,14
1,0,0,3,OF,6,1,5
12,5,6,12,OF,32,7,41
16,5,2,31,RF,29,8,77
1,0,0,0,OF,3,0,2
3,1,0,11,OF,21,0,14
15,5,9,34,OF,34,8,58
0,0,1,9,LF,15,2,11
4,2,2,9,LF,15,0,13
0,0,0,0,OF,0,0,0
9,3,0,29,OF,70,12,72
3,1,4,35,OF,34,4,29
8,1,0,15,LF,8,0,23
0,0,0,2,OF,1,0,1
5,0,3,7,OF,8,1,3
2,6,4,69,CF,72,19,65
2,0,3,11,OF,12,2,5
12,6,1,53,OF,61,37,82
1,3,5,26,CF,15,15,29
14,0,2,56,RF,42,0,50
1,0,0,3,OF,6,0,1
1,0,0,0,OF,1,0,0
8,3,10,56,CF,42,10,55
4,0,3,15,OF,25,2,13
8,4,5,53,LF,34,1,53
22,4,0,20,LF,39,14,68
8,1,5,29,OF,41,2,50
12,6,10,26,OF,41,10,44
4,0,12,23,OF,31,12,21
1,0,1,4,OF,12,4,8
