SB,3B,H,POS,AB,OPS
1,0,18,3B,68,0.658
0,0,1,C,5,0.6
0,0,1,3B,5,0.533
5,3,72,2B,247,0.801
1,2,54,1B,215,0.733
0,0,0,C,5,0.167
3,3,93,3B,442,0.766
1,0,21,C,122,0.514
3,2,59,C,307,0.633
1,1,24,2B,78,0.684
12,2,108,3B,477,0.666
10,4,134,2B,522,0.68
4,1,43,SS,161,0.803
0,0,6,1B,15,1.004
0,0,2,SS,11,0.364
5,0,50,2B,158,0.721
0,0,12,C,69,0.414
0,0,3,3B,9,0.872
0,0,64,1B,254,0.774
0,0,7,C,35,0.596
1,0,2,2B,14,0.343
5,2,70,3B,276,0.674
0,0,3,C,15,0.65
0,0,5,2B,23,0.786
7,1,104,SS,371,0.733
2,3,55,3B,233,0.915
1,0,5,2B,10,1.1
0,1,6,C,23,0.652
7,4,98,1B,444,0.736
0,0,4,C,36,0.311
4,2,95,C,312,0.78
0,0,0,C,1,0.5
7,1,52,SS,236,0.623
0,0,11,3B,74,0.466
4,0,20,2B,104,0.507
12,1,65,2B,260,0.69
0,0,46,1B,196,0.686
0,1,6,C,27,0.781
0,0,5,3B,35,0.457
12,2,67,3B,265,0.728
18,2,67,3B,264,0.671
8,0,47,2B,183,0.664
1,2,94,3B,277,0.926
0,1,55,C,310,0.542
4,2,155,C,518,0.84
0,1,23,C,78,0.753
2,2,10,3B,53,0.573
0,0,11,C,80,0.433
3,0,137,3B,443,0.844
1,2,138,1B,505,0.818
30,10,160,SS,539,0.719
1,3,93,3B,367,0.716
12,4,116,SS,441,0.663
3,4,107,3B,437,0.663
3,0,8,2B,55,0.455
1,0,45,1B,123,1.024
5,1,22,SS,76,0.801
0,0,3,C,11,0.697
2,1,24,SS,77,0.724
2,0,26,3B,128,0.543
0,1,119,C,386,0.892
0,0,51,1B,195,0.745
21,1,115,3B,409,0.762
1,0,56,C,203,0.721
3,0,18,2B,120,0.475
0,0,4,C,21,0.53
0,0,6,C,22,0.779
0,0,0,2B,9,0.0
0,0,20,3B,121,0.479
1,2,37,3B,116,1.064
0,1,16,C,67,0.6
3,1,122,C,441,0.731
0,0,4,C,25,0.53
0,0,5,2B,12,0.962
15,2,112,2B,449,0.762
3,0,19,2B,96,0.563
1,1,31,SS,118,0.693
