SLG,2B,AB,SO,SH,G,GIDP,SB
0.286,12,259,53,6,75,7,2
0.143,0,14,7,0,7,0,0
0.222,2,36,10,0,9,0,3
0.156,2,64,12,0,24,0,1
0.235,2,85,22,2,28,0,7
0.347,8,236,45,2,70,14,6
0.379,4,103,24,0,29,4,1
0.341,8,82,16,0,24,2,3
0.298,10,275,53,1,80,4,10
0.327,14,284,43,4,91,6,2
0.488,16,240,34,2,67,4,10
0.363,26,460,100,3,128,5,12
0.391,17,220,42,5,67,3,9
0.299,9,311,95,4,94,5,8
0.279,4,136,59,0,43,1,8
0.39,33,438,60,4,125,11,16
0.315,19,368,72,1,99,10,15
0.191,2,173,36,0,59,8,6
0.304,1,46,10,2,19,1,0
0.397,17,390,56,1,107,7,4
0.387,24,411,57,10,113,5,21
0.225,3,129,10,3,42,5,1
0.29,6,183,25,9,61,5,1
0.317,9,164,19,3,50,6,2
0.353,16,408,36,6,110,9,6
0.319,17,323,60,3,88,14,5
0.405,12,264,25,3,81,6,2
0.425,3,73,12,0,21,0,2
0.352,6,122,27,1,38,3,3
0.388,8,152,23,3,43,1,4
0.247,8,288,59,5,97,3,4
0.376,11,303,70,0,85,2,19
0.42,20,314,69,4,84,8,7
0.5,0,4,2,0,3,0,0
1.25,0,4,1,0,2,0,0
0.0,0,3,1,0,1,1,0
0.727,3,22,4,0,6,0,0
0.327,17,513,102,5,129,5,47
0.333,15,445,95,4,125,5,30
0.393,20,300,51,1,79,5,4
0.385,5,143,28,2,39,3,3
