AVG,OPS,SH,G,SO,SLG,GIDP,BB,CS,SB
.259,.708,2,46,57,.395,2,11,5,10
.257,.709,2,72,63,.390,6,21,2,4
.272,.749,3,77,31,.430,8,20,3,10
.176,.596,3,31,23,.284,3,17,0,3
.238,.638,0,6,6,.333,0,1,0,0
.267,.775,0,56,56,.406,2,23,2,3
.279,.702,1,31,19,.375,6,7,3,6
.348,.714,1,25,7,.348,1,2,1,3
.289,.666,0,118,61,.331,6,29,3,9
.242,.613,0,68,76,.328,8,16,0,0
.234,.720,1,103,113,.401,6,31,3,17
.242,.654,7,91,60,.322,4,40,6,15
.222,.587,0,10,9,.278,0,4,0,0
.250,.768,0,22,14,.431,1,10,0,2
.233,.593,3,115,53,.287,9,25,8,20
.059,.425,0,6,5,.118,0,6,0,0
.190,.515,0,51,34,.226,8,24,0,2
.228,.622,1,76,87,.308,7,26,6,4
.267,.766,0,124,95,.440,7,39,2,1
.263,.613,0,74,27,.284,6,27,1,3
.125,.347,0,3,2,.125,0,1,0,1
.256,.751,0,26,19,.410,0,10,2,1
.189,.593,0,89,108,.354,9,22,0,0
.204,.596,0,32,22,.290,4,11,0,0
.164,.495,0,79,113,.289,5,12,2,1
.272,.728,1,77,44,.385,4,32,0,7
.306,.941,0,24,14,.565,0,7,0,0
.245,.734,0,52,60,.431,5,14,0,0
.308,.742,0,5,0,.385,0,1,0,1
.230,.595,2,70,38,.291,4,22,2,4
.176,.516,0,7,9,.294,0,1,0,0
.197,.582,0,77,67,.301,9,28,1,0
.333,.762,0,4,3,.333,0,1,0,0
.242,.523,2,28,21,.253,2,3,0,1
.341,.898,1,32,19,.472,4,19,1,3
.254,.671,9,119,39,.328,8,61,15,34
.238,.640,0,105,121,.353,6,19,1,10
.143,.393,0,4,3,.143,0,1,0,0
.203,.637,3,49,28,.333,3,16,3,3
.172,.514,1,9,6,.241,1,2,0,0
.325,.802,3,78,31,.409,6,29,12,47
.198,.570,1,103,126,.303,6,35,5,7
.266,.775,7,116,102,.426,6,38,7,25
.265,.748,9,106,87,.345,7,90,6,20
.284,.704,4,57,37,.364,6,14,1,8
.293,.829,0,29,25,.424,3,18,1,2
.270,.881,0,51,37,.514,4,27,0,0
.351,.928,6,39,21,.478,2,24,5,20
.235,.551,0,5,4,.235,1,1,2,0
.316,.838,0,16,9,.404,2,10,1,3
.242,.596,0,98,84,.311,5,21,5,18
.216,.703,0,34,52,.353,2,21,3,5
.221,.662,0,49,32,.381,5,13,2,1
.286,.767,0,56,30,.453,9,11,1,4
.292,.701,7,113,67,.346,2,40,10,29
.246,.753,1,50,40,.394,3,30,1,5
.170,.420,0,13,15,.170,3,5,0,1
.309,.993,0,59,32,.618,4,23,3,1
.220,.735,0,54,49,.440,8,20,0,0
--,--,0,1,0,--,0,0,0,0
.300,.810,4,125,44,.433,16,50,11,18
.224,.649,0,42,40,.273,3,33,3,9
.168,.417,4,42,29,.177,2,11,2,1
.287,.810,2,79,34,.413,10,54,0,5
.209,.630,2,55,56,.346,3,15,0,4
.333,.940,4,110,94,.535,7,53,11,40
.262,.803,0,50,57,.471,6,21,1,7
.287,.833,1,117,80,.444,11,67,5,4
.241,.627,1,55,38,.325,5,16,2,11
.282,.721,5,47,31,.420,4,3,0,3
.287,.881,1,64,55,.470,4,32,5,8
.198,.547,2,32,19,.270,4,12,1,3
.276,.723,2,69,47,.359,4,39,6,25
.270,.785,0,59,48,.436,2,24,1,3
.274,.718,3,63,66,.370,5,27,5,18
.247,.799,5,93,68,.428,8,53,5,8
.190,.464,3,32,21,.230,3,3,1,2
.183,.468,1,46,27,.238,5,10,1,0
.282,.740,4,100,57,.349,15,65,6,19
.267,.718,0,128,74,.375,25,53,8,7
.278,.714,0,10,5,.333,0,6,0,1
.230,.595,1,78,63,.321,3,15,1,5
.307,.898,0,92,53,.515,10,42,1,3
.308,.918,0,52,46,.511,5,21,4,6
.163,.507,2,31,44,.276,3,8,1,0
.305,.905,2,82,46,.521,6,32,4,10
.231,.641,0,6,4,.308,1,2,1,0
.276,.743,0,38,42,.433,1,6,1,2
.211,.601,1,26,25,.311,1,8,6,11
.316,.744,1,58,29,.378,6,15,1,1
.098,.278,2,17,8,.118,2,4,0,0
.235,.619,3,121,55,.314,18,38,14,10
.255,.743,0,76,72,.388,4,37,2,5
.224,.707,0,43,43,.417,5,12,1,2
.255,.731,1,75,39,.390,7,37,9,11
.326,.871,1,48,34,.461,4,26,1,11
.200,.552,2,65,58,.265,4,21,1,1
