H,SB,CS,GIDP,POS,SO,Team,3B,OBP,SH
30,0,0,0,LF,55,BLU,1,0.384,0
4,0,0,2,LF,9,KNG,0,0.217,0
8,1,2,1,OF,6,KNG,1,0.313,0
20,0,3,2,OF,23,DAN,0,0.3,0
55,10,1,2,CF,70,BUR,2,0.371,0
10,7,0,0,OF,17,BLU,0,0.222,2
18,7,3,1,CF,26,DAN,0,0.317,2
51,3,0,3,RF,63,PUL,2,0.347,0
56,14,5,5,CF,36,PRN,3,0.327,0
51,7,0,3,LF,38,BRS,5,0.373,0
21,0,0,1,RF,36,JC,2,0.258,0
44,5,3,1,LF,49,BLU,1,0.324,1
9,3,1,0,OF,13,BRS,1,0.362,0
41,0,1,4,LF,25,ELZ,1,0.439,0
22,0,2,1,OF,44,BRS,0,0.204,0
60,2,1,4,LF,66,GRN,0,0.332,0
10,0,1,2,LF,5,BLU,0,0.302,2
25,4,0,3,LF,36,GRN,0,0.301,1
25,2,1,4,OF,49,KNG,1,0.305,1
28,3,6,0,OF,46,GRN,0,0.359,2
18,8,3,1,LF,22,PRN,0,0.354,0
21,1,0,2,OF,10,BUR,2,0.392,0
58,36,2,2,LF,52,BUR,2,0.379,4
14,7,1,0,LF,7,PRN,0,0.346,0
31,6,8,2,LF,38,PRN,4,0.284,2
49,3,2,4,RF,64,DAN,2,0.338,0
58,15,5,5,CF,60,GRN,0,0.351,5
56,5,2,4,OF,46,PUL,3,0.357,1
36,5,3,0,CF,30,KNG,0,0.305,1
40,8,2,7,OF,37,BRS,1,0.314,0
63,17,6,2,OF,49,PRN,1,0.404,2
36,1,1,2,OF,22,BLU,0,0.289,0
0,0,0,0,OF,2,BRS,0,0.333,0
2,1,1,0,OF,5,BUR,0,0.333,0
69,7,0,5,CF,33,ELZ,5,0.387,0
