BB,SF,AVG,Team,R,3B,OBP,POS,SO
2,1,0.067,SD,2,0,0.167,C,5
0,0,0.0,MIL,0,0,0.0,C,0
30,3,0.299,FLA,32,0,0.392,C,48
6,0,0.306,MIL,8,0,0.377,C,10
50,2,0.246,MIL,46,2,0.327,C,45
1,0,0.281,CIN,6,0,0.303,C,5
3,0,0.245,NYM,5,0,0.288,C,6
0,0,0.5,PIT,0,0,0.5,C,1
6,0,0.226,HOU,16,0,0.27,C,34
0,0,0.1,COL,2,0,0.1,C,4
5,0,0.19,ARI,4,0,0.292,C,9
14,1,0.256,CIN,10,0,0.326,C,27
13,2,0.261,WSH,15,1,0.309,C,29
25,1,0.218,HOU,15,0,0.303,C,41
0,0,0.0,MIL,0,0,0.0,C,1
15,0,0.243,FLA,16,0,0.321,C,11
32,5,0.304,STL,37,0,0.349,C,29
15,4,0.256,WSH,23,1,0.296,C,78
5,0,0.143,WSH,2,0,0.308,C,9
0,0,0.091,SF,0,0,0.091,C,4
44,1,0.219,PHI,47,0,0.32,C,38
32,1,0.231,CIN,17,0,0.381,C,36
2,0,0.235,LAD,3,0,0.278,C,10
56,2,0.264,COL,50,2,0.39,C,92
57,3,0.301,ATL,68,1,0.373,C,64
11,5,0.237,SD,21,1,0.278,C,52
1,0,0.143,NYM,0,0,0.25,C,1
2,0,0.19,LAD,1,0,0.261,C,0
42,2,0.257,NYM,30,0,0.339,C,53
11,1,0.212,PIT,8,0,0.277,C,24
