GIDP,Player,BB,SB,CS,HR,AB,OBP,OPS
1,G Beckham,5,0,1,3,58,.365,.865
9,C Lee,19,10,9,2,332,.282,.607
2,J Priday,8,0,0,1,77,.315,.665
7,J Mahoney,24,2,0,7,352,.275,.624
2,J Abruzzo,13,1,0,5,203,.347,.795
0,J Reddick,5,2,1,0,53,.397,.887
2,J Lucroy,30,8,1,10,239,.391,.901
3,T Holiday,13,9,2,2,172,.291,.588
14,F Pena,25,0,0,6,397,.308,.688
3,J Castillo,2,0,0,0,66,.408,.863
1,R Corona,8,7,1,4,116,.273,.635
5,R Fronk,74,18,11,17,429,.398,.890
4,B Pruitt,8,0,0,0,59,.373,.661
10,J Nowicki,46,14,4,19,492,.345,.835
7,B Pellegrini,36,13,1,21,310,.331,.835
4,C Culberson,18,6,6,3,282,.290,.609
2,B Whiting,37,33,12,2,226,.377,.718
10,A Coe,15,6,7,7,392,.292,.677
4,B Seabury,11,3,2,1,170,.228,.464
5,D Christensen,23,12,3,11,335,.288,.682
2,C Lester,5,3,1,0,27,.219,.367
0,C Beck,0,0,0,0,0,--,--
10,A Krum,55,12,7,8,459,.356,.753
6,J Simmons,22,25,10,5,354,.277,.602
0,J Pacella,0,0,0,0,0,--,--
4,S Morales,50,18,2,6,401,.311,.651
3,A De La Rosa,5,1,1,4,118,.291,.681
16,Y Navarro,29,3,2,7,325,.341,.753
0,Z Penprase,10,2,1,0,98,.306,.601
4,M Willard,6,1,1,1,103,.241,.484
1,H Demmink,14,2,3,1,136,.312,.606
0,B Kawal,0,0,0,0,12,.250,.583
11,E Farris,24,32,10,3,454,.332,.709
4,S McCraw,21,0,1,0,128,.367,.703
2,J Infante,2,0,0,0,56,.155,.316
7,D Pickens,28,1,1,1,149,.356,.651
7,K Bolt,15,4,1,5,316,.321,.688
6,D Garcia,21,3,0,7,279,.275,.594
0,D Cox,5,0,0,0,15,.400,.600
1,E Alfonzo,1,0,0,1,16,.222,.660
1,C Anderson,11,0,0,0,77,.318,.617
8,M Thompson,37,19,4,5,416,.321,.655
0,W Flores,0,0,0,0,5,.400,.800
8,A Villalona,18,1,2,17,464,.312,.747
1,C Jackson,6,6,2,1,86,.309,.657
17,C Corrado,24,43,5,3,505,.315,.663
6,D Clark,9,3,2,1,158,.292,.621
3,P Figueroa,8,4,1,0,86,.367,.728
3,E Sarmiento,5,0,0,0,63,.246,.453
2,B Lapin,12,1,1,6,191,.264,.636
6,B Schultz,9,2,0,1,90,.330,.675
10,R Adams,36,12,5,11,448,.367,.829
5,J Smith,32,0,0,1,209,.340,.632
4,T Warren,23,6,0,2,231,.321,.654
5,B Petersen,38,15,6,19,296,.381,.921
5,M Taylor,31,10,3,10,249,.441,.995
18,M Arambarris,12,2,0,8,330,.250,.574
0,J Wolf,2,1,1,0,4,.857,2.107
5,J Williams,15,0,0,2,156,.275,.538
3,A Davis,31,7,4,3,194,.307,.606
0,S Welch,2,0,0,1,19,.364,.837
0,J Dominguez,11,6,4,1,140,.275,.546
3,C Lin,43,33,7,5,362,.342,.701
5,J Hehr,23,4,2,3,366,.291,.630
6,B Johnson,19,3,1,4,243,.271,.567
7,M Fleisher,24,0,2,14,307,.356,.890
2,J Henson,3,0,0,1,32,.351,.726
2,R Lucas,11,1,3,2,119,.252,.563
2,S Brown,22,15,6,10,340,.277,.633
8,C Johnson,40,8,3,26,468,.307,.786
2,J Ceballos,1,0,0,1,20,.227,.627
2,L Nieves,1,0,1,0,39,.200,.405
1,C Rodriguez,12,1,2,3,60,.373,.823
8,R Pena,25,1,3,2,290,.312,.670
3,L Sierra,4,4,1,2,92,.216,.488
12,T Henson,25,20,3,11,502,.310,.703
4,D Mollenhauer,24,19,2,2,348,.338,.760
9,C Guzman,20,14,3,8,294,.314,.719
0,J Melton,3,1,0,0,34,.316,.669
6,M Tucker,29,6,6,3,255,.368,.776
8,A Romine,25,3,0,10,407,.344,.781
0,L Fischer,0,0,0,0,11,.000,.000
4,C Miles,35,28,8,1,443,.296,.585
6,J Rogers,16,1,0,3,165,.297,.618
2,G Paiml,5,2,0,0,123,.238,.499
3,T Reagan,20,0,2,2,191,.296,.574
2,D Cash,4,5,0,1,62,.303,.706
0,Y Silva,16,2,1,2,54,.394,.783
0,C Weems,1,0,0,0,7,.250,.393
4,B Lasater,10,0,0,7,118,.306,.738
1,B Valichka,10,1,1,1,92,.368,.748
3,M Fisher,31,10,7,4,446,.311,.645
5,J Curtis,23,2,1,3,219,.301,.603
2,S Souza,8,8,2,2,79,.348,.741
0,M Cooney,3,0,0,0,41,.222,.393
0,M Vass,4,0,0,1,22,.231,.458
2,T d'Arnaud,5,0,0,2,64,.357,.826
12,O Tejeda,20,11,5,4,372,.301,.647
0,P Gilardo,6,0,0,0,29,.316,.488
0,T Martin,1,0,0,3,36,.342,1.009
5,M Gildea,49,4,3,4,293,.296,.549
3,S Englund,14,1,1,2,117,.261,.526
1,M Almanzar,5,0,1,2,140,.238,.552
1,L Sumoza,2,0,0,0,19,.286,.602
8,J Smolinski,19,1,2,4,184,.338,.740
1,D Buller,14,2,0,5,96,.373,.894
4,A Almonte,47,29,10,8,443,.303,.662
2,R Gaines,3,3,1,3,68,.301,.757
7,M Loyola,56,45,17,5,471,.361,.728
6,C Craig,33,24,7,5,361,.347,.737
2,J Callender,2,0,0,0,49,.269,.535
1,B Bowman,9,5,2,2,126,.375,.819
8,J Jimenez,28,2,3,11,336,.316,.742
4,L Johnson,27,3,1,12,283,.366,.826
1,L Cruz,1,1,0,0,20,.095,.195
0,A Ricks,1,0,0,0,1,.500,.500
0,J Polanco,0,0,0,0,1,.000,.000
1,C Odenreider,3,1,0,1,33,.162,.314
0,C Jones,1,0,0,0,15,.313,.713
4,S O'Malley,34,28,14,0,334,.325,.622
5,T Hagan,28,2,0,7,312,.338,.739
6,B Rike,62,13,7,15,445,.346,.732
9,R Kalish,53,18,4,3,360,.376,.732
3,B Monaghan,18,4,3,1,137,.297,.560
2,D Fonseca,7,1,2,2,85,.272,.566
3,M Cline,38,15,2,3,282,.365,.713
1,S Shults,1,0,0,3,49,.220,.628
7,J Snyder,68,7,1,7,504,.371,.777
6,N Rojas,5,0,0,0,122,.194,.391
2,L Haydel,32,34,17,0,522,.337,.703
2,R Martinez,25,1,1,5,135,.413,.864
4,B Spain,15,0,1,5,250,.346,.806
2,P Cuello,9,3,3,1,92,.314,.640
1,C Fields,1,0,0,0,41,.133,.207
0,N Abel,0,0,0,0,0,--,--
10,M McCormick,31,2,1,13,375,.276,.641
10,M Durham,17,7,1,14,287,.394,.979
6,G Veloz,32,28,12,6,455,.339,.742
2,O Guillen,7,0,2,0,44,.294,.476
4,J Sanchez,6,1,0,1,102,.231,.477
3,J Fixler,16,1,1,8,270,.318,.718
9,F Freeman,46,5,5,18,491,.378,.899
14,Z Wheeler,61,13,11,13,503,.346,.751
4,D Bomback,22,2,0,1,194,.318,.643
4,A Laboy,29,6,5,6,251,.324,.699
3,K Clark,54,22,6,17,397,.348,.801
6,R Rivas,17,4,2,0,275,.337,.704
0,B Aguailar,5,1,0,0,55,.246,.428
1,T Lawhorn,6,0,0,2,82,.295,.661
5,H Mense,31,5,4,13,432,.347,.789
8,M Sapp,30,0,1,4,255,.282,.576
0,M Hernandez,2,0,0,0,33,.429,.944
0,T Creswell,4,3,1,0,40,.289,.514
9,M Mitchell,37,55,9,4,500,.365,.757
3,W Ibarra,6,1,0,1,91,.247,.566
3,C Fernandez-Oliva,9,0,3,0,164,.320,.661
1,S Pena,4,5,0,0,117,.293,.609
8,M Burgess,46,5,1,18,401,.335,.804
0,A Kearns,3,0,0,0,3,.667,1.000
1,F Plasencia,7,2,1,2,85,.337,.831
0,P Reese,2,0,0,1,16,.333,.771
7,K Simon,30,14,5,3,343,.310,.636
3,J Gilmore,2,1,0,0,102,.202,.398
2,J De Los Santos,26,14,10,0,244,.341,.640
2,J Tatford,14,0,1,2,105,.382,.792
1,W Rufino,8,0,0,5,112,.328,.774
7,A Davis,33,4,2,3,439,.303,.654
5,J Lagares,8,3,4,2,181,.285,.622
0,J Stephen,1,0,0,0,25,.111,.151
9,R Dixon,48,15,4,3,405,.325,.649
8,J Gallagher,27,10,3,14,483,.308,.744
6,J Jacobs,23,4,1,8,235,.305,.697
1,R Gress,2,1,0,0,50,.132,.272
0,L Arzeno,1,0,1,0,14,.400,.757
10,W Schaeffer,20,6,2,3,287,.283,.604
3,S Miranda,23,2,7,2,216,.383,.758
3,M Davis,12,5,1,8,175,.294,.728
14,C Angelini,42,17,6,4,474,.302,.597
1,J Greene,0,1,0,0,28,.267,.624
7,E Ontiveros,21,0,2,3,267,.333,.659
5,A Martinez,38,3,1,11,423,.316,.720
4,S Vogt,47,6,1,6,392,.368,.776
3,J Stanley,28,3,0,17,285,.353,.872
10,M Hague,20,1,0,6,215,.384,.854
12,G Baker,33,11,5,9,435,.329,.743
6,E Cabrera,51,73,16,6,479,.361,.760
0,J Brennan,10,1,1,0,53,.338,.546
2,N Mahin,9,2,2,0,66,.273,.470
1,B Bond,13,6,3,1,150,.401,.795
4,V Heredia,22,28,8,0,209,.300,.549
3,P Florimon Jr.,27,13,2,0,269,.298,.595
8,R Curry,38,6,2,10,459,.326,.720
0,J Munoz,2,2,0,0,82,.241,.473
1,J White,20,8,4,0,150,.354,.648
1,E Escobar,13,4,3,0,243,.302,.603
8,M Jones,35,2,0,7,331,.380,.833
0,L Day,1,0,0,0,15,.211,.344
1,J Danks,4,1,0,2,40,.400,1.025
5,B Brown,17,2,2,0,157,.240,.418
3,B Brewer,18,16,4,0,174,.294,.604
8,M Stanton,58,4,2,39,468,.381,.993
4,L Davis,15,8,5,5,296,.291,.646
5,E Salem,14,25,5,0,153,.357,.723
3,T Di Benedetto,6,0,0,0,43,.360,.639
0,A Gomes,0,0,0,0,3,.667,1.667
